COMPANY NAME,DABUR INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,552.45,,,,,,,,,
Market Capitalization,97887.51,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7795.49,7779.66,7613.59,7721.85,8514.99,8684.64,9561.65,10888.68,11529.89,12404.01
Raw Material Cost,2633.97,2739.77,2659.55,2775.35,3067.95,3138.49,3764.3,4136.7,4762.03,6398.01
Change in Inventory,25.91,70.53,23.02,65.93,-12.64,65.04,207.2,8.55,90.79,-48.95
Power and Fuel,90.35,84,87.48,93.91,105.26,107.12,104.01,128.66,150.59,
Other Mfr. Exp,1208.32,1180.31,1247.42,1219,1327.63,1387.98,1347.34,1656.53,1779.91,
Employee Cost,690.17,794.1,790.3,793.36,938.55,949.16,1034.9,1081.39,1138.43,1239.56
Selling and admin,1640.96,1217.44,1161.4,1135.38,1183.56,1224.59,1388.27,1480.71,1426.95,849.06
Other Expenses,237.41,316.29,178.85,153.34,139.84,150,128.36,161.23,200.28,1468.71
Other Income,154.24,217.19,295.93,290.88,221.79,205.29,325.29,308.16,445.39,482.41
Depreciation,114.98,133.19,142.86,162.18,176.9,220.45,240.13,252.89,310.96,399.21
Interest,40.12,48.48,54.03,53.05,59.58,49.54,30.81,38.6,78.24,124.18
Profit before tax,1319.36,1553.8,1610.65,1693.09,1724.87,1727.64,2056.02,2268.68,2218.68,2358.74
Tax,250.89,299.9,330.34,335.35,278.62,279.72,361.07,526.38,517.35,547.43
Net profit,1065.83,1251.15,1276.94,1354.39,1442.33,1444.96,1693.3,1739.22,1707.15,1842.68
Dividend Amount,351.3,395.8,396.34,1100.94,485.73,530.13,839.52,919.31,921.34,974.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2941.75,2517.81,2822.43,2986.49,3043.17,2677.8,3130.47,3203.84,3255.06,2814.64
Expenses,2314.36,2065.44,2279.11,2386.09,2434.05,2268.15,2525.94,2542.97,2587.64,2348.23
Other Income,96.74,14.14,100.55,123.28,100.84,120.72,109.78,116.9,127.37,128.85
Depreciation,63.2,65.05,67.6,70.47,70.89,102,96.64,98.32,96.89,107.36
Interest,11.08,11.75,12.15,15.06,18.91,32.12,24.31,28.14,36.49,35.24
Profit before tax,649.85,389.71,564.12,638.15,620.16,396.25,593.36,651.31,661.41,452.66
Tax,145.5,95.37,123.06,147.29,143.51,103.49,136.75,144.27,154.97,111.44
Net profit,503.32,294.22,440.32,490.06,475.94,300.83,463.88,515.05,514.22,349.53
Operating Profit,627.39,452.37,543.32,600.4,609.12,409.65,604.53,660.87,667.42,466.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,175.65,175.91,176.15,176.15,176.63,176.71,176.74,176.79,177.18,177.2
Reserves,3178.49,3994.7,4671.24,5530.37,5455.05,6429.04,7486.79,8204.51,8796.08,9689.1
Borrowings,733.56,805.22,975,937.59,699.37,521.99,509.06,1030.1,1173.79,1365.09
Other Liabilities,2018.58,1956.47,1909.85,2057.52,2105.59,2208.84,2660.63,2872.46,3505.23,3891.29
Total,6106.28,6932.3,7732.24,8701.63,8436.64,9336.58,10833.22,12283.86,13652.28,15122.68
Net Block,1877.13,1667.4,1958.4,2028.11,1969.06,2252.68,2242.92,2307.9,3578.65,3838.14
Capital Work in Progress,50.3,44.8,42.1,41.51,63.76,146.57,147.3,167.5,175.13,209.09
Investments,1813.37,2690.74,3240.16,3805.17,3358.76,2800.26,4159.63,6219.62,6265.26,6932.69
Other Assets,2365.48,2529.36,2491.58,2826.84,3045.06,4137.07,4283.37,3588.84,3633.24,4142.76
Total,6106.28,6932.3,7732.24,8701.63,8436.64,9336.58,10833.22,12283.86,13652.28,15122.68
Receivables,710.84,809.2,650.42,706.08,833.56,813.89,561.58,646.15,848.75,898.72
Inventory,973.27,1096.5,1106.71,1256.18,1300.53,1379.57,1734.28,1911.37,2024.2,1946.97
Cash & Bank,276.04,219.82,304.81,306.06,328.16,811.37,1329.03,570.14,325.92,666.36
No. of Equity Shares,1756511990,1759141170,1761520510,1761520510,1766291141,1767063892,1767425349,1767856483,1767856483,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1047.21,1186.99,1226.94,1091.5,1499.13,1613.62,2114.67,1802.33,1488.43,2013.47
Cash from Investing Activity,-875.9,-730.33,-807.07,-540.93,337.58,-516.63,-1404.22,-1273.45,-582.79,-971.74
Cash from Financing Activity,-416.77,-374.31,-338.97,-577.11,-1888.2,-1042.97,-613.41,-490.49,-1035.24,-1161.18
