COMPANY NAME,DALMIA BHARAT SUGAR & INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,376.3,,,,,,,,,
Market Capitalization,3046.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1190.45,1150.03,1166.08,1685.68,2243.72,2018.33,2110.19,2685.42,3018.18,3252.08
Raw Material Cost,824.69,899.44,916.54,1112.88,1489.32,1736.24,1631.47,1873.8,1944.96,2093.64
Change in Inventory,-86.14,72.41,214.93,98.95,-215.33,328.02,224.49,45.17,-188.28,-228.77
Power and Fuel,12.96,32.48,24.69,53.24,54.9,53.42,54.21,34.25,30.7,
Other Mfr. Exp,53.11,63.98,86.62,56.29,68.8,78.06,81.81,84.67,97.01,
Employee Cost,66.01,75.12,76.69,108.27,108.91,118.88,133.93,143.12,176.26,187.23
Selling and admin,15.71,16.68,29.44,29.76,38.7,58.15,60.68,76.24,115.89,
Other Expenses,24.03,21.86,20.3,46.36,33.57,64.55,35.96,36.41,19.03,305.91
Other Income,19.75,16,21.56,23.83,25.27,74.68,56.46,43.6,63.97,77.33
Depreciation,49.3,50.58,113.39,55.59,53.8,51.55,57.23,95.53,94.71,121.25
Interest,75.64,78.01,87.49,102.49,69.48,68.61,88.38,61.86,34.82,37.68
Profit before tax,2.61,0.29,47.41,243.58,136.18,191.57,247.47,368.31,380.49,354.93
Tax,-0.44,-1.2,-10.99,57.32,13.88,16.42,54.28,97.97,84.76,104.86
Net profit,3.05,1.49,58.4,186.26,122.3,175.15,193.19,270.34,295.73,250.07
Dividend Amount,,,4.86,16.19,16.19,12.95,16.19,24.28,32.38,32.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,719.53,605.78,488.59,818.57,728.06,615.67,856,599.99,731.85,583.59
Expenses,627.98,550.08,361.37,677.46,641.08,527.64,726.25,487.5,666.36,474.35
Other Income,11.43,13.78,12.23,4.88,20.45,22.16,16.48,22.52,55.65,26.53
Depreciation,14.85,14.39,51.77,20.87,20.83,24.11,28.9,32.18,30.74,32.26
Interest,14.9,11.12,10.2,12.13,7.6,6.42,8.66,9.34,16.38,7.86
Profit before tax,73.23,43.97,77.48,112.99,79,79.66,108.67,93.49,74.02,95.65
Tax,17.68,6.87,25.62,-11.35,19.77,23.08,53.07,28.58,19.12,30.73
Net profit,55.55,37.1,51.86,124.34,59.23,56.58,55.6,64.91,54.9,64.92
Operating Profit,91.55,55.7,127.22,141.11,86.98,88.03,129.75,112.49,65.49,109.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,16.19,16.19,16.19,16.19,16.19,16.19,16.19,16.19,16.19,
Reserves,446.06,443.87,496.42,1245.25,1488.37,1515.51,1502.56,2126.5,2342.89,
Borrowings,811.85,931.47,1137.69,1214.12,775.72,1036.87,1277.2,957.89,818.51,
Other Liabilities,443.95,442.79,410.54,459.4,632.6,620.65,642.15,632.13,644.68,
Total,1718.05,1834.32,2060.84,2934.96,2912.88,3189.22,3438.1,3732.71,3822.27,
Net Block,767.42,746.22,752.45,1279.83,1293.21,1316.13,1352.78,1308.03,1531.11,
Capital Work in Progress,13.64,27.78,6.54,2.44,6.93,10.92,6.18,27.13,58.81,
Investments,79.45,84.29,93.57,365.94,625.61,417.25,358.83,620.46,593.8,
Other Assets,857.54,976.03,1208.28,1286.75,987.13,1444.92,1720.31,1777.09,1638.55,
Total,1718.05,1834.32,2060.84,2934.96,2912.88,3189.22,3438.1,3732.71,3822.27,
Receivables,18.18,77.4,106.4,110.52,76.03,203.57,169.79,115.26,166.54,
Inventory,629.31,703.48,915.47,1020.68,749.77,1095.09,1329.19,1375.03,1242.39,
Cash & Bank,47.74,34.82,46.25,58.74,59.56,28.57,67.11,79.78,103.9,
No. of Equity Shares,80939300,80939303,80939303,80939303,80939303,80939303,80939303,80939303,80939303,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,266.41,-11.38,-23.98,154.78,706.23,-220.44,58.97,345.54,567.33,
Cash from Investing Activity,-184.48,-42.8,-76.72,-143.89,-178.05,-29.16,-179.25,37.13,-326.89,
Cash from Financing Activity,-60.74,41.5,111.5,2.22,-527.54,218.65,145.25,-364.38,-217.12,
Net Cash Flow,21.19,-12.68,10.8,13.11,0.64,-30.95,24.97,18.29,23.32,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,15.8,17.4,99.55,173.5,64.35,123.8,48.3,186.7,481,337.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
