COMPANY NAME,DALMIA BHARAT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1728.25,,,,,,,,,
Market Capitalization,32366.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,7444,8579,9484,9674,10110,11286,13540,14691
Raw Material Cost,,,1173,1509,1932,1721,1483,1537,1958,2687
Change in Inventory,,,-88,-18,147,-25,-60,65,-23,-16
Power and Fuel,,,1036,1405,1756,1738,1659,2570,3679,3116
Other Mfr. Exp,,,529,573,2481,2558,2717,3167,3735,
Employee Cost,,,591,618,649,676,660,745,772,871
Selling and admin,,,1716,1887,448,368,460,544,659,
Other Expenses,,,417,533,423,505,301,362,398,5362
Other Income,,,296,274,235,217,145,171,544,314
Depreciation,,,1226,1213,1296,1528,1250,1235,1305,1498
Interest,,,856,708,542,415,303,202,234,386
Profit before tax,,,108,389,339,357,1362,1160,1321,1069
Tax,,,74,98,-10,119,178,315,242,216
Net profit,,,44,292,308,224,1171,816,1035,826
Dividend Amount,,,,5655.9,39,39,24.6,166.5,166.5,171
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2734,3380,3302,2971,3355,3915,3624,3149,3604,4307
Expenses,2323,2697,2713,2592,2711,3205,3014,2560,2825,3653
Other Income,62,57,39,33,42,424,57,84,60,120
Depreciation,302,333,312,332,325,336,399,401,370,328
Interest,46,45,47,54,69,64,83,101,108,94
Profit before tax,125,362,269,26,292,734,185,171,361,352
Tax,35,91,64,-21,74,125,41,48,95,32
Net profit,84,266,196,46,204,589,130,118,263,315
Operating Profit,411,683,589,379,644,710,610,589,779,654
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,6654,6654,39,39,37,37,37,38
Reserves,,,2975,3681,10600,10522,12773,16024,15591,16359
Borrowings,,,8038,7266,5883,6049,3839,3176,3855,4805
Other Liabilities,,,3595,3763,4016,4268,5237,5431,6036,6547
Total,,,21262,21364,20538,20878,21886,24668,25519,27749
Net Block,,,15516,14037,13573,12555,13626,14147,14796,15843
Capital Work in Progress,,,128,168,520,1740,1006,1034,1859,2284
Investments,,,2740,3505,2424,2816,4033,5704,3524,4462
Other Assets,,,2878,3654,4021,3767,3221,3783,5340,5160
Total,,,21262,21364,20538,20878,21886,24668,25519,27749
Receivables,,,530,564,549,664,511,673,700,836
Inventory,,,652,779,1032,974,760,945,1316,1218
Cash & Bank,,,175,354,469,403,247,160,285,582
No. of Equity Shares,,,,,192958553,192958553,187117513,187368673,187368673,
New Bonus Shares,,,,,,,,,,
Face value,,,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,1875,1606,1843,2340,3604,1932,2252,2635
Cash from Investing Activity,,,-139,135,189,-1760,-300,-1045,-2326,-2750
Cash from Financing Activity,,,-1749,-1564,-2067,-594,-3375,-942,168,222
Net Cash Flow,,,-13,177,-35,-14,-71,-55,94,107
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,989.5,490.6,1589,1495.6,1968.25,1942.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,19.3,19.3,18.71,18.74,18.75,18.75
