COMPANY NAME,DEEPAK NITRITE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2435.8,,,,,,,,,
Market Capitalization,33219.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,1327.16,1372.93,1370.71,1651.45,2699.92,4229.71,4359.75,6802.19,7972.06
Raw Material Cost,,824.49,832.16,849.58,1003.71,1773.71,2315.3,2239.55,4163.8,5495.06
Change in Inventory,,-11.53,6.7,25.91,-10.71,153.59,-25.59,10.01,96.6,191.11
Power and Fuel,,115.92,118.15,102.44,119.88,207.33,285.19,264.74,438.61,541.93
Other Mfr. Exp,,65.37,56.27,75.29,75.04,99.11,138.87,110.83,138.55,158.7
Employee Cost,,100.3,119.25,122.46,136.36,179.96,218.81,250.31,277.71,322.44
Selling and admin,,45.41,52.11,82.05,76.02,111.24,158.47,179.83,219.74,272.45
Other Expenses,,23.8,33.13,25.31,25.68,60.68,52.25,72.48,53.71,80.16
Other Income,,0.97,-0.18,79.65,6.82,10.84,28.87,19.66,41.85,46.43
Depreciation,,36.02,39.54,48.04,52.6,77.79,139.73,152.63,177.7,166.3
Interest,,37.99,39.71,36.54,47.42,86.55,117.97,77.33,36.37,26.68
Profit before tax,,67.3,89.13,134.56,110.85,267.98,806.4,1041.72,1434.45,1145.88
Tax,,14.3,26.23,38.24,31.84,94.32,195.37,265.91,367.81,293.88
Net profit,,52.9,62.73,96.32,79.02,173.66,611.03,775.81,1066.64,852
Dividend Amount,,10.46,13.96,15.68,17.73,27.28,61.38,75.02,95.48,102.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1681.35,1722.27,1872.35,2057.99,1961.65,1991.06,1961.36,1768.34,1778.05,2009.23
Expenses,1294.81,1370.42,1462.02,1702.01,1690.8,1676.47,1613.4,1558.59,1475.79,1704.58
Other Income,8.43,25.75,3.54,9.61,12.04,13.36,12.57,31.87,17.05,13.56
Depreciation,44.05,45.47,44.62,41.88,42.4,41.1,40.92,38.08,39.43,41.69
Interest,9.24,6.8,7.06,8.59,5.9,5.83,4.46,1.81,2.68,2.93
Profit before tax,341.68,325.33,362.19,315.12,234.59,281.02,315.15,201.73,277.2,273.59
Tax,87.34,82.87,94.98,80.5,60.12,71.97,81.29,51.83,72.12,71.54
Net profit,254.34,242.46,267.21,234.62,174.47,209.05,233.86,149.9,205.08,202.05
Operating Profit,386.54,351.85,410.33,355.98,270.85,314.59,347.96,209.75,302.26,304.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,20.91,23.26,26.14,27.28,27.28,27.28,27.28,27.28,27.28
Reserves,,325.31,449.61,688.72,894.86,1044.31,1544.63,2319.37,3311.16,4062.68
Borrowings,,544.52,528.81,723.89,986.54,1186.51,1106.84,589.74,315.03,72.86
Other Liabilities,,234.65,294.56,350.44,683.62,677.17,537.79,630.26,778.79,966.67
Total,,1125.39,1296.24,1789.19,2592.3,2935.27,3216.54,3566.65,4432.26,5129.49
Net Block,,548.72,593.75,585.93,587.56,1715.83,1831.98,1863.74,1963.43,1941.61
Capital Work in Progress,,43.97,35.91,349.19,954.51,33.87,172.27,220.44,122.23,300.83
Investments,,2.98,86.6,118.08,31.77,2.39,2.38,189.29,439.02,379.35
Other Assets,,529.72,579.98,735.99,1018.46,1183.18,1209.91,1293.18,1907.58,2507.7
Total,,1125.39,1296.24,1789.19,2592.3,2935.27,3216.54,3566.65,4432.26,5129.49
Receivables,,310.99,313.19,360.33,411.77,574.96,612.72,756.3,1129.06,1309.52
Inventory,,107.3,123.11,168.85,327.16,418.22,402.43,389.04,586.35,893.97
Cash & Bank,,3.06,6.49,14.49,48.2,25.77,31.4,33.43,41.79,39.95
No. of Equity Shares,,104538190,116288190,130711266,136393500,136393500,136393500,136393500,136393500,136393500
New Bonus Shares,,,,,,,,,,
Face value,,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,108.01,167.28,49.01,183,60.28,764.66,1001.9,823.84,649.92
Cash from Investing Activity,,-89.12,-169.38,-352.55,-524.73,-162.55,-427.92,-396.16,-424.05,-276.05
Cash from Financing Activity,,-22.28,4.33,304.62,345.31,95.81,-337.56,-598.99,-385.83,-359.08
Net Cash Flow,,-3.4,2.23,1.07,3.59,-6.46,-0.82,6.75,13.96,14.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,68.5,68,131.25,247.9,274.15,385.05,1656.5,2243.75,1842.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,10.45,11.63,13.07,13.64,13.64,13.64,13.64,13.64,13.64
