COMPANY NAME,DELTA CORP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,116.7,,,,,,,,,
Market Capitalization,3122.27,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,299.97,375.18,454.65,607.66,797.81,773.41,418.87,616.13,1020.77,925.3
Raw Material Cost,20.46,27.28,26.34,30.97,60.5,48.89,27.82,62.32,106.53,88.92
Change in Inventory,-0.08,1.99,-0.02,0.75,26.44,10.22,8.51,29.38,48.21,22.41
Power and Fuel,23.06,20.75,20.9,22.64,25.92,25.28,14.79,24.05,41.74,
Other Mfr. Exp,18.78,18.12,22.06,23.68,23.31,21.8,12.95,17.55,25.18,
Employee Cost,52.68,59.09,64.1,94.68,110.14,112.29,93.78,123.07,159.76,174.41
Selling and admin,105.12,120.05,147.43,174.98,271.65,272.44,242.29,264.43,353.37,124.75
Other Expenses,12.77,1.17,12.34,14.23,17.38,15.33,13.64,15.08,16.05,266.24
Other Income,2.06,2.34,8.54,28.74,34.68,33.24,26.83,30.3,45.98,107.65
Depreciation,34.69,35.95,36.12,37.14,37.68,48.53,52.66,56.08,58.65,63.78
Interest,51.3,41.35,34.97,10.38,1.78,16.07,14.28,15.63,24.39,11.04
Profit before tax,-16.91,55.75,98.91,228.45,310.57,256.24,-18,97.6,329.29,326.22
Tax,10.83,20.21,28.03,73.69,114.13,71.46,7.51,29.76,66.98,81.56
Net profit,-22.77,38.22,73.75,155.55,196.76,185.63,-24.1,66.99,261.37,244.23
Dividend Amount,52.76,4.61,8.11,26.76,17.61,40.64,26.68,33.41,33.45,33.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,247.22,218.32,250.27,269.97,273.37,214.31,272.8,270.59,210.13,194.81
Expenses,140.5,149.32,162.77,169.63,171.05,154.13,176.98,170.51,154.34,153.1
Other Income,3.9,12.05,6.24,10.3,11.87,18.8,14.23,12.05,12.88,68.49
Depreciation,13.6,15.52,14.24,14.97,14.88,14.56,15.89,16.95,16.02,14.92
Interest,1.9,1.77,1.94,2.23,2.96,2.48,2.14,2.74,2.97,3.19
Profit before tax,95.12,63.76,77.56,93.44,96.35,61.94,92.02,92.44,49.68,92.09
Tax,24.3,15.28,20.08,24.81,11.45,10.64,23.84,22.98,15.12,19.62
Net profit,70.38,48.11,57.13,68.25,84.82,51.17,67.91,69.44,34.48,72.41
Operating Profit,106.72,69,87.5,100.34,102.32,60.18,95.82,100.08,55.79,41.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,23.07,23.07,23.16,26.76,27.09,27.09,26.68,26.73,26.76,26.78
Reserves,741.98,812.31,897.04,1655.98,1915.18,1927.51,1915.17,1994.79,2192.23,2491.03
Borrowings,337.17,242.78,221,2.29,0.19,,35.28,45.33,67.51,51.51
Other Liabilities,115.5,116.86,116.07,298.62,128.54,168.04,164.95,209.55,249.94,296.37
Total,1217.72,1195.02,1257.27,1983.65,2071,2122.64,2142.08,2276.4,2536.44,2865.69
Net Block,854.19,860.67,852.1,1223.6,1229.46,1285.98,1242.09,1196.94,1210.65,1311.29
Capital Work in Progress,3.8,2.7,0.52,4.09,12.9,6.7,5.94,6.9,21.88,175.87
Investments,107.71,82.57,98.06,422.01,445.45,504.79,559.64,637.84,560.2,647.32
Other Assets,252.02,249.08,306.59,333.95,383.19,325.17,334.41,434.72,743.71,731.21
Total,1217.72,1195.02,1257.27,1983.65,2071,2122.64,2142.08,2276.4,2536.44,2865.69
Receivables,22.76,14.2,4.25,8.29,6.95,0.49,3.67,3.08,4.91,10.24
Inventory,69.54,70.76,69.53,70.49,95.82,107.14,115.56,145.1,193.4,18.61
Cash & Bank,20.97,22.77,31.39,123.48,73.78,96.06,63.75,102.85,128.66,131.27
No. of Equity Shares,230664104,230664104,231624104,267590478,270938186,270938186,266820937,266820937,267595597,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,83.84,117.2,130.9,228.5,101.4,318.83,56.56,126.53,154.04,170.29
Cash from Investing Activity,-24.98,-17.3,-64.97,-436.11,-78.47,-214.8,-10.48,-45.42,-73.6,-110.55
Cash from Financing Activity,-92.93,-97.7,-58.92,301.1,-72.66,-83.4,-80.26,-44.43,-52.08,-54
Net Cash Flow,-34.07,2.2,7.02,93.49,-49.73,20.63,-34.18,36.68,28.36,5.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,80.4,66,181.1,250.25,254.8,65.35,162.15,330.05,180.7,110.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
