COMPANY NAME,DEN NETWORKS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,48.65,,,,,,,,,
Market Capitalization,2323.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1129.63,947.5,1157.34,1285.1,1206.07,1291.45,1307.4,1225.6,1130.47,1080.75
Raw Material Cost,0.1,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,16.88,18.25,17.24,16.52,14.85,14.18,12.5,12.24,12.42,
Other Mfr. Exp,552.83,609.51,595.38,667.5,694.13,702.5,727.49,686.81,677.18,
Employee Cost,110.82,123.11,123.49,108.09,95.95,95.2,90.77,85.08,83.51,79.68
Selling and admin,290.85,224.16,188.93,179.56,177.98,194.88,168.67,210.96,195.65,
Other Expenses,65.6,147.97,56.17,35.71,45.83,72.52,58.15,28.43,9.84,848
Other Income,87.67,51.21,10.36,29.77,-164.78,176.28,189.67,120.33,112.11,206.94
Depreciation,185.95,206.1,276.1,248.59,241.57,246.79,250.62,148.24,119.29,112.81
Interest,82.3,79.09,65.16,66.05,58.66,31.83,3.35,0.28,1.4,2.57
Profit before tax,-88.03,-409.48,-154.77,-7.15,-287.68,109.83,185.52,173.89,143.29,244.63
Tax,33.62,21.82,32.99,9.96,12.87,51.2,-3.4,2.81,-93.06,31.83
Net profit,-144.02,-431.5,-208.37,-34.41,-277.49,69.96,197.96,175.95,242.85,214.65
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,294.11,303.46,283.36,287.3,276.9,282.91,273.18,276.61,272.94,258.02
Expenses,243.82,248.42,242.44,249.56,239.49,249.1,244.24,234.87,233.28,218
Other Income,29.74,28.29,4.64,39.19,43.07,27.22,49.83,51.59,50.92,57.31
Depreciation,36.45,32.91,31.81,28.16,30.15,29.17,28.06,28.75,28.1,27.91
Interest,,0.01,,0.2,0.61,0.6,0.72,0.62,0.59,0.64
Profit before tax,43.58,50.41,13.75,48.57,49.72,31.26,49.99,63.96,61.89,68.78
Tax,-0.3,1.8,1.05,0.45,0.39,-94.94,7.71,18.35,14.04,-8.28
Net profit,45.44,49.97,12.83,47.51,49.02,133.5,42.62,45.68,47.28,79.06
Operating Profit,50.29,55.04,40.92,37.74,37.41,33.81,28.94,41.74,39.66,40.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,177.74,177.74,193.57,195.32,476.77,476.77,476.77,476.77,476.77,476.77
Reserves,1531.67,791.97,619.62,590.65,2069.28,2125.8,2297.82,2476.31,2730.6,2943.34
Borrowings,997.89,853.83,505.43,530.5,479.89,213.35,,,27.6,25.51
Other Liabilities,649.22,1107.23,1088.45,1040.72,928.76,871.71,677.5,554.28,523.7,480.93
Total,3356.52,2930.77,2407.07,2357.19,3954.7,3687.63,3452.09,3507.36,3758.67,3926.55
Net Block,1425.07,1473.82,1298.69,1185.77,934.51,763.2,608.93,557.07,562.46,514.79
Capital Work in Progress,110.35,128.82,45.41,50.4,18.68,20.6,37.11,20.7,29.43,18.06
Investments,145.23,109.34,101.14,126.88,2139.47,69.5,2139.79,1913.2,1425.95,1708.82
Other Assets,1675.87,1218.79,961.83,994.14,862.04,2834.33,666.26,1016.39,1740.83,1684.88
Total,3356.52,2930.77,2407.07,2357.19,3954.7,3687.63,3452.09,3507.36,3758.67,3926.55
Receivables,398.01,262.56,234.66,302.3,226.01,133.93,94.37,71.98,86.73,109.18
Inventory,,,,,,,,,,
Cash & Bank,820.58,514.06,325.94,318.41,224.82,2349.24,315.58,700.74,1333.55,1287
No. of Equity Shares,178199806,178199806,194025845,195775845,477223845,477223845,477223845,477223845,477223845,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,60.82,7.5,202.15,184.64,41.66,267.96,217.75,128.98,139.27,83.97
Cash from Investing Activity,-47.55,186.49,1.54,-79.57,-2046.79,428.91,-361.18,-257.94,-54.26,-66.24
Cash from Financing Activity,-109.11,-160.98,-277.4,-40.96,1933.1,-687.91,134.43,95.9,-115.02,-6.93
Net Cash Flow,-95.84,33.01,-73.71,64.1,-72.02,8.96,-9.01,-33.06,-30.01,10.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,120.45,86.3,82.7,101.15,71.7,30.3,49.25,36.9,26.8,47.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,17.82,17.82,19.4,19.58,47.72,47.72,47.72,47.72,47.72,47.72
