COMPANY NAME,DEVYANI INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,161.4,,,,,,,,,
Market Capitalization,19448.42,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,1012.38,1047.5,1110.61,1310.6,1516.39,1134.84,2084.01,2997.72
Raw Material Cost,,,310.43,321.42,350.55,388.87,460.4,344.66,599.85,898.63
Change in Inventory,,,,,13.14,,,,,
Power and Fuel,,,72.75,71.75,72.52,89.81,100.06,68.1,116,196.41
Other Mfr. Exp,,,48.79,40.26,39.37,53.68,63.06,48.8,72.61,105.1
Employee Cost,,,176.8,174.75,172.39,191.72,225.66,154.61,250.27,348.17
Selling and admin,,,347.81,279.03,278.55,296.34,370.28,269.59,552.6,768.54
Other Expenses,,,56.46,121.12,114.69,85.66,77.26,51.95,16.66,23.18
Other Income,,,-0.2,7.81,23.31,42.44,45.02,119.53,-2.82,12.32
Depreciation,,,85.39,137.25,55.06,202.83,223.31,229.45,221.33,278.76
Interest,,,42.79,88.21,33.64,136.98,160.95,151.26,128.73,149.33
Profit before tax,,,-129.04,-178.48,30.29,-92.85,-119.57,-64.05,123.14,241.92
Tax,,,0.66,1.39,-0.84,1.3,1.84,-1.06,-31.97,-20.59
Net profit,,,-127.24,-120.08,45.97,-79.23,-121.67,-55.21,156.34,265
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,516.08,624.43,590.75,704.72,747.43,790.6,754.98,846.63,819.47,843.13
Expenses,387.97,476.6,451.08,540.03,581.04,616.66,604.37,673.19,665.04,696.84
Other Income,4.48,4.51,-0.27,9,-6.78,-0.71,11.02,-40.51,-7.41,4.61
Depreciation,52.63,55.76,64.76,63.73,66.05,70.63,78.36,79.6,86.34,92.98
Interest,32.79,29.64,32.16,32.82,34.81,37.81,42.04,40.37,41.66,48.24
Profit before tax,47.17,66.94,42.48,77.14,58.75,64.79,41.23,12.96,19.02,9.68
Tax,0.58,0.94,-33.46,2.37,1.93,-6.24,-18.65,14.55,-16.81,4.62
Net profit,45.7,63.12,76.39,73.85,58.76,71.67,60.72,11.76,33.35,9.62
Operating Profit,128.11,147.83,139.67,164.69,166.39,173.94,150.61,173.44,154.43,146.29
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,106.17,106.17,106.17,106.17,106.17,115.36,120.47,120.5
Reserves,,,69.64,-19.01,32.97,-176.41,-295.27,-1.59,565.83,849.85
Borrowings,,,348.02,306.29,370.82,488.21,544.1,1328.04,1254.23,1564.81
Other Liabilities,,,196.46,202.47,218.04,1389.52,1528.58,226.6,322,453.37
Total,,,720.29,595.92,728,1807.49,1883.58,1668.41,2262.53,2988.53
Net Block,,,490.76,406.47,445.27,1578.29,1635.31,1392.25,1755.54,2426.67
Capital Work in Progress,,,37.91,15.12,56.39,11.52,13.53,14.28,6.84,15.3
Investments,,,,,,,,,,
Other Assets,,,191.62,174.33,226.34,217.68,234.74,261.88,500.15,546.56
Total,,,720.29,595.92,728,1807.49,1883.58,1668.41,2262.53,2988.53
Receivables,,,15.14,17.8,18.41,22.98,17.3,16.88,21.05,28.91
Inventory,,,38.53,33.93,44.63,54.94,72.09,62.2,85.49,129.05
Cash & Bank,,,46.49,37.49,44.77,27.08,16.03,40.53,65.88,85.14
No. of Equity Shares,,,106166666,106166666,106166666,106166666,106166666,1153634990,1204736378,1204961378
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,90.3,90.97,277.76,300.72,239.56,450.59,637
Cash from Investing Activity,,,,-67.15,-140.21,-164.99,-91.45,-354.8,-374.75,-349.16
Cash from Financing Activity,,,,-31.98,56.41,-130.5,-222.62,141.98,-58.35,-282.7
Net Cash Flow,,,,-8.83,7.17,-17.73,-13.35,26.74,17.48,5.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,175.25,144.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,10.62,10.62,10.62,10.62,10.62,115.36,120.47,120.5
