COMPANY NAME,DHANUKA AGRITECH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1270.85,,,,,,,,,
Market Capitalization,5796.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,738.41,785.07,828.79,883.35,962.63,1005.84,1120.07,1387.47,1477.78,1700.22
Raw Material Cost,512.83,412.94,513.03,498.76,445.01,574.89,656.44,820.62,867.25,1033.9
Change in Inventory,53.13,-22.69,7.3,63.45,-64.17,22.14,11.36,35,10.91,5.87
Power and Fuel,2.06,2.16,2.18,2.58,2.7,2.53,2.3,2.26,2.28,2.66
Other Mfr. Exp,8.13,66.02,8.54,70.55,59.44,70.9,74.7,90.3,92.61,97.06
Employee Cost,58.02,64.76,82.44,96.91,106.6,104.78,105.32,118.42,120.74,126.51
Selling and admin,84.76,84.48,88.61,104.75,114.07,121.59,111.03,113.12,132.94,154.93
Other Expenses,5.19,0.31,1.47,3.27,4.41,7.15,8.14,8.48,9.15,12.21
Other Income,4.79,6.13,12.52,17.51,16.03,21.2,25.09,33.7,33.59,44.76
Depreciation,4.84,5.86,5.91,14.85,14.21,12.35,16.36,15.18,16.28,17.61
Interest,4.17,2.6,1.1,1.1,1.05,1.04,1.71,2.85,3.44,3.25
Profit before tax,116.33,129.38,145.33,171.54,167,153.95,180.52,284.94,277.59,302.72
Tax,23.2,23.3,38.02,49.67,40.83,41.38,39.17,74.38,68.7,69.22
Net profit,93.14,106.08,107.31,121.87,126.18,112.58,141.35,210.56,208.89,233.5
Dividend Amount,20,6.1,32.5,2.95,27,2.86,57.12,9.32,65.24,9.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,438.83,356.86,318.3,392.73,542.9,393.37,371.23,369.07,617.92,403.24
Expenses,356.66,301.84,253.1,341.25,445.38,341.54,293.35,325.46,476.34,341.07
Other Income,6.93,6.72,12.19,16.85,5.5,7.66,14.74,6.64,5.76,7.28
Depreciation,4.07,3.95,4.45,3.78,4.27,4.46,5.1,4.62,9.88,12.88
Interest,0.69,0.87,0.76,0.8,0.78,0.77,0.77,0.89,0.76,0.74
Profit before tax,84.34,56.92,72.18,63.75,97.97,54.26,86.75,44.74,136.7,55.83
Tax,20.96,14.4,17.77,14.63,24.95,8.19,21.44,11.79,34.93,10.45
Net profit,63.38,42.52,54.4,49.11,73.02,46.07,65.3,32.94,101.77,45.37
Operating Profit,82.17,55.02,65.2,51.48,97.52,51.83,77.88,43.61,141.58,62.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,10,2.71,10,9.82,9.82,9.52,9.52,9.32,9.32,9.12
Reserves,322.49,409.58,470.44,511.9,623.54,632.7,698.07,786.87,951.1,1052.18
Borrowings,39.41,16.11,7.69,7.89,4.72,22.21,7.98,48.43,31.8,33.52
Other Liabilities,145.4,165.57,168.52,185.19,184.59,170.9,216.63,286.4,319.97,310.47
Total,517.3,593.97,656.65,714.8,822.67,835.33,932.2,1131.02,1312.19,1405.29
Net Block,67.06,70.15,133.35,137.84,130.93,116.89,117.45,166.94,158.67,164.61
Capital Work in Progress,22.26,38.49,0.05,0.44,0.08,0.99,3.67,7.59,48.35,153.22
Investments,1,46.95,92.14,66.4,181.99,120.27,158.87,277.98,335.89,254.68
Other Assets,426.98,438.38,431.11,510.12,509.67,597.18,652.21,678.51,769.28,832.78
Total,517.3,593.97,656.65,714.8,822.67,835.33,932.2,1131.02,1312.19,1405.29
Receivables,170.33,193.86,185.76,183.84,207.97,218.68,242.41,242.66,282.49,339.04
Inventory,211.33,191.66,172.56,264.47,204.99,206.83,249.86,295.5,347.18,345.07
Cash & Bank,2.3,3.87,2.18,4.35,11.44,1.35,26.29,1.48,2.44,4.28
No. of Equity Shares,50019500,13527260,50019500,49078324,49078324,47578324,47578324,46578324,46578324,45578324
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,33.36,109.91,139.69,63.12,137.7,13.3,162.08,231.06,104.27,136.23
Cash from Investing Activity,-19.41,-70.34,-65.62,20.08,-111.02,63.18,-44.32,-126.62,-42.6,2.56
Cash from Financing Activity,-17.03,-38,-75.77,-80.6,-19.6,-86.61,-93.01,-129.06,-60.8,-136.79
Net Cash Flow,-3.08,1.57,-1.69,2.59,7.08,-10.13,24.75,-24.61,0.87,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,251.65,679.9,589.05,795.25,550.8,389.9,325.2,689.7,717.7,611.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
