COMPANY NAME,DILIP BUILDCON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,456.55,,,,,,,,,
Market Capitalization,6684.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2383.79,2761.95,4205.82,5227.17,7891.44,9403.4,9700.92,10165.79,9563.57,10630.01
Raw Material Cost,,,,,2086.33,2710.91,2678.58,2938.85,3313.83,4461.13
Change in Inventory,-659.47,-675.09,-983.84,47.13,-115.36,32.58,-117.57,19.27,-11.42,71.75
Power and Fuel,,,,687.95,1036.8,1139.11,1157.1,1297.97,1565.8,1516.91
Other Mfr. Exp,1097.18,1271.23,2060.61,3211.27,2873.18,3390.14,3298.42,3413.14,3467.07,3407.55
Employee Cost,25.47,37.54,89.5,105.03,154.57,178.96,199.68,198.55,225.8,214.45
Selling and admin,,,124.56,155.02,107.15,102.33,116.31,112.45,109.25,117.72
Other Expenses,77.19,91.47,-33.83,-44.92,46.17,149.56,63.15,90.75,94.84,27.4
Other Income,18.13,6.56,15.5,12.25,41,45.74,104.92,69.63,-22.3,446.7
Depreciation,100.24,206.06,200.04,245.19,291.96,362.2,470.48,442.94,399.77,398.5
Interest,200.68,353.92,519.34,554.88,589.7,871.86,1135.6,1173.58,1057.02,901.38
Profit before tax,241.69,133.2,277.26,372.13,631.22,576.65,568.95,586.46,-703.53,103.42
Tax,56.01,45.54,47.49,14.45,61.19,32.96,164.21,168.12,-153.85,104.82
Net profit,185.69,87.66,229.77,357.68,577.64,552.31,357.76,266.59,-548.87,0.94
Dividend Amount,0.95,0.59,0.29,13.68,13.68,13.68,13.68,13.68,1.46,1.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2218.96,2245.5,2663.7,2884.37,2595.79,2322.44,2841.05,2920.78,2848.67,2876.84
Expenses,2166.44,2200.17,2445.05,2607.36,2243.9,2165.23,2670.56,2527.17,2508.1,2519.81
Other Income,-197.64,151.08,5.19,38.83,49.84,310.05,47.98,23.52,134.79,154.6
Depreciation,93.52,100.35,98.24,99.42,100.53,101.06,97.49,96.93,96.42,95.02
Interest,211.1,272.39,256.41,290.25,281.79,201.1,128.23,256.37,260.58,243.68
Profit before tax,-449.74,-176.33,-130.81,-73.83,19.41,165.1,-7.25,63.83,118.36,172.93
Tax,-8.32,-79.43,-89.71,-18.72,6.4,54.85,62.3,51.52,45.15,60.07
Net profit,-444.48,-19.16,-55.51,-53.94,17.01,111.03,-73.16,12.68,68.63,107.38
Operating Profit,52.52,45.33,218.65,277.01,351.89,157.21,170.49,393.61,340.57,357.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,35.24,117.14,117.14,136.77,136.77,136.77,136.77,136.77,146.22,146.22
Reserves,659.79,688.09,814.98,1582.21,2139.34,2669.2,3004.53,3263.04,3404.45,3855.39
Borrowings,2044.39,3511.55,3630.44,4229.72,4948.62,7406.09,9060.08,10507.73,8783.2,6657.97
Other Liabilities,828.88,1276.04,1713.54,2070.6,3350.63,4226.69,4531.44,4460.22,4006.94,4779.76
Total,3568.3,5592.82,6276.1,8019.3,10575.36,14438.75,16732.82,18367.76,16340.81,15439.34
Net Block,1282.26,2193.1,1654.76,1966.82,2044.16,3030.93,2908.19,2729.65,1789.33,1528.61
Capital Work in Progress,490.52,414.81,,460.32,1622.65,2735.83,2839.53,3892.55,3385.15,2658.02
Investments,,,,,,67.58,8.64,36.85,0.5,964.46
Other Assets,1795.52,2984.91,4621.34,5592.16,6908.55,8604.41,10976.46,11708.71,11165.83,10288.25
Total,3568.3,5592.82,6276.1,8019.3,10575.36,14438.75,16732.82,18367.76,16340.81,15439.34
Receivables,1001.53,1262.78,919.48,949.88,1154.61,1161.91,1157.98,1158.3,956.64,1389.25
Inventory,521.94,947.62,1580.35,1663.85,2026.23,2504.43,2645.49,3048.54,3439.14,3368.26
Cash & Bank,72.84,266.84,115.85,163.03,294.55,521.09,788.59,808.79,582.79,426
No. of Equity Shares,35238132,117135000,117135065,136769768,136769768,136769768,136769768,136769768,146214971,146214971
New Bonus Shares,,70466264,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,177.2,375.91,268.53,613.87,1299.32,1169.48,44.01,1082.04,1623.7,2845.17
Cash from Investing Activity,-664.46,-1038.26,-171.24,-1007.06,-1518.06,-2512.06,-278.42,-1322.52,205.51,-202.26
Cash from Financing Activity,505.23,856.35,-248.23,440.37,350.27,1569.13,501.9,260.65,-2295.05,-3027.75
Net Cash Flow,17.97,194,-150.94,47.18,131.52,226.54,267.5,20.17,-465.84,-384.83
,,,,,,,,,,
,,,,,,,,,,
