COMPANY NAME,DREAMFOLKS SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,513.1,,,,,,,,,
Market Capitalization,2680.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,166,248.28,367.04,105.63,282.5,773.24
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,0.04,0.03,0.03,0.06,0.07,0.08
Other Mfr. Exp,,,,,136.86,209.51,299.65,87.79,237.74,645.93
Employee Cost,,,,,9.31,12.03,17.93,12.64,16.55,17.43
Selling and admin,,,,,1.73,2.6,3.96,4.63,4.9,10.14
Other Expenses,,,,,0.2,0.69,0.37,0.88,0.66,0.7
Other Income,,,,,0.03,0.21,0.76,2.47,1.49,3.29
Depreciation,,,,,0.88,1.36,1.59,1.55,2.13,3.5
Interest,,,,,0.38,0.4,0.71,0.75,1.47,1.29
Profit before tax,,,,,16.63,21.87,43.56,-0.2,20.47,97.46
Tax,,,,,4.96,6.59,11.88,1.25,4.23,24.92
Net profit,,,,,11.68,15.27,31.68,-1.45,16.25,72.55
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,60.48,98.31,99.17,160.26,171.24,204,237.74,266.3,282.47,305.06
Expenses,57.61,89.72,86.9,141.06,151.28,177.95,204,248.52,257.54,277.35
Other Income,0.9,0.04,0.24,0.2,1.07,0.65,1.38,1.07,0.52,0.68
Depreciation,0.53,0.54,0.54,0.82,0.88,0.88,0.92,0.86,0.92,0.96
Interest,0.25,0.32,0.56,0.34,0.5,0.28,0.17,0.21,0.26,0.28
Profit before tax,2.99,7.77,11.41,18.24,19.65,25.54,34.03,17.78,24.27,27.15
Tax,0.49,1.62,2.43,4.81,4.82,6.57,8.71,4.7,6.14,6.84
Net profit,2.5,6.15,8.99,13.44,14.82,18.98,25.32,13.09,18.14,20.3
Operating Profit,2.87,8.59,12.27,19.2,19.96,26.05,33.74,17.78,24.93,27.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,4.75,4.75,4.75,4.75,10.45,10.45
Reserves,,,,,14.2,29.43,60.77,59.56,71.72,146.27
Borrowings,,,,,7.21,2.04,3.09,9.47,8.25,7.3
Other Liabilities,,,,,47.57,52.94,69.16,48.73,78.26,158.37
Total,,,,,73.73,89.16,137.77,122.51,168.68,322.39
Net Block,,,,,3.76,3.56,5.41,38.56,15.73,13.12
Capital Work in Progress,,,,,,,0.64,0.04,,0.04
Investments,,,,,0.01,0.01,0.01,0.01,0.01,45.92
Other Assets,,,,,69.96,85.59,131.71,83.9,152.94,263.31
Total,,,,,73.73,89.16,137.77,122.51,168.68,322.39
Receivables,,,,,56.17,45.61,68.52,39.55,90.66,201.89
Inventory,,,,,,,,,,
Cash & Bank,,,,,3.79,15.73,32.13,9.99,14.55,36.51
No. of Equity Shares,,,,,4750000,4750000,4750000,4750000,52250000,52250000
New Bonus Shares,,,,,,,,,28500000,28500000
Face value,,,,,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,22.44,6.26,-11.72,49.81
Cash from Investing Activity,,,,,,,0.26,-26.85,5.87,-30.2
Cash from Financing Activity,,,,,,,0.7,-1.54,-3.06,-2.06
Net Cash Flow,,,,,,,23.4,-22.13,-8.91,17.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,430.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.48,0.48,0.48,0.48,5.22,5.22
