COMPANY NAME,EID PARRY (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,610.45,,,,,,,,,
Market Capitalization,10830.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,12113.89,13952.06,15357.73,14391.25,15372.77,16555.53,17128.92,18555.92,23521.06,35243.8
Raw Material Cost,9028.91,11054.66,11492.93,9954.69,11609.88,13002.8,11681.89,12640.68,17768.52,28863.17
Change in Inventory,150.42,592.59,-326.82,-303.53,439.69,1045.34,-478.08,-593.68,148.2,951.79
Power and Fuel,260.62,310.43,293.36,282.11,296.1,296.4,339.66,367.49,416.53,517.11
Other Mfr. Exp,222.83,246.94,271.91,327.15,311.1,336.9,314.52,360.19,439.73,570.24
Employee Cost,418.52,436.96,455.41,477.88,530.67,595.03,664.01,726.01,772.22,872.66
Selling and admin,834.62,940.36,1404.01,1464.64,1648.45,1743.09,1614.5,1663.81,1402.52,1642.49
Other Expenses,597,540.97,272.32,155.14,111.24,176.18,149.65,114.75,494.42,738.37
Other Income,105.14,104.79,178.73,158.85,149.94,83.32,129.08,17.32,239.69,247.37
Depreciation,226.14,244.1,249.61,248.04,251.3,272.33,318.96,331.7,333.99,376.47
Interest,465.34,419.74,451.2,417.32,335.51,424.51,430.49,235.61,151.91,298.2
Profit before tax,315.47,455.28,318.89,919.6,868.15,836.95,1266.24,1539.32,2129.11,2564.25
Tax,96.86,178.93,143.67,211.35,350.72,399.3,377.36,539.5,555.41,736.51
Net profit,77.97,116.79,34.51,520.81,255.82,153.49,467.87,447.37,906.83,947.48
Dividend Amount,48.38,104.07,,70.36,53.1,53.1,,,195.14,168.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,6978.41,6528.65,5665.79,7146.47,11325.78,9913.9,6860.31,7026.45,9059.48,7770.14
Expenses,6232.63,5915.23,5049.5,6453.04,10378.18,9012.82,6244.91,6362.82,8006.15,7358.43
Other Income,26.47,28.83,90.56,104.52,30.46,-58.54,4.97,-11.18,150.83,41.18
Depreciation,81.95,83.72,87.64,88.11,91.81,91.48,105.07,93.88,101.24,112.29
Interest,41.97,37.91,37.81,44.74,78.97,87.35,87.14,81.99,74.24,52.92
Profit before tax,648.33,520.62,581.4,665.1,807.28,663.71,428.16,476.58,1028.68,287.68
Tax,177.98,126.11,152.44,170.91,242.23,182.11,141.26,151.68,246.83,71.16
Net profit,243.84,227.86,302.52,276.24,241.4,250.89,178.95,108.86,452.27,118.23
Operating Profit,745.78,613.42,616.29,693.43,947.6,901.08,615.4,663.63,1053.33,411.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.58,17.58,17.58,17.59,17.7,17.7,17.7,17.71,17.74,17.75
Reserves,2399.27,2209.42,2369.75,2732.72,2952.24,3110.2,3501.78,4565.31,5308,6067.09
Borrowings,4288.15,4823.27,5143.6,3922.69,4469.94,5124.62,4346.98,1229.49,1259.35,1617.84
Other Liabilities,4953.67,5849.09,6600.09,6690.77,7087.79,7648.56,7069.28,7444.02,9357.55,11075.8
Total,11658.67,12899.36,14131.02,13363.77,14527.67,15901.08,14935.74,13256.53,15942.64,18778.48
Net Block,3787.8,3476.49,3343.4,3296.57,3196.55,3077.33,3857.73,3583.41,3763.43,3875.95
Capital Work in Progress,163.03,75.36,76.84,38.58,54.12,203.16,85.35,205.74,159.92,499.44
Investments,357.79,368.84,688.44,569.25,430.24,417.84,413.32,453.04,563.13,609.12
Other Assets,7350.05,8978.67,10022.34,9459.37,10846.76,12202.75,10579.34,9014.34,11456.16,13793.97
Total,11658.67,12899.36,14131.02,13363.77,14527.67,15901.08,14935.74,13256.53,15942.64,18778.48
Receivables,1730.95,1713.76,2047.51,1850.22,1828.83,2071.87,2115.97,861.41,573.49,811.95
Inventory,3001.1,3963.02,4013.76,3572.01,4095.88,5743.42,4354.05,4070.58,5362.99,6194.89
Cash & Bank,551.64,376.37,332.59,257.16,663.69,281.3,138.24,793.06,1839.13,1466.37
No. of Equity Shares,175785996,175814884,175814884,175870898,176994981,176994981,176994981,177102391,177386525,177517591
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1591.48,221.67,437.02,1968.83,259.27,-52.41,1985.97,4770.99,2278.4,358.56
Cash from Investing Activity,-259.58,-306.73,-192.44,-148.21,12.82,-356.81,-281.56,-548,-1732.23,487.14
Cash from Financing Activity,-1263.42,-142.33,-221.18,-1841.65,41.84,34.44,-1769.02,-3597.99,-498.99,-184.28
Net Cash Flow,68.48,-227.39,23.4,-21.03,313.93,-374.78,-64.61,625,47.18,661.42
