COMPANY NAME,EIH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,477.55,,,,,,,,,
Market Capitalization,29784.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1547.12,1668.77,1660.93,1528.65,1598.84,1810.82,1596.25,493.52,985.26,2018.81
Raw Material Cost,207.02,221.41,234.48,222.57,225.42,244.48,199.42,73.17,132.79,192.39
Change in Inventory,,,,,,,,,,
Power and Fuel,126.15,133.29,129.71,113.36,112.39,124.65,124.84,74.43,95.77,127.21
Other Mfr. Exp,177.1,150.92,137.07,163.08,165.29,183.05,181.34,117.28,97.09,157.03
Employee Cost,399.98,436.25,446.37,438.95,472.52,490.72,477.46,345.6,374.16,431.82
Selling and admin,235.12,241.39,266.61,247.38,232.06,280.82,264.01,146.84,180.87,324.43
Other Expenses,65.91,154.32,101.21,79.92,90.76,80.93,54.34,90.09,138.37,186.45
Other Income,34.27,27.85,40.54,60.87,121.38,7.76,73.25,48.62,99.66,16.1
Depreciation,134.92,167.81,133.37,128.11,117.33,132.56,146.46,129.26,124.3,126.18
Interest,52.71,46.18,28.37,17.85,23.11,50.44,55.61,41.48,34.89,35.57
Profit before tax,182.48,145.05,224.28,178.3,281.34,230.93,166.02,-476.01,-93.32,453.83
Tax,71.47,78.03,81.28,60,85.53,81.98,0.88,-100.56,1.74,124.74
Net profit,107.12,63.1,131.07,103.11,179.2,131.54,148.82,-369.71,-97.46,314.58
Dividend Amount,72.35,62.87,62.87,51.44,51.44,51.44,,,,68.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,230.09,360.12,300.95,394.29,401.05,586.41,637.06,498.1,530.57,741.26
Expenses,249.38,275.79,289.19,297.36,316.75,377.4,432.86,342.64,387.63,416.87
Other Income,17.78,11.4,67.46,29.94,-19.56,26.63,-15.86,27.67,26.22,18.47
Depreciation,31.49,30.89,31.86,31.39,31.6,31.48,31.71,31.94,33.17,33.85
Interest,9.54,8.74,9.43,8.49,7.9,7.11,12.07,6.16,5.63,5.29
Profit before tax,-42.54,56.1,37.93,86.99,25.24,197.05,144.56,145.03,130.36,303.72
Tax,-5.08,15.3,22.08,21.13,2.89,48.32,52.4,39,36.22,73.78
Net profit,-37.09,38.03,14.83,62.82,24.55,142.84,84.37,103.76,93.11,219.3
Operating Profit,-19.29,84.33,11.76,96.93,84.3,209.01,204.2,155.46,142.94,324.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,114.31,114.31,114.31,114.31,114.31,114.31,114.31,125.07,125.07,125.07
Reserves,2500.89,2495.67,2616.32,2666.34,2768.48,2879.08,3022.23,2979.38,2901.58,3249.5
Borrowings,451.75,418.11,318.19,358.93,501.91,550.08,647.47,510.31,475.07,238.41
Other Liabilities,637.25,691.03,555.57,540.08,679.52,698.48,658.09,509.79,635.05,782.1
Total,3704.2,3719.12,3604.39,3679.66,4064.22,4241.95,4442.1,4124.55,4136.77,4395.08
Net Block,2710.67,2615.08,2230.2,2092.26,2547.68,2628.21,3006.95,2885.38,2853.73,2870.85
Capital Work in Progress,50.04,92.52,115.37,321.25,147.6,78.61,130.44,168.92,54.77,96.14
Investments,246.54,254.08,301.03,287.64,326.65,428.41,458.98,411.09,364.94,384.48
Other Assets,696.95,757.44,957.79,978.51,1042.29,1106.72,845.73,659.16,863.33,1043.61
Total,3704.2,3719.12,3604.39,3679.66,4064.22,4241.95,4442.1,4124.55,4136.77,4395.08
Receivables,202.09,223.12,201.3,181.09,223.79,248.06,205.73,77.75,115.71,224.27
Inventory,50.3,48.51,49.71,49.57,51.07,59.79,60.96,51.37,48.74,63.83
Cash & Bank,164.12,198.7,168.07,156.31,176.02,241,229.11,206.19,261,458.9
No. of Equity Shares,571569410,571569410,571569414,571569414,571569414,571569414,571569414,625364182,625364182,625364182
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,298.65,321.14,231.27,243.28,271.76,282.46,317.04,-139.44,-18.69,614.29
Cash from Investing Activity,-97.48,-154.39,-58.02,-268.65,-317.87,-232.39,-163.36,-52.68,23.45,-299.93
Cash from Financing Activity,-196.27,-151.17,-193.43,-4.2,45.2,-18.95,-184.21,169.59,20.32,-298.81
Net Cash Flow,4.9,15.58,-20.18,-29.58,-0.91,31.12,-30.54,-22.53,25.08,15.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,71.55,105.35,102.31,118.15,156.06,202.01,64.54,92.95,154.65,165.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
