COMPANY NAME,EASY TRIP PLANNERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,43.25,,,,,,,,,
Market Capitalization,7665.8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,806.57,1048.72,861.5,102.88,100.11,101.11,140.99,138.49,232.86,429.83
Raw Material Cost,,,11.11,,,,,,,
Change in Inventory,,,4.7,,,,,,,
Power and Fuel,0.14,0.21,0.29,0.3,0.36,0.29,0.6,0.28,0.57,0.59
Other Mfr. Exp,795.73,1018.2,821.44,1.16,1.05,2.66,7.46,1.98,5.39,17.75
Employee Cost,2.14,4.75,6.16,11.12,15.92,22.02,29.95,21.16,23.85,41.44
Selling and admin,4.25,20.09,22.73,54.44,73.79,68.41,76.44,35.13,66.27,179.94
Other Expenses,0.42,0.21,0.12,8.91,19.02,18.26,13.96,3.92,3.96,5.27
Other Income,0.3,0.63,1.43,4.85,12.97,50,38.74,12.43,14.65,15.96
Depreciation,0.32,0.54,0.3,0.43,0.24,0.46,0.71,0.66,0.88,1.15
Interest,0.05,0.07,0.14,0.7,1.51,3.17,3.1,3.17,1.53,2.38
Profit before tax,3.82,5.28,5.34,30.67,1.19,35.84,47.51,84.62,145.06,197.27
Tax,1.26,1.71,1.77,10.57,1.15,11.84,12.86,22.33,37.86,50.44
Net profit,2.56,3.57,3.57,20.11,0.03,23.99,34.65,62.3,107.2,146.82
Dividend Amount,,,,,,,,21.73,21.73,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,56.63,85.77,59.16,83.69,104.32,130.35,111.47,102.34,120.2,128.98
Expenses,22.82,34.22,29.62,42.22,65.87,72.81,64.09,68.73,52.52,63.9
Other Income,3.2,3.25,4.69,4.03,3.73,3.87,4.34,3.12,3.28,4.3
Depreciation,0.22,0.22,0.22,0.25,0.26,0.28,0.36,0.37,0.38,0.38
Interest,0.26,0.54,0.68,0.25,0.63,0.74,0.76,1.11,1.32,0.81
Profit before tax,36.53,54.04,33.33,45,41.29,60.39,50.6,35.25,69.26,68.19
Tax,9.26,13.76,9.4,11.32,10.66,15.68,12.79,9.07,17.8,17.07
Net profit,27.28,40.28,23.92,33.68,30.63,44.7,37.81,26.19,51.46,51.12
Operating Profit,33.81,51.55,29.54,41.47,38.45,57.54,47.38,33.61,67.68,65.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.1,0.1,0.1,0.13,7.24,21.73,21.73,21.73,43.46,173.83
Reserves,7.5,11.07,15.23,43.65,36.71,46.2,80.99,143.65,196.31,213
Borrowings,0.51,,7.07,10.37,,,,,39.69,65.41
Other Liabilities,15.03,24.13,30.6,93.24,136.34,175.16,179.62,215.56,192.18,221.31
Total,23.14,35.3,53,147.39,180.29,243.09,282.34,380.94,471.64,673.55
Net Block,4.26,4.32,15.51,16.37,16.17,15.53,10.21,10.02,10.7,11.88
Capital Work in Progress,,,,,,,0.33,0.33,,
Investments,0.8,0.8,0.87,32.28,30,,2.2,2.61,21.08,24.92
Other Assets,18.08,30.18,36.62,98.74,134.12,227.56,269.6,367.98,439.86,636.75
Total,23.14,35.3,53,147.39,180.29,243.09,282.34,380.94,471.64,673.55
Receivables,9.36,18.84,19.31,37.63,43.09,41.84,58.37,29.39,50.98,162.51
Inventory,,,4.7,0.28,3.15,,,,,
Cash & Bank,0.6,0.42,0.51,4.07,8.99,86.05,130.87,228.28,123.49,37.46
No. of Equity Shares,100000,100000,104000,125810,7243000,108645000,108645000,108645000,217290000,1738320000
New Bonus Shares,,,,,7117190,72430000,,,,216660950
Face value,10,10,10,10,10,2,2,2,2,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-1.01,1,4.06,-12.54,12.8,70.18,47.84,84.37,8.63,-93.48
Cash from Investing Activity,-0.81,-0.6,-11.5,2.76,4.71,-42.05,-68.56,-23.01,-61.04,60.71
Cash from Financing Activity,0.1,-0.57,7.53,9.59,-12.21,-1.73,-0.27,-0.07,-34,-1.81
Net Cash Flow,-1.71,-0.18,0.09,-0.19,5.29,26.4,-21,61.29,-86.41,-34.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,12.95,42.6,43.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.16,0.16,0.16,0.2,11.6,173.84,173.84,173.84,173.84,173.83
