COMPANY NAME,ELECTRONICS MART INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,212.15,,,,,,,,,
Market Capitalization,8150.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,3172.48,3201.88,4349.32,5445.71
Raw Material Cost,,,,,,,2776.23,2846.91,3887.84,4864.74
Change in Inventory,,,,,,,74.01,79.59,132.45,159.71
Power and Fuel,,,,,,,14.95,16.45,23.96,33.24
Other Mfr. Exp,,,,,,,22.51,23.93,30.11,40.5
Employee Cost,,,,,,,58.7,61.5,78.98,95.68
Selling and admin,,,,,,,137.69,120.07,165.29,233.63
Other Expenses,,,,,,,8.76,8.73,3.66,1.57
Other Income,,,,,,,-1.33,5.49,3.76,11.05
Depreciation,,,,,,,50.76,58.14,71.32,85.38
Interest,,,,,,,63.38,71.67,84.61,98.54
Profit before tax,,,,,,,112.18,79.56,139.76,163.19
Tax,,,,,,,30.58,20.94,35.87,40.4
Net profit,,,,,,,81.61,58.62,103.89,122.8
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,930.24,1265.3,1230.66,1408.45,1227.74,1481.71,1327.81,1689.07,1313.21,1788.71
Expenses,860.45,1188.32,1141.9,1311.4,1152.38,1408.95,1236.9,1559.12,1216.59,1673.43
Other Income,1.52,0.54,0.85,1.8,0.73,3.05,5.46,2.5,2.48,2.12
Depreciation,17.47,18.08,18.98,19.93,20.7,21.64,23.12,24.61,25.48,26.3
Interest,20.03,21.95,23.13,23.82,23.01,24.6,27.12,27.06,23.49,29.09
Profit before tax,33.81,37.49,47.5,55.1,32.38,29.57,46.13,80.78,50.13,62.01
Tax,8.5,9.79,12.17,14.44,8.26,7.67,10.02,20.52,12.75,16.25
Net profit,25.31,27.7,35.34,40.66,24.13,21.9,36.11,60.26,37.38,45.77
Operating Profit,69.79,76.98,88.76,97.05,75.36,72.76,90.91,129.95,96.62,115.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,300,300,300,384.75
Reserves,,,,,,,133.07,191.92,296.51,799.56
Borrowings,,,,,,,871.65,967.88,1148.82,1431.75
Other Liabilities,,,,,,,42.89,63.73,86.64,77.81
Total,,,,,,,1347.61,1523.53,1831.97,2693.87
Net Block,,,,,,,223.24,673.65,784.95,1142.12
Capital Work in Progress,,,,,,,350.67,2.04,23.84,13.88
Investments,,,,,,,,,,
Other Assets,,,,,,,773.7,847.84,1023.18,1537.87
Total,,,,,,,1347.61,1523.53,1831.97,2693.87
Receivables,,,,,,,84.6,95.39,115.17,138.41
Inventory,,,,,,,401.78,481.37,613.82,773.53
Cash & Bank,,,,,,,87.07,35.02,34.4,203.16
No. of Equity Shares,,,,,,,300003000,300003000,300003000,384748762
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,36,64.01,116.17,-0.58
Cash from Investing Activity,,,,,,,-70.35,-59.95,-67.85,-300.66
Cash from Financing Activity,,,,,,,70.64,-56.12,-48.94,469.99
Net Cash Flow,,,,,,,36.3,-52.05,-0.62,168.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,66.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,30,30,30,38.47
