COMPANY NAME,ELGI EQUIPMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,627.85,,,,,,,,,
Market Capitalization,19904.85,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1350.29,1293.55,1400.82,1370.11,1603.91,1863.22,1829.21,1923.77,2524.71,3040.7
Raw Material Cost,795.44,748.34,765.22,752.3,927.36,1028.49,1010.29,996.93,1467.29,1610.17
Change in Inventory,15.59,12.17,-14.6,-1.57,22.48,-2.63,29.66,-30.64,110.26,76.79
Power and Fuel,12.82,14.74,16.1,15.67,18.09,18.41,18.67,16.65,21.39,24.51
Other Mfr. Exp,36.57,37.01,34.63,49.63,55.83,92.5,93.2,117.49,180.1,210.39
Employee Cost,232.9,249.95,256.86,254.01,281.47,341.01,404.79,412.03,484.19,572.06
Selling and admin,174.31,158.88,165.41,139.48,146.24,160.15,169.37,116.1,164.8,233.94
Other Expenses,12.51,7.15,21.05,16.54,19.85,25.88,24.98,16.78,19.1,29.27
Other Income,9.08,32.36,5.92,13.5,10.24,11.43,14.45,24.91,54.37,175.08
Depreciation,26.24,36.57,43.58,44.64,43.82,51.11,65.23,74.34,74.49,77.72
Interest,11.69,17.05,13.95,9.32,7.38,10.97,17.23,14.97,14.95,24.14
Profit before tax,72.48,68.39,75.34,100.45,136.59,143.5,69.56,152.75,263.03,510.37
Tax,26.93,20.29,24.41,26.45,41.31,40.44,26.99,50.27,84.61,139.56
Net profit,45.55,48.1,50.93,74,95.28,103.07,42.57,102.49,178.43,370.81
Dividend Amount,15.85,15.85,15.85,15.85,19.02,20.6,26.15,25.35,36.44,63.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,652.04,655.62,727.61,693.8,738.72,772.44,835.74,723.88,806.12,821.83
Expenses,571.89,581.99,621.45,615.66,626.09,659.01,708.5,635.24,663.38,692.43
Other Income,17.99,10.82,15.82,14.01,16.22,17.92,128.27,20.26,12.58,12.87
Depreciation,18.28,17.77,19.93,18.86,19.64,19.73,19.5,18.52,18.66,19.49
Interest,2.8,3.01,2.4,2.8,5.12,6.44,5.4,4.67,6.61,8.47
Profit before tax,77.06,63.67,99.65,70.49,104.09,105.18,230.61,85.71,130.05,114.31
Tax,25.45,21.93,26.6,21.81,32.14,25.12,60.51,25.22,38.76,30.44
Net profit,51.62,41.73,73.06,48.69,71.96,80.06,170.1,60.48,91.29,83.88
Operating Profit,80.15,73.63,106.16,78.14,112.63,113.43,127.24,88.64,142.74,129.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,15.85,15.85,15.85,15.85,15.85,15.85,15.85,31.69,31.69,31.69
Reserves,447.77,477.58,530.37,591.05,673.1,755.07,753.15,838.2,1000.83,1339.46
Borrowings,337.35,366.75,304.07,251.07,266.17,237.74,448.1,464.72,435.82,576.78
Other Liabilities,363.49,296,255.86,249.73,297.66,366.43,334,430.03,490.64,531.18
Total,1164.46,1156.18,1106.15,1107.7,1252.78,1375.09,1551.1,1764.64,1958.98,2479.11
Net Block,391.08,454.09,461.98,440.9,440.24,504.22,600.17,572,553.24,586.84
Capital Work in Progress,86.15,10.18,1.97,3.56,2.06,5.72,3.72,4.12,7.47,2.92
Investments,14.85,14.84,14.87,15.28,15.05,14.33,12.44,23.77,30.9,37
Other Assets,672.38,677.07,627.33,647.96,795.43,850.82,934.77,1164.75,1367.37,1852.35
Total,1164.46,1156.18,1106.15,1107.7,1252.78,1375.09,1551.1,1764.64,1958.98,2479.11
Receivables,242.71,244.03,253.07,242.31,343.43,366.91,346.76,399.73,471.88,550.71
Inventory,252.74,266.26,225.64,226.05,273.68,278.66,343.43,342.69,483.06,602.36
Cash & Bank,68.75,78.32,82.8,105.91,108.89,110.17,85.72,262.09,278.35,570.22
No. of Equity Shares,158454510,158454508,158454508,158454508,158450000,158450000,158450000,316910000,316910000,316910000
New Bonus Shares,,,,,,,,286145000,286145000,286145000
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,97.45,78.03,125.69,125.55,46.51,171.86,35.48,240.04,68.56,165.91
Cash from Investing Activity,-122.17,-16.78,-15.87,-38.87,-53.24,-106.91,-151.58,-109.51,1.9,-217.34
Cash from Financing Activity,20.41,-51.68,-99.51,-77.4,-9.85,-60.09,91.37,-48.22,-81.19,59.82
Net Cash Flow,-4.31,9.57,10.32,9.28,-16.57,4.86,-24.73,82.31,-10.72,8.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,51.93,74.2,65.1,107.3,126.23,122.75,56.03,190.75,279.55,438.15
,,,,,,,,,,
