COMPANY NAME,ENDURANCE TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1956,,,,,,,,,
Market Capitalization,27605.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4211.91,4916.95,5227.91,5588.39,6348.85,7508.59,6914.89,6547.02,7549.14,8804.05
Raw Material Cost,2665.66,3056.1,3147.84,3266.96,3679.04,4350.93,3732.36,3597.39,4527.2,5442.65
Change in Inventory,27.31,84.95,33.7,41.02,18.13,1.47,-2.85,16.71,94.66,94.64
Power and Fuel,,,206.99,223.13,243.23,286.53,285.72,268.33,351.19,400.84
Other Mfr. Exp,,,573.19,630.73,708.12,796.76,819.07,784.58,849.19,955.62
Employee Cost,80.96,420.57,488.03,550.9,584.44,656.01,680.32,677.74,696.26,766.32
Selling and admin,,,107.09,118.75,142.54,165.14,156.32,147.93,160.8,190.55
Other Expenses,958.51,929.52,58.72,80.61,81.76,125.92,107.48,47.54,94.53,106.44
Other Income,30.32,41.59,32.71,29.07,-3.41,6.25,47.6,19.48,9.59,35.14
Depreciation,207.79,226.87,243.17,290.51,321.59,376.21,414.28,399.14,381.73,421.58
Interest,80.96,51,48.96,32.25,23.52,25.73,17.54,13.76,6.35,20.58
Profit before tax,275.66,359.43,420.33,464.64,579.33,733.08,746.55,646.8,586.14,629.25
Tax,70.43,105.49,119.88,134.34,188.58,238.08,181.01,127.23,125.44,149.68
Net profit,204.48,252.38,299.36,330.31,390.76,495.01,565.53,519.71,460.71,479.58
Dividend Amount,5.27,12.31,12.97,35.16,56.26,77.36,77.36,84.4,87.91,98.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1887.55,1889.12,2078.8,2113.83,2360.63,2095.25,2234.34,2449.96,2545.03,2561.11
Expenses,1627.56,1685.91,1821.67,1874.07,2089.03,1855.73,1948.95,2128.7,2226.71,2262.11
Other Income,8.2,7.47,12.68,-5.61,8.43,11.51,20.82,16.59,15.52,26.97
Depreciation,93.99,91.35,98.11,99.15,99.27,101.61,121.56,112.94,118.41,114.42
Interest,1.8,1.4,1.7,1.92,6.11,4.58,7.98,9.01,9.82,10.93
Profit before tax,172.4,117.93,170,133.08,174.65,144.84,176.67,215.9,205.61,200.62
Tax,39.06,23.3,33.81,29.7,43.16,36.61,40.21,52.4,51.05,48.34
Net profit,133.33,94.63,136.19,103.39,131.49,108.23,136.47,163.5,154.56,152.28
Operating Profit,259.99,203.21,257.13,239.76,271.6,239.52,285.39,321.26,318.32,299
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.58,17.58,17.58,140.66,140.66,140.66,140.66,140.66,140.66,140.66
Reserves,961.21,1124.24,1432.23,1588.67,2032.19,2424.02,2865.38,3421.45,3779.33,4271.47
Borrowings,698.03,763.93,831.28,693.98,814.08,730.5,749.56,641.09,429.61,514.77
Other Liabilities,838.33,878.65,999.68,1087.15,1352.62,1474.72,1306.44,1543.84,1507.38,1875.03
Total,2515.15,2784.4,3280.77,3510.46,4339.55,4769.9,5062.04,5747.04,5856.98,6801.93
Net Block,1271.21,1452.69,1586.87,1633.69,1850.97,2163.13,2606.3,2602.57,2714.68,3142.86
Capital Work in Progress,13.69,21.63,103.39,43.82,59.17,117.79,125.95,96.16,119.32,170.89
Investments,9.52,1.03,48.19,32.65,45.93,36.1,166.02,444.33,486.78,671.84
Other Assets,1220.73,1309.05,1542.32,1800.3,2383.48,2452.88,2163.77,2603.98,2536.2,2816.34
Total,2515.15,2784.4,3280.77,3510.46,4339.55,4769.9,5062.04,5747.04,5856.98,6801.93
Receivables,675.04,579.49,592.79,760.87,968.82,925.14,672.74,1040.98,970.37,1162.03
Inventory,265.15,385.78,409.86,443.83,493.85,540.01,550.1,611.85,701.14,820.58
Cash & Bank,119.42,93.64,167.42,219.93,502.72,537.9,620.95,513.33,402.64,287.71
No. of Equity Shares,43957140,43957140,43957140,140662848,140662848,140662848,140662848,140662848,140662848,140662848
New Bonus Shares,,,,,,,,,,
Face value,4,4,4,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,568.96,413.32,698.28,537.08,742.07,898.34,1011.4,621.48,741.55,861.99
Cash from Investing Activity,-211.82,-288.51,-508.64,-360.69,-435.53,-695.88,-670.6,-586.06,-550.25,-905.05
Cash from Financing Activity,-377,-138.8,-114.1,-122.37,-23.56,-167.3,-257.64,-143.01,-302,-71.88
Net Cash Flow,-19.86,-13.99,75.55,54.03,282.98,35.16,83.16,-107.59,-110.69,-114.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
