COMPANY NAME,EQUITAS SMALL FINANCE BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,92.85,,,,,,,,,
Market Capitalization,10520.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,6.21,408.18,981.05,1542.71,2111.93,2645.44,3194.41,3459.67,4161.88,5486.4
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.11,,,,,,,,,
Other Mfr. Exp,0.13,1.6,6.08,17.33,19.35,21.56,21.91,24.55,35.79,
Employee Cost,11.55,94.17,319.04,516.26,552.19,711.73,794.09,901.38,1099.82,1368.83
Selling and admin,3.46,45.18,125.98,233.89,261.78,294.58,283.91,416.5,527.48,
Other Expenses,2.01,89.44,110.15,196.2,181.5,276.61,528.4,780.28,697.88,1446.48
Other Income,0.02,71.18,233.23,241.22,282.9,282.35,418.05,537.56,669.59,798.67
Depreciation,,4.74,31.71,87.51,91.78,96.45,76.43,75.28,84.54,
Interest,1.86,159.11,459.87,684.22,964.5,1150.14,1396.45,1421.13,1617.15,2406.64
Profit before tax,-12.89,85.12,161.45,48.52,323.73,376.72,511.27,378.11,768.81,1063.12
Tax,,,57.32,16.69,113.17,133.08,127.04,97.38,195.22,264.16
Net profit,-12.89,85.12,104.13,31.83,210.57,243.64,384.22,280.73,573.59,798.96
Dividend Amount,,,,,,,,,111.06,113.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,901.16,895.83,940.4,1002.37,1063.39,1155.73,1253.96,1358.99,1428.8,1444.65
Expenses,528.62,539.88,587.21,602.5,570.93,684.86,662.46,679.96,714.7,758.19
Other Income,133.85,148.15,133.22,145.03,152.64,238.69,171.37,181.37,205.48,240.45
Depreciation,,,,,,,,,,
Interest,360.08,343.37,359.82,392.68,415.89,448.77,510.82,593.41,643.65,658.76
Profit before tax,146.31,160.73,126.59,152.22,229.21,260.79,252.05,266.99,275.93,268.15
Tax,38.2,41.22,29.58,35.8,59.08,70.75,60.85,68.86,73.93,60.53
Net profit,108.11,119.51,97.01,116.42,170.13,190.04,191.2,198.14,202,207.62
Operating Profit,372.54,355.95,353.19,399.87,492.46,470.87,591.5,679.03,714.1,686.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,60.55,423,1005.94,1005.94,1005.94,1053.4,1139.28,1252.03,1110.56,
Reserves,-13.37,287.92,1005.98,1037.81,1248.38,1690.75,2257.06,2994.14,4047.39,
Borrowings,43.52,1637.73,6700.19,10781.18,12979.77,15923.28,20557.29,21567.2,28354.32,
Other Liabilities,14.39,65.45,533.24,485.02,528.6,628.12,754.84,1134.26,1445.86,
Total,105.09,2414.1,9245.35,13309.95,15762.69,19295.55,24708.47,26947.63,34958.13,
Net Block,3.52,11.17,273.61,279.73,235.71,210.5,184.17,189.27,337.7,
Capital Work in Progress,,,14.74,1.15,1.62,2.27,0.88,11.18,41.43,
Investments,,,1890.5,3856.84,2344.45,2342.51,3705.17,4449.85,6664.56,
Other Assets,101.57,2402.93,7066.5,9172.23,13180.91,16740.27,20818.25,22297.33,27914.44,
Total,105.09,2414.1,9245.35,13309.95,15762.69,19295.55,24708.47,26947.63,34958.13,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,7.7,100.68,1114.07,1211.17,1260.62,2536.84,3378.71,2132.51,1244.26,
No. of Equity Shares,60550000,423000000,1005943963,1005943963,1005943363,1053401602,1139278250,1252027655,1110558154,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,-336.07,1333.74,212.75,1799.3,439.62,2043.94,159.47,-997.67,4297.88
Cash from Investing Activity,,-8.72,-404.97,-11.3,-6.62,-71.73,-42.8,-89.09,49.3,-421.91
Cash from Financing Activity,,168.06,-562.55,-28.37,-1706.25,908.28,-1153.91,-1316.57,60.11,-1612.39
Net Cash Flow,,-176.73,366.22,173.08,86.43,1276.17,847.23,-1246.19,-888.26,2263.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,60.25,51.1,67.1,92.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,6.06,42.3,100.59,100.59,100.59,105.34,113.93,125.2,111.06,113.49
