COMPANY NAME,ESCORTS KUBOTA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3445.35,,,,,,,,,
Market Capitalization,38080.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4112.68,3431.99,4145.33,5059.34,6262.02,5810.09,7014.42,7282.65,8428.69,8849.62
Raw Material Cost,2844.12,2409.31,2877.78,3426.78,4481.47,3846.68,4514.72,5045.45,6286.53,6166.93
Change in Inventory,-83.03,24.88,46.49,19.36,204.54,5.58,-129.92,66.94,163.65,79.71
Power and Fuel,45.17,36.01,38.84,38.2,45.44,40.07,38.37,40.59,45.84,
Other Mfr. Exp,99.99,98.37,137.75,167.41,215.43,205.6,204.74,232.41,289.65,
Employee Cost,479.47,413.56,422.1,460.47,492.76,526.59,555.41,549.41,613.83,648.73
Selling and admin,358.7,305,344.98,362,431.46,423.61,370.27,394.61,491.31,
Other Expenses,128.81,33.67,102.59,70.49,77.43,111.8,74.97,121.06,95.14,946.99
Other Income,123.93,30.66,35.85,58.44,99.19,88.38,160.38,173.8,227.88,415.06
Depreciation,68.63,58.13,63.42,73.22,87.21,107.22,118.28,132.06,150.06,166.9
Interest,58.26,51.06,32.21,29.49,19.54,17.23,13.34,14.97,13.27,13.72
Profit before tax,70.43,82.42,208,509.08,715.01,625.25,1154.78,992.83,834.59,1401.12
Tax,-5.58,12.27,77.25,162.49,237.11,153.53,283.15,257.22,197.94,351.94
Net profit,76.31,70.61,131.27,347.02,478.93,472.25,871.46,736.47,636.78,1049.11
Dividend Amount,14.31,14.71,18.39,24.52,30.64,30.64,101.12,92.36,92.36,198.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1998.29,1886.64,2032.06,1890.8,2291.35,2214.48,2355.17,2059.3,2341.62,2093.53
Expenses,1726.45,1646.94,1836.02,1746.13,2105.96,1981.32,2024.12,1807.47,2027.25,1832.97
Other Income,26.71,54.84,35.52,25,91.68,86.46,99.02,95.09,109.47,120.25
Depreciation,33.1,33.52,36.82,36.9,37.97,38.37,40.3,40.8,41.64,44.16
Interest,3.83,3.56,3.2,2.96,3.48,3.63,3.43,3.13,3.18,3.98
Profit before tax,261.62,257.46,191.54,129.81,235.62,277.62,386.34,302.99,379.02,332.67
Tax,67.91,67.48,50.95,31.01,54.82,61.16,96.45,79.7,95.01,80.78
Net profit,194.19,190.92,140.64,98.83,180.82,216.49,289.9,223.31,284,251.9
Operating Profit,271.84,239.7,196.04,144.67,185.39,233.16,331.05,251.83,314.37,260.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,119.29,122.58,122.58,122.58,122.58,122.58,134.83,131.94,131.94,110.5
Reserves,1711.38,1343.9,1498.35,2092.56,2550.91,2994.82,4891.3,7467.96,8054.77,9065.8
Borrowings,484.38,368.12,265.43,51.09,280.96,47.67,60.61,51.95,57.3,53.09
Other Liabilities,1234.82,1133.58,1312.86,1706.3,1752.52,1848.89,1791.43,1455.89,1840.81,2037.52
Total,3549.87,2968.18,3199.22,3972.53,4706.97,5013.96,6878.17,9107.74,10084.82,11266.91
Net Block,1595.53,1539.02,1581.14,1587.8,1647.23,1702.41,1796.23,1841.05,1891.15,1906.26
Capital Work in Progress,55.72,58.43,34.7,65.72,79.96,124.66,64.69,87.8,113.68,116.31
Investments,372.64,63.66,212.34,549.04,490.79,797.36,1938.02,4835.84,4766.69,5219.9
Other Assets,1525.98,1307.07,1371.04,1769.97,2488.99,2389.53,3079.23,2343.05,3313.3,4024.44
Total,3549.87,2968.18,3199.22,3972.53,4706.97,5013.96,6878.17,9107.74,10084.82,11266.91
Receivables,414.26,374.97,456.45,592,931.05,731.86,657.58,792.62,1179.65,1173.76
Inventory,513.72,456.76,450.3,565.73,857.42,883.36,718.16,846.56,1217.68,1218.1
Cash & Bank,251.36,253.03,244.1,317.29,243.3,324.88,1321.76,271.84,471.9,1179
No. of Equity Shares,119283266,122576878,122576878,122576878,122576878,122576878,134834566,131940604,131940604,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-9.8,212.24,303.83,460.08,-234.31,797.16,1128.66,32.28,223.91,
Cash from Investing Activity,16.55,-44.09,-154.61,-374.18,-17.66,-420.87,-2195.15,-1856.39,-62.05,
Cash from Financing Activity,1.28,-190.89,-113.12,-0.99,190.89,-300.45,1003.34,1809.88,-71.22,
Net Cash Flow,8.03,-22.74,36.1,84.91,-61.08,75.84,-63.15,-14.23,90.64,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
