COMPANY NAME,ETHOS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2171.55,,,,,,,,,
Market Capitalization,5313.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,324.89,356.09,441.79,455.66,386.57,577.28,788.53
Raw Material Cost,,,,256.76,273.1,349.88,342.05,260.85,463.29,634.32
Change in Inventory,,,,3.78,2.05,,13.02,-20.82,52.16,89.94
Power and Fuel,,,,1.12,1.05,1.22,1.38,0.95,1.15,2.02
Other Mfr. Exp,,,,1.61,0.01,4.14,5.3,4.93,5.35,6.67
Employee Cost,,,,20.52,22.74,32.47,31.74,27.7,41.31,51.99
Selling and admin,,,,42.05,42.24,56.83,31.76,26.6,41.78,58.11
Other Expenses,,,,1.53,4.9,-32.01,3.26,3.05,5.85,6.12
Other Income,,,,1.4,1.76,1.57,6.2,16.97,13.36,15.2
Depreciation,,,,3.79,4.07,4.77,34.58,32.47,31.41,34.53
Interest,,,,11.14,6.58,7.6,23.57,19.87,21.45,20.15
Profit before tax,,,,-8.45,5.21,18.46,1.24,6.3,31.21,79.76
Tax,,,,-2.36,1.21,7.26,1.21,1.66,7.84,19.97
Net profit,,,,-6.09,4,11.2,0.04,4.64,23.36,59.8
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,134.37,195.28,158.69,173.56,177.72,229.68,207.57,230.02,234.19,281.2
Expenses,121.39,169.33,138.84,146.52,152,194.6,182.18,196.19,197.39,236.93
Other Income,2.53,3.21,2.6,2.22,3.81,4.13,5.03,4.74,4.44,6.56
Depreciation,7.91,8.55,7.99,8.09,8.2,8.74,9.5,10.72,12.46,12.31
Interest,3.93,4.39,4.51,4.23,3.34,3.1,3.46,3.79,4.13,4.03
Profit before tax,3.67,16.22,9.95,16.94,17.99,27.37,17.46,24.06,24.65,34.49
Tax,1.03,4.21,2.15,4.31,4.48,6.79,4.39,6.08,6.21,8.64
Net profit,2.65,12.01,7.79,12.63,13.51,20.57,13.07,17.99,18.44,25.84
Operating Profit,12.98,25.95,19.85,27.04,25.72,35.08,25.39,33.83,36.8,44.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,13.2,15.91,16.9,18.21,18.21,19.08,23.35
Reserves,,,,32.03,75.7,114.81,134.34,138.92,212.78,607.83
Borrowings,,,,68.64,63.3,77.06,174.65,140.19,161.29,120.72
Other Liabilities,,,,101.33,94.91,91.16,99.9,98.26,114.2,128.44
Total,,,,215.2,249.82,299.93,427.1,395.58,507.35,880.34
Net Block,,,,9.9,16.74,21.59,128.16,112.44,128.98,196.93
Capital Work in Progress,,,,0.23,0.37,4.78,0.75,3.81,,4.01
Investments,,,,,0.43,0.43,3.77,4.36,5.81,6.99
Other Assets,,,,205.07,232.28,273.13,294.42,274.97,372.56,672.41
Total,,,,215.2,249.82,299.93,427.1,395.58,507.35,880.34
Receivables,,,,1.61,6.46,7.75,9.38,12.18,5.18,6.18
Inventory,,,,168.99,171.03,205.57,218.59,197.77,249.93,339.87
Cash & Bank,,,,9.06,7.19,7.56,9.79,19.28,39.36,224.69
No. of Equity Shares,,,,13203895,15908564,16901713,18212812,18212812,19078163,23349233
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,4.06,-1.11,,34.78,62.38,16.86,-4.8
Cash from Investing Activity,,,,-2.1,-11.83,,-12.65,-10.16,-23.25,-254.05
Cash from Financing Activity,,,,2.44,11.07,,-19.62,-44.88,26.53,248.59
Net Cash Flow,,,,4.4,-1.87,,2.5,7.35,20.13,-10.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,959.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.32,1.59,1.69,1.82,1.82,1.91,2.33
