COMPANY NAME,FERTILIZERS & CHEMICALS TRAVANCORE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,651.7,,,,,,,,,
Market Capitalization,42194.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2209.37,1978.79,1735.99,1866.63,1926.82,1954.59,2769.91,3258.83,4424.8,6198.15
Raw Material Cost,1592.2,1463.69,1082.52,1159.3,1056.65,1348.55,1566.28,1693.53,2731.03,4135.04
Change in Inventory,33.68,0.59,-179.04,81.2,30.53,76.98,-8.6,-96.72,-6.56,448.95
Power and Fuel,259.25,148.76,119.98,166.81,164.59,117.89,254.78,213.15,427.88,751.53
Other Mfr. Exp,107.81,108.25,141.3,118.23,80.1,100.45,104.42,115.63,135.04,142.12
Employee Cost,257.54,262.78,249.65,243.98,249.45,229.86,233.06,229.23,231.78,288.24
Selling and admin,186.37,164.46,139.53,245.91,273.9,193.24,281.12,333.25,250.36,289.12
Other Expenses,-14.17,9.33,47.23,-31.64,-35.23,31.94,42.46,26.48,46.34,286.19
Other Income,118.08,-5.52,41.33,18.04,41.62,456.59,1003.67,67.58,22.16,135.58
Depreciation,45.26,20.21,18.12,21.3,17.15,23.02,18.02,22.69,27.19,30.11
Interest,191.83,196.29,252.14,304.66,321.42,280.53,289.34,245.26,244.41,247.34
Profit before tax,-264.96,-399.91,-452.19,-262.68,-129.06,162.68,975.5,350.47,346.37,612.99
Tax,,,,,,,,,,
Net profit,-264.96,-399.91,-452.19,-262.68,-129.06,162.69,975.5,350.47,346.38,612.99
Dividend Amount,,,,,,,,,,64.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,781.65,1208.46,1692.55,1292.37,1935,1721.94,1248.84,1232.57,1663.21,1097.33
Expenses,677.13,1098.49,1395.87,1109.68,1698.45,1522.58,1064.69,1085.66,1530.85,1054.3
Other Income,-2.74,2.52,-1.63,22.76,-22.54,35.57,51.89,-7.21,39.44,54.13
Depreciation,3.76,7.02,8.78,6.9,6.94,7.12,9.15,5.25,5.32,5.25
Interest,61.57,61.88,59.73,61.56,62.47,62.02,61.29,62.64,61.24,61.59
Profit before tax,36.45,43.59,226.54,136.99,144.6,165.79,165.6,71.81,105.24,30.32
Tax,,,,,,,,,,
Net profit,36.45,43.59,226.54,136.99,144.6,165.79,165.6,71.81,105.24,30.32
Operating Profit,104.52,109.97,296.68,182.69,236.55,199.36,184.15,146.91,132.36,43.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,647.07,647.07,647.07,647.07,647.07,647.07,647.07,647.07,647.07,647.07
Reserves,-1103.81,-1503.74,-1955.96,-2159.41,-2285.9,-2119.34,-1138.99,-827.06,14.95,626.82
Borrowings,1110.86,1074.3,1810.59,2402.3,2277.86,2273.92,1820.69,1822.36,1837.58,1841.72
Other Liabilities,1261.2,1449.27,1166.55,715.42,1215.13,1546.55,1317.2,1756.15,2275.7,2378.66
Total,1915.32,1666.9,1668.25,1605.38,1854.16,2348.2,2645.97,3398.52,4775.3,5494.27
Net Block,276.06,281.8,269.73,296.81,294.72,295.55,257.54,285.74,815.66,813.78
Capital Work in Progress,23.83,24.86,21.86,24.68,18.5,17.92,38.96,54.98,42.51,104.59
Investments,21.36,3.67,3.67,45.72,59.27,69.06,78.12,86.27,97.88,112.86
Other Assets,1594.07,1356.57,1372.99,1238.17,1481.67,1965.67,2271.35,2971.53,3819.25,4463.04
Total,1915.32,1666.9,1668.25,1605.38,1854.16,2348.2,2645.97,3398.52,4775.3,5494.27
Receivables,11.47,10.21,7.1,506.07,364.39,405.31,390.16,104.38,175.23,478.87
Inventory,654.19,587.24,425.37,466.87,516.78,686.02,596.66,549.72,697.81,1038.08
Cash & Bank,77.37,88.39,57.57,52.18,63.65,74.67,684.72,1666.87,1876.46,2319.47
No. of Equity Shares,647071974,647071974,647071974,647071974,647071974,647071974,647071974,647071974,647071974,647071974
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,61.09,192.04,-205.61,31.38,223.86,-410.24,214.34,1020.66,151.81,555.03
Cash from Investing Activity,-50.36,-9.21,-3.16,74.91,-3.19,416,335.63,-854.47,-157.03,-683.03
Cash from Financing Activity,-15.71,-180.09,223.83,-94.08,-206.84,-45.46,-507.68,-36.13,8.49,-4.48
Net Cash Flow,-4.98,2.74,15.06,12.21,13.83,-39.69,42.29,130.07,3.27,-132.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,20.65,28.1,21.3,41.6,51,36.6,32.4,109.65,130.9,205.4
,,,,,,,,,,
