COMPANY NAME,FINEOTEX CHEMICAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,344.9,,,,,,,,,
Market Capitalization,3819.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,86.67,101.98,109.92,127.02,141.12,182.33,196.34,218.51,368.23,517
Raw Material Cost,62.43,66.49,64.44,69.99,82.15,112.32,114.19,133.8,223.53,328.66
Change in Inventory,0.81,-1.74,0.79,1.22,2.83,3.09,-2,0.9,1.07,2.68
Power and Fuel,0.38,0.22,0.43,0.44,0.39,0.47,0.51,0.67,1.08,1.58
Other Mfr. Exp,2.15,3.24,3.4,8.67,9.07,11.73,11.05,14.02,23.03,21.73
Employee Cost,3.54,3.7,3.79,4.64,6.18,7.53,8.73,8.86,13.58,18.38
Selling and admin,6.04,6.4,8.94,12.08,12.33,14.78,20.76,16.76,32.22,30.09
Other Expenses,3.68,3.69,1.51,2.94,3.75,4.15,4.32,4.73,4.66,6.64
Other Income,2.57,4.53,2.13,9.75,5.06,1.02,-11.02,17.49,5.52,7.3
Depreciation,0.26,0.5,0.56,0.63,0.65,1,1.17,1.47,2.51,4.28
Interest,0.4,0.33,0.39,0.39,0.57,0.83,0.63,0.72,0.92,0.82
Profit before tax,11.17,20.2,29.38,38.21,33.92,33.63,21.96,55.87,73.29,114.8
Tax,3.35,5.6,9.14,9.15,9.95,9.3,7.65,11.31,16.4,25.24
Net profit,6.5,12.91,17.57,25.8,22.7,22.52,13.08,42.59,55.17,88.32
Dividend Amount,0.56,1.12,2.25,1.11,2.23,1.11,0.56,3.32,4.43,8.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,78.49,105.07,121.39,135.77,134.31,109.23,137.69,132.23,145.27,138.45
Expenses,63.69,79.99,99.87,109.53,109.21,80.68,104.98,100.7,107.06,98.11
Other Income,1.29,1.18,0.23,0.95,2.47,1.79,2.09,3.64,3.81,4.94
Depreciation,0.51,0.62,0.88,1,1.02,1.1,1.16,1.33,1.41,1.43
Interest,0.21,0.28,0.21,0.13,0.23,0.2,0.26,0.19,0.26,0.29
Profit before tax,15.37,25.36,20.66,26.06,26.32,29.04,33.38,33.65,40.35,43.56
Tax,4.25,6.28,3.66,5.75,5.54,6.56,7.38,7.52,8.85,10.64
Net profit,10.72,18.46,16.52,19.77,20.57,22.15,25.82,25.68,31.35,32.67
Operating Profit,14.8,25.08,21.52,26.24,25.1,28.55,32.71,31.53,38.21,40.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.23,22.46,22.46,22.26,22.26,22.26,22.26,22.15,22.15,22.15
Reserves,53.53,53.86,68.83,90.22,113.46,136.55,147.43,187.19,240,326.51
Borrowings,3.66,1.78,3.04,1.07,4.74,2.19,3.03,3.48,1.91,7.28
Other Liabilities,19.41,22.67,19.86,26.48,20.65,33.74,35.13,54.14,75.43,66.76
Total,87.83,100.77,114.19,140.03,161.11,194.74,207.85,266.96,339.49,422.7
Net Block,13.75,17.76,19.25,27.19,29.14,35.98,40.6,59.4,84.04,98.88
Capital Work in Progress,,0.03,,,0.12,0.14,0.63,4.6,,0.36
Investments,15.81,29.3,38.98,47.01,54.75,48.16,52.47,32.38,17.31,89.33
Other Assets,58.27,53.68,55.96,65.83,77.1,110.46,114.15,170.58,238.14,234.13
Total,87.83,100.77,114.19,140.03,161.11,194.74,207.85,266.96,339.49,422.7
Receivables,21.92,22.29,25.39,29.25,27.92,49.13,53.85,82.67,110.89,101.4
Inventory,11.44,10.41,11.47,13.14,21.1,25.09,21.09,28.75,59.59,47.29
Cash & Bank,12.72,10.01,9.46,13.12,8.01,14.74,17.93,33.91,38.06,59.57
No. of Equity Shares,11229811,22459622,112298110,111300000,111300000,111300000,111300000,110748420,110748420,110748420
New Bonus Shares,,11229811,,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1.13,13.63,13.62,19.12,6.34,12.02,28.36,9.2,13.38,107.27
Cash from Investing Activity,11.5,-13.73,-12.79,-14.15,-5.72,5,-18.63,-7.25,0.67,-99.47
Cash from Financing Activity,-3.64,-2.58,-1.46,-5.85,-3.62,-3.44,-3.88,-4.44,-5.66,-6.44
Net Cash Flow,8.99,-2.67,-0.62,-0.87,-3,13.58,5.85,-2.49,8.39,1.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,2.96,22.2,32.5,34.1,58.35,40.4,14.7,65.8,180.7,233.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
