COMPANY NAME,FINOLEX CABLES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1014.5,,,,,,,,,
Market Capitalization,15469.61,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2359.04,2449.09,2360.32,2444.84,2815.12,3077.79,2877.3,2768.11,3768.14,4481.11
Raw Material Cost,1755.66,1736.35,1734.07,1845.19,2066.09,2337.97,2083.32,2206.15,2887.45,3537.91
Change in Inventory,21.53,-52.06,13.09,118.33,31.91,73.03,-0.03,154.71,-78.83,-6.57
Power and Fuel,37.07,30.84,42.42,43.48,47.47,47.98,46.4,43.52,46.36,61.29
Other Mfr. Exp,55.68,58.9,30.62,30.28,39.19,39.68,36.11,26.55,36.74,45.78
Employee Cost,84.94,94.1,107.36,119.9,136.53,141.54,150.4,138.69,146.93,163.65
Selling and admin,156.73,183.15,73.33,106.35,95.61,99.73,98.58,93.34,86.45,117.95
Other Expenses,42.2,33.79,46.72,46.54,39.52,28.57,92.48,59.69,69.7,52.4
Other Income,58.63,80.86,64.44,100.21,127.1,117.98,171.81,76.96,151.31,198.12
Depreciation,48.43,63.96,57.99,48.03,43.8,40.55,38.91,38.96,38.85,46.4
Interest,14.48,13.65,8.95,4.29,1.44,0.92,1.55,0.76,1.52,1.24
Profit before tax,244.01,263.15,336.39,419.32,504.48,531.86,501.33,392.12,526.62,646.04
Tax,36.33,64.49,87.53,103.44,146.28,187.77,98.85,109.23,122.01,144.3
Net profit,207.68,198.66,248.86,315.88,358.2,344.09,402.48,282.89,404.61,501.74
Dividend Amount,24.47,27.53,38.24,45.88,61.18,68.83,84.12,84.12,91.77,107.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,932.98,972.95,1186.85,1015.65,1090.83,1150.31,1224.32,1204.25,1187.44,1221.68
Expenses,813.39,864.25,1070.27,901.98,997.95,1009.02,1076.61,1059.85,1043.24,1088.57
Other Income,97.72,18.59,19.95,17.16,106.17,32.98,41.82,38.81,84.54,45.03
Depreciation,9.93,10.05,8.98,9.37,10.69,11.2,15.14,10.5,10.84,10.86
Interest,0.15,0.09,1.14,0.13,0.13,0.13,0.85,0.29,0.44,0.42
Profit before tax,207.23,117.15,126.41,121.33,188.23,162.94,173.54,172.42,217.46,166.86
Tax,57.5,21.95,21.81,25.76,51.51,28.07,38.96,40.18,52.07,39.11
Net profit,149.73,95.2,104.6,95.57,136.72,134.87,134.58,132.24,165.39,127.75
Operating Profit,119.59,108.7,116.58,113.67,92.88,141.29,147.71,144.4,144.2,133.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59,30.59
Reserves,1072.78,1234.22,1565,1846.85,2163.31,2409.08,2688.04,2920.12,3233.2,3679.05
Borrowings,147.03,126.72,51.21,1.24,0.84,0.55,7.94,6.7,8.79,13.61
Other Liabilities,313.57,242.22,271.55,297.47,281.31,328.78,285.22,294.35,327.6,360.02
Total,1563.97,1633.75,1918.35,2176.15,2476.05,2769,3011.79,3251.76,3600.18,4083.27
Net Block,495.84,463.77,432.19,414.87,408.99,404.21,386.53,394.43,380.18,434.95
Capital Work in Progress,10.7,6.67,3.14,8.15,5.2,10.36,27.29,25.71,86.77,21.04
Investments,403.14,494.22,700.47,895.87,1214.82,1381.87,725.89,937.2,1120.45,1712.73
Other Assets,654.29,669.09,782.55,857.26,847.04,972.56,1872.08,1894.42,2012.78,1914.55
Total,1563.97,1633.75,1918.35,2176.15,2476.05,2769,3011.79,3251.76,3600.18,4083.27
Receivables,145.17,118.61,125.92,124.39,174.92,210.88,187.02,176.55,177.15,217.76
Inventory,352.4,318.62,329.3,462.01,499.06,587.2,593.06,755.4,653.11,674.62
Cash & Bank,64.86,138.37,218.73,175.84,103.61,48.8,933.88,53.72,37.94,73.35
No. of Equity Shares,152939350,152939345,152939345,152939345,152939345,152939345,152939345,152939345,152939345,152939345
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,224.39,182.7,275.63,212.76,235.68,154.06,308.8,114.37,473.05,356.31
Cash from Investing Activity,-67.17,-186.34,-127.47,-126.11,-134.46,-110.03,587.26,-859.46,-378.34,-224.64
Cash from Financing Activity,-61.05,-39.33,-67.57,-75.38,-56.75,-74.52,-86.42,-86.33,-86.92,-96.65
Net Cash Flow,96.17,-42.97,80.59,11.27,44.47,-30.49,809.64,-831.42,7.79,35.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
