COMPANY NAME,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,385.9,,,,,,,,,
Market Capitalization,12270.09,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1285.34,1433.55,1178.71,1536.65,2050.93,1879.68,1449.15,1328.98,2732.08,3501.44
Raw Material Cost,,,,,,,,,,
Change in Inventory,11.48,1.78,-3.85,27.5,2.96,6.32,-1.61,2.25,-6.06,10.29
Power and Fuel,22.57,20.13,16.03,21.81,15.03,16.46,17.12,18.03,17.71,22.57
Other Mfr. Exp,427.98,587.72,490.46,884.93,1000.94,1015.61,986.19,1010.33,1255.38,1291.64
Employee Cost,89.09,96.64,106.01,104.31,188.88,122.71,144.14,131.23,132.99,158.45
Selling and admin,135.21,202.44,262.18,132.69,291.06,149.92,138.13,155.1,569.12,648.57
Other Expenses,5.11,3.61,11.37,2.48,89.64,25.2,36.23,22.71,29.83,42.63
Other Income,137.38,252.87,155.68,181.47,121.32,-69.78,172.54,-241,157.94,396.01
Depreciation,124.57,138.36,130.72,151.26,119.03,96.14,91.58,94.21,97.98,81.16
Interest,0.13,2.36,1.06,1.33,1.63,1.83,1.88,1.96,3.3,2.28
Profit before tax,629.54,636.94,312.71,446.81,469,388.35,204.81,-343.34,777.65,1660.44
Tax,190.46,136.04,93.66,121.76,122.32,168.52,58.32,-307.57,331.74,444.7
Net profit,439.09,500.9,219.05,325.06,346.68,219.84,146.49,-35.77,445.9,1215.73
Dividend Amount,95.4,95.4,95.4,95.4,111.3,63.6,63.6,6.36,136.74,364.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,451.88,724.58,1057.28,1155.37,538.92,855.41,951.76,765.6,382.74,564.27
Expenses,425.63,523.28,594.91,714.76,367.79,519.84,551.18,518.86,331.52,443.73
Other Income,42.83,40.05,40.22,47.93,52.82,57.07,238.17,64.27,77,60.24
Depreciation,20.03,21.23,35.88,21.45,18.81,20.51,20.39,19.47,18.39,19.86
Interest,0.54,0.53,1.72,0.57,0.57,1.73,0.58,0.56,0.56,0.56
Profit before tax,48.51,219.59,464.99,466.52,204.57,370.4,617.78,290.98,109.27,160.36
Tax,8.06,69.77,247.08,121.57,53.36,104.28,165.48,72.28,34.68,43.53
Net profit,40.46,149.82,217.92,344.95,151.22,266.12,452.29,218.7,74.59,116.83
Operating Profit,26.25,201.3,462.37,440.61,171.13,335.57,400.58,246.74,51.22,120.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6
Reserves,2798.65,3179.53,3632.7,3936.97,4287.54,4253.69,4032.45,4003.21,4757.99,5734.68
Borrowings,0.02,678.72,,,,,,0.81,0.55,0.49
Other Liabilities,1090.6,1044.57,1012.27,1119.98,1043.82,894.2,967.03,905.18,1063.59,1124.2
Total,3952.87,4966.42,4708.57,5120.55,5394.96,5211.49,5063.08,4972.8,5885.73,6922.97
Net Block,1862.38,1770.87,1719.38,2074.7,2146.71,2131.42,2058.19,1584.85,1510.35,1452.86
Capital Work in Progress,11.95,958.07,30.99,21.08,10.67,0.76,4.3,5.7,22.93,23.02
Investments,260.3,120.85,643.88,657.18,782.02,428.55,263.71,298.9,596.15,490.71
Other Assets,1818.24,2116.63,2314.32,2367.59,2455.56,2650.76,2736.88,3083.35,3756.3,4956.38
Total,3952.87,4966.42,4708.57,5120.55,5394.96,5211.49,5063.08,4972.8,5885.73,6922.97
Receivables,51.81,81.42,97.44,119.06,111.17,147.48,139.53,145.25,204.92,188.98
Inventory,54.29,58.64,49.93,75.24,77.29,102.91,100.54,103.67,93.39,108.93
Cash & Bank,41.89,12.47,63.8,51.15,57.53,88.67,96.7,267.16,89.78,98.08
No. of Equity Shares,318000000,318000000,318000000,318000000,318000000,318000000,318000000,318000000,318000000,318000000
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,286.64,101.1,204.26,452.47,240.9,142.42,0.89,146.52,481.45,931.58
Cash from Investing Activity,-190.44,-12.88,-66.89,-350.27,-137.53,23.17,83.64,87.03,-673.51,-785.88
Cash from Financing Activity,-111.18,-111.37,-114.87,-114.85,-97,-134.32,-76.67,-63.09,-6.68,-137.27
Net Cash Flow,-14.98,-23.15,22.5,-12.64,6.38,31.27,7.86,170.45,-198.74,8.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,131.9,112.15,65.4,122.35,123.05,81.3,31.55,55.25,189.75,126.6
,,,,,,,,,,
