COMPANY NAME,G R INFRAPROJECTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1312.9,,,,,,,,,
Market Capitalization,12707.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,916.42,1046.87,2019.5,3188.85,3140.69,5282.58,6372.7,7844.13,8458.35,9481.51
Raw Material Cost,424.74,390.58,784.52,86.51,97.56,113.43,106.24,111.3,315.07,231.85
Change in Inventory,83.42,-54.35,85.36,-33.65,123.35,-0.33,2.3,4.37,6.18,1.14
Power and Fuel,,,,5.54,9.53,,,,,
Other Mfr. Exp,354.67,354.1,889.36,2252.91,2281.2,3466.76,4159.51,5323.14,5674.81,5881.5
Employee Cost,53.18,55.26,86.7,131.18,182.15,349.91,449.41,457.72,587.02,647.85
Selling and admin,10.68,9.27,21.29,123.87,101.68,49.46,54.05,58.25,53.33,59.94
Other Expenses,9.34,6.58,11.83,-57.4,-15.25,18.93,19.25,44.92,98.86,107.81
Other Income,4.45,8.49,8.91,159.12,43.11,42.95,51.01,66.71,65.29,87.3
Depreciation,34.69,44.27,49.56,68.75,83.13,148.99,188.52,227.09,281.63,245.65
Interest,61.71,88.45,105.42,126.17,66.2,170.03,294.94,361.69,420.26,443.01
Profit before tax,55.28,52.5,165.09,576.79,500.95,1007.69,1154.09,1331.1,1098.84,1952.34
Tax,20.16,21.08,63.01,-11.05,94.99,291.05,353.25,376.27,266.93,497.91
Net profit,34.67,30.23,101.33,587.84,405.96,716.64,800.83,954.83,831.91,1454.43
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1882.38,1955.3,2396.11,2692.15,2136.36,2191.88,2461.12,2478.23,1882.78,2134.02
Expenses,1492.08,1589.27,1887.4,2005.11,1535.02,1597.07,1790.66,1870.88,1415.72,1626.42
Other Income,17.88,19.21,18.24,13.76,25.29,17.42,30.83,21.3,26.41,24.61
Depreciation,70.99,82.31,61.74,63.4,62.02,61.21,58.99,60.24,61.74,61.03
Interest,88.68,103.68,107.8,96.92,107.82,117.2,121.07,136.61,144.64,154.87
Profit before tax,248.51,199.25,357.41,540.48,456.79,433.82,521.23,431.8,287.09,316.31
Tax,59.9,53.77,80.86,135.62,120.57,110.17,131.55,121.97,69.93,73.43
Net profit,188.6,145.48,276.56,404.86,336.23,323.65,389.68,309.84,217.16,242.72
Operating Profit,390.3,366.03,508.71,687.04,601.34,594.81,670.46,607.35,467.06,507.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,24.86,24.86,24.86,48.48,48.48,48.48,48.48,48.34,48.34,48.34
Reserves,381.47,410.32,512.94,1082.76,1493.73,2181.2,2978.67,3932.32,4762.52,6216.79
Borrowings,681.53,920.49,978.89,530.66,847.3,2140.79,3209.83,4524.82,5282.17,5696.77
Other Liabilities,227.75,300.6,560.54,855.39,722.65,1458.26,1546.44,1585.5,1566.91,1819.79
Total,1315.61,1656.27,2077.23,2517.29,3112.16,5828.73,7783.42,10090.98,11659.94,13781.69
Net Block,234.54,546.96,697.71,384.42,615.09,929.75,1029.16,1345.34,1484.83,1438.7
Capital Work in Progress,148.34,72.59,28.12,16.76,47.51,43.29,27.97,55.48,59.37,71.92
Investments,10.49,41.01,54.7,150.58,79.43,9.69,1.71,102.59,2.96,56.4
Other Assets,922.24,995.71,1296.7,1965.53,2370.13,4846,6724.58,8587.57,10112.78,12214.67
Total,1315.61,1656.27,2077.23,2517.29,3112.16,5828.73,7783.42,10090.98,11659.94,13781.69
Receivables,170.36,192.04,289.62,554.93,333.62,542.7,301.25,491.61,555.67,461.58
Inventory,87.35,127.48,76.82,221.06,301.08,613.74,768.73,1058.42,1021.8,884.3
Cash & Bank,26.21,68.25,115,548.68,238.44,715.83,947.99,830.78,1094.74,779.3
No. of Equity Shares,24862108,24862108,24862108,48481110,96962220,96962220,96962220,96689010,96689010,96689010
New Bonus Shares,,,,24862108,,,,,,
Face value,10,10,10,10,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,680.08,-370.91,-243.71,-266.56,-456.83,166.45,184.41
Cash from Investing Activity,,,,352.91,-340.22,-783.81,-143.66,-735.29,-257.14,-556.73
Cash from Financing Activity,,,,-585.37,245.72,1003.87,883.7,971.94,310.82,-20.34
Net Cash Flow,,,,447.61,-465.41,-23.64,473.48,-220.18,220.12,-392.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1533.85,1004.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
