COMPANY NAME,GREAT EASTERN SHIPPING COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,969.1,,,,,,,,,
Market Capitalization,13836.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3091.86,3438.03,3807.77,3116.86,3038.38,3547.11,3686.73,3336.55,3508.94,5690.46
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,395.66,506.5,287.86,192.8,347.09,592.6,596.36,361.82,523.12,604.76
Other Mfr. Exp,617.23,749.72,609.67,540.04,633,814.03,674.92,622.04,650,989.53
Employee Cost,506.86,557.85,592.41,599.1,674.44,711.6,692.64,698.96,708.45,765.11
Selling and admin,50.1,56.38,51.64,78.1,85.2,86.24,71.73,83.55,101.55,104.94
Other Expenses,90.2,134.34,281.53,275.61,98.19,275.67,434.12,-83.25,-14.26,98.47
Other Income,241.54,275.5,118.72,505.9,102.19,269.02,211.12,231.82,147.62,480.68
Depreciation,665.31,610.03,607.93,677.91,768.67,772.65,742.81,700.43,697.93,712.05
Interest,374.89,300.58,287.76,377.62,455.08,521.21,450.24,242.14,370.09,342.74
Profit before tax,633.15,798.13,1207.69,881.58,78.9,42.13,235.03,942.68,619.68,2553.54
Tax,59.2,49.89,110.71,126.62,289.39,63.58,27.89,24.16,-10,-21.47
Net profit,573.95,748.24,1096.98,754.96,-210.49,-21.45,207.14,918.52,629.68,2575.01
Dividend Amount,135.7,165.86,203.55,152.29,108.56,81.42,119.05,132.27,141.34,411.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,885.01,938.58,916.17,1366,1447.45,1421.03,1455.98,1283.69,1229.02,1245.12
Expenses,495.27,526.57,530.08,628.15,654.45,624.62,608.94,491.95,585.65,595.38
Other Income,103.08,47.03,66.83,-15.01,252.9,101.4,94.74,51.03,232.43,150.82
Depreciation,184.13,183.78,150.59,179.24,180.98,184.35,167.48,179.72,186.74,194.02
Interest,84.76,75.68,111.18,93.26,88.07,84.61,76.8,62.19,77.13,66.87
Profit before tax,223.93,199.58,191.15,450.34,776.85,628.85,697.5,600.86,611.93,539.67
Tax,0.87,-5.71,2.18,-6.7,8.02,1.65,-24.44,24.59,17.27,1.5
Net profit,223.06,205.29,188.97,457.04,768.83,627.2,721.94,576.27,594.66,538.17
Operating Profit,389.74,412.01,386.09,737.85,793,796.41,847.04,791.74,643.37,649.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,150.78,150.78,150.78,150.78,150.78,150.78,146.97,146.97,142.77,142.77
Reserves,6622.07,7279.84,6412.7,7072.55,6776.95,6658.89,6648.67,7557.3,7908.53,10132.59
Borrowings,6119.43,6539.61,5758.94,6815.75,6213.34,5998.94,5295.24,5047.07,4655.46,3649.39
Other Liabilities,1484.45,1564.92,1610.41,1363.2,1522.78,1561.61,1741.94,1393.74,1261.84,1284.37
Total,14376.73,15535.15,13932.83,15402.28,14663.85,14370.22,13832.82,14145.08,13968.6,15209.12
Net Block,9842.18,10888.26,8924.7,10304.31,9808.53,9617.25,9123.15,9041.96,8876.54,8449.94
Capital Work in Progress,358.24,226.63,328.43,22.38,13.47,14.23,122.54,24.46,24.28,34.75
Investments,1141.55,1249.98,911.8,875.08,856.12,601.1,963.06,1350.14,1157.47,1509.61
Other Assets,3034.76,3170.28,3767.9,4200.51,3985.73,4137.64,3624.07,3728.52,3910.31,5214.82
Total,14376.73,15535.15,13932.83,15402.28,14663.85,14370.22,13832.82,14145.08,13968.6,15209.12
Receivables,274.97,334.62,307.79,205.1,252.5,302.98,346.35,270.58,315.2,577.02
Inventory,139.68,140.08,113.23,144.76,176,217.86,214.74,208.65,224.25,204.48
Cash & Bank,2322.82,2380.15,2945.09,3466.81,2954.87,2921.87,2491.78,2749.1,2836.94,3799.35
No. of Equity Shares,150779600,150779583,150779583,150779583,150779583,150779583,146969002,146969002,142772197,142772197
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1357.59,1444.84,2150.73,1521.82,968.92,1095.69,1481.03,1534.17,1322.56,2974.58
Cash from Investing Activity,-348.15,-725.44,-440.15,-1547.65,-412.19,429.35,621.65,-881.63,-337.1,38.76
Cash from Financing Activity,-1697.08,-228.28,-1676.66,713.25,-1158.44,-1019.88,-1872.29,-505.29,-1188.61,-1893.3
Net Cash Flow,-687.64,491.12,33.92,687.42,-601.71,505.16,230.39,147.25,-203.15,1120.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
