COMPANY NAME,GARDEN REACH SHIPBUILDERS & ENGINEERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,900.65,,,,,,,,,
Market Capitalization,10334.35,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1610.77,1561.73,1657.08,920.91,1346.96,1386.42,1433.3,1140.84,1754.45,2561.15
Raw Material Cost,999.41,916.82,1013.42,454.46,257.87,772.44,128.05,471.17,943.57,1607.34
Change in Inventory,9.24,-1.69,0.56,-8.03,-1.81,9.15,24.2,-11.33,-0.39,-4.73
Power and Fuel,9.89,10.24,10.79,10.52,9.69,8.71,8.45,6.3,8.63,8.89
Other Mfr. Exp,138.64,182.67,196.27,182.42,692.98,199.99,874.5,211.47,298.31,383.83
Employee Cost,319.84,291.35,291.74,285.78,298.6,291.47,296.94,269.38,290.29,316.91
Selling and admin,19.84,88.71,47.38,128.12,89.15,61.47,93.76,56.98,55.45,66.58
Other Expenses,9.67,8.17,5.77,12.68,11.69,19.39,13.85,33.02,16.67,19.93
Other Income,81.95,60.96,191.47,216.99,179.23,169.05,214.89,164.97,153.64,201.84
Depreciation,22.73,27.11,27.8,26.65,28.96,27.08,30.09,29.09,35.71,39.17
Interest,0.63,5.77,4.4,9.12,7.69,5.11,2.88,9.95,1.83,10.4
Profit before tax,181.31,90.16,251.54,20.12,127.75,178.96,223.87,207.12,257.24,305.21
Tax,64.74,38.44,87.09,8.65,35.35,69.02,60.39,53.65,67.71,77.09
Net profit,116.57,51.73,164.45,11.47,92.4,109.94,163.48,153.47,189.53,228.12
Dividend Amount,24.77,24.77,24.77,54.09,50.75,79.61,81.79,57.28,66.44,71.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,421.83,486.88,543.18,579.77,682.01,698.6,601.17,755.9,897.91,923.1
Expenses,367.24,435.31,510.54,546.3,633.75,651.74,580.73,709.84,849.14,874.37
Other Income,36.38,43.98,41.06,40.85,40.82,50.24,69.92,70.64,71.55,81.51
Depreciation,8.83,9.86,9.65,9.47,9.75,9.92,10.02,10.13,10.35,10.44
Interest,0.5,-0.26,0.86,0.61,0.55,1.27,4.04,4.63,2.48,1.13
Profit before tax,81.64,85.95,63.19,64.24,78.78,85.91,76.3,101.94,107.49,118.67
Tax,22.86,23.01,15.99,14.06,20.05,21.98,21,25.26,26.75,30.42
Net profit,58.79,62.95,47.2,50.18,58.73,63.92,55.3,76.68,80.74,88.25
Operating Profit,54.59,51.57,32.64,33.47,48.26,46.86,20.44,46.06,48.77,48.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,123.84,123.84,123.84,123.84,114.55,114.55,114.55,114.55,114.55,114.55
Reserves,831.08,882.98,1012.82,959.3,906.98,923.76,925.68,1022.57,1143.34,1299.27
Borrowings,,,,25,,,,3.69,11.2,312.11
Other Liabilities,5477.44,2994.15,3317.22,3458.49,3301.76,3152.35,4355.2,5656.08,6374.32,9056.97
Total,6432.36,4000.97,4453.88,4566.63,4323.29,4190.66,5395.43,6796.89,7643.41,10782.9
Net Block,362.88,365.74,343.7,358.34,389.17,302.25,303.69,340.2,500.65,507.61
Capital Work in Progress,17.71,11.21,22.28,23.18,16.03,34.19,51.52,151.3,9.66,6.04
Investments,,,,,,1.83,54.01,825.82,196.68,233.67
Other Assets,6051.77,3624.02,4087.9,4185.11,3918.09,3852.39,4986.21,5479.57,6936.42,10035.58
Total,6432.36,4000.97,4453.88,4566.63,4323.29,4190.66,5395.43,6796.89,7643.41,10782.9
Receivables,46.56,158.51,153.83,198.86,202.06,219.86,535.28,178.14,151.34,50.85
Inventory,5240.99,841.26,654.56,485.89,517.37,350.29,452.29,801.55,1183.68,2925.47
Cash & Bank,447.96,1734.05,1852.5,1620.26,1022.15,1989.4,2611.32,2281.17,2557.74,4327.81
No. of Equity Shares,12384000,12384000,12384000,12384000,114552000,114552000,114552000,114552000,114552000,114552000
New Bonus Shares,,,,,,,,,,
Face value,100,100,100,100,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,-74.02,-111.67,627.84,515.28,-355.7,1450.23
Cash from Investing Activity,,,,,267.37,197.81,244.95,-1172.73,428.58,-1666.29
Cash from Financing Activity,,,,,-193.31,-88.75,-152.83,-62.45,-72.49,220.33
Net Cash Flow,,,,,0.04,-2.62,719.95,-719.91,0.39,4.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,98.65,136.6,184.85,226.7,455.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
