COMPANY NAME,GLAND PHARMA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1693,,,,,,,,,
Market Capitalization,27900.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,2633.24,3462.88,4400.71,3624.6
Raw Material Cost,,,,,,,1108.93,1765.36,2072.53,1732.34
Change in Inventory,,,,,,,6.9,273.49,-36.69,46.92
Power and Fuel,,,,,,,78.5,74.59,95.05,124.84
Other Mfr. Exp,,,,,,,102.23,130.84,137.19,153.85
Employee Cost,,,,,,,277.66,311.36,338.57,403.26
Selling and admin,,,,,,,98.54,128.48,177.92,187.93
Other Expenses,,,,,,,18.82,23.52,32.43,44.45
Other Income,,,,,,,139.17,134.78,223.76,183.92
Depreciation,,,,,,,94.59,98.78,110.3,146.74
Interest,,,,,,,7.18,3.41,5.24,7.45
Profit before tax,,,,,,,992.86,1334.81,1618.55,1054.58
Tax,,,,,,,220.01,337.85,406.89,273.54
Net profit,,,,,,,772.86,996.96,1211.66,781.04
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1080.47,1063.33,1103.01,856.9,1044.4,938.29,785.01,1208.69,1373.42,1545.16
Expenses,703.87,714.42,754.65,586.98,747.55,648.72,616.6,914.73,1049.34,1188.77
Other Income,51.2,45.67,65.23,74.39,65.62,61.51,-17.52,37.54,53.16,37.39
Depreciation,26.11,27.83,31.08,34.91,36.67,37.61,37.54,65.32,81.3,105.34
Interest,1.02,1.18,2.03,0.9,1.72,2.62,2.2,4.92,6.05,5.28
Profit before tax,400.67,365.57,380.48,308.5,324.08,310.85,111.15,261.26,289.89,283.16
Tax,98.59,92.53,94.58,79.33,82.84,78.9,32.47,67.16,95.8,91.31
Net profit,302.08,273.03,285.9,229.17,241.24,231.95,78.68,194.1,194.08,191.86
Operating Profit,376.6,348.91,348.36,269.92,296.85,289.57,168.41,293.96,324.08,356.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,15.5,16.36,16.43,16.47
Reserves,,,,,,,3630.74,5886.88,7141.19,7942.25
Borrowings,,,,,,,4.96,5,4.74,4.45
Other Liabilities,,,,,,,434.83,587.84,671.27,814.37
Total,,,,,,,4086.03,6496.08,7833.63,8777.54
Net Block,,,,,,,968.1,954.23,1502.19,1570.55
Capital Work in Progress,,,,,,,188.47,337.81,190.75,177.22
Investments,,,,,,,,,154.87,
Other Assets,,,,,,,2929.46,5204.04,5985.82,7029.77
Total,,,,,,,4086.03,6496.08,7833.63,8777.54
Receivables,,,,,,,601.79,670.97,1074.81,871.39
Inventory,,,,,,,756.28,1275.17,1185.67,1945.3
Cash & Bank,,,,,,,1325.19,3005.75,3093.44,3770.68
No. of Equity Shares,,,,,,,154949490,163592923,164302723,164700823
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,700.94,604.93,790.77,363.97
Cash from Investing Activity,,,,,,,-760.97,-1520.42,-999.31,1211.19
Cash from Financing Activity,,,,,,,-6.87,1238.46,34.9,14.92
Net Cash Flow,,,,,,,-66.91,322.97,-173.64,1590.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,2478.3,3272.65,1268.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,15.49,16.36,16.43,16.47
