COMPANY NAME,GLAXOSMITHKLINE PHARMACEUTICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1975.9,,,,,,,,,
Market Capitalization,33490.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2562.69,3304.52,2837.91,2908.47,2871.46,3128.12,3224.38,2925.6,3278.03,3251.72
Raw Material Cost,1214.85,1514.14,1377.57,1314.38,1299.24,1332.46,1343.3,1294.88,1340.62,1215.92
Change in Inventory,51.1,3.7,144.48,-83.37,57.93,-25.57,35.43,38.02,-15.57,-68.96
Power and Fuel,23.85,31.17,25.97,27.82,26.44,27.94,33.36,26.08,27.83,29.6
Other Mfr. Exp,90.7,126.06,209.9,108.26,110.55,115.55,107.89,110.59,120.14,99.05
Employee Cost,362.7,493.81,444.41,484.34,524.79,539.28,629.85,618.08,611.66,596.74
Selling and admin,320.97,445.98,332.59,372.66,357.45,379.33,375.58,240.13,342.24,368.55
Other Expenses,72.5,64.09,113.67,97.92,102.69,107.19,112.58,75.66,58.09,68.62
Other Income,203.44,148.53,125.48,118.8,69.91,131.01,-262.48,8.8,1401.3,102.74
Depreciation,19.88,25.35,24.95,27.08,37.99,48.59,82.68,78.6,68.19,65.77
Interest,0.33,0.47,0.42,0.25,0.19,0.55,6.34,3.53,2,1.81
Profit before tax,711.45,755.68,578.39,511.19,539.96,682.67,305.75,524.87,2092.99,839.44
Tax,229.78,279.27,202.25,174.38,189.24,237.27,212.55,166.72,398.28,228.76
Net profit,481.67,476.41,376.14,336.81,350.73,445.39,93.2,358.15,1694.72,610.69
Dividend Amount,423.5,529.38,423.5,254.1,296.45,338.82,677.64,508.23,1524.69,542.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,934.11,815.92,809.63,745.1,916.87,802.3,787.45,761.66,956.99,805.26
Expenses,677.98,618.11,634.41,596.18,659.94,573.6,617.71,617.78,667.5,587.2
Other Income,30.06,4.47,1321.97,30.66,21.97,12.05,38.06,53.74,28.21,-135.2
Depreciation,17.43,17.87,15.35,15.82,16.36,16.41,17.18,16.36,18.11,17.11
Interest,0.35,0.58,0.28,0.68,0.39,0.09,0.65,0.28,0.43,0.32
Profit before tax,268.41,183.83,1481.56,163.08,262.15,224.25,189.97,180.98,299.16,65.43
Tax,64.17,33.48,262.51,43.8,68.73,59.69,56.54,48.73,81.65,19.71
Net profit,204.24,150.35,1219.05,119.28,193.42,164.56,133.43,132.25,217.51,45.72
Operating Profit,256.13,197.81,175.22,148.92,256.93,228.7,169.74,143.88,289.49,218.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,84.7,84.7,84.7,84.7,84.7,169.41,169.41,169.41,169.41,169.41
Reserves,1905.03,1744.28,2098.55,1922.15,1972.63,1970.42,1651.2,1308.85,2493.55,1571.87
Borrowings,4.14,3.12,2.37,1.6,0.99,0.58,0.18,34.63,20.08,15.54
Other Liabilities,1135.65,1383.57,869.26,995.39,1889.17,1770.9,1312.45,1601.75,1950.23,1569.76
Total,3129.52,3215.67,3054.88,3003.84,3947.49,3911.31,3133.24,3114.64,4633.27,3326.58
Net Block,100.09,123.08,204.04,258.05,324.59,431.63,758.08,386.91,330.65,329.96
Capital Work in Progress,61.86,115.22,267.67,605.46,922.9,1002.64,120.12,13.21,30.5,20.31
Investments,10.06,0.06,6.04,0.06,0.06,0.06,,,365.59,518.29
Other Assets,2957.51,2977.31,2577.13,2140.27,2699.94,2476.98,2255.04,2714.52,3906.53,2458.02
Total,3129.52,3215.67,3054.88,3003.84,3947.49,3911.31,3133.24,3114.64,4633.27,3326.58
Receivables,96.39,100.32,126.57,170.8,146.96,120.49,99.8,215.6,205.24,192.38
Inventory,346.97,375.58,525.87,425.8,500.18,486.49,483.03,546.7,534.7,459.97
Cash & Bank,2041.58,1910.61,1391.9,899.61,1296.41,1171.35,1083.2,1157.96,2484.51,1155.93
No. of Equity Shares,84703017,84703017,84703017,84703017,84703017,169406034,169406034,169406034,169406034,169406034
New Bonus Shares,,,,,,84703017,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,281.31,337.64,138.9,234.37,472.8,409.49,490.5,577.91,810.75,484.23
Cash from Investing Activity,188.98,180.01,499.02,300.64,-104.19,-153.45,-56.84,418.03,-405.51,807.85
Cash from Financing Activity,-494.14,-496.99,-638.33,-510.76,-306.63,-358.36,-427.62,-695.56,-524.24,-1543.32
Net Cash Flow,-23.85,20.66,-0.42,24.24,61.97,-102.33,6.03,300.38,-119,-251.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
