COMPANY NAME,GLENMARK LIFE SCIENCES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,833.35,,,,,,,,,
Market Capitalization,10207.76,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,0.25,886.42,1537.31,1885.17,2123.21,2161.22,2283.21
Raw Material Cost,,,,0.04,633.56,668.66,948.17,977.96,1068.56,1058.58
Change in Inventory,,,,-0.05,301.59,4.64,70.7,-41.32,84.44,56.57
Power and Fuel,,,,,57.81,76.75,74.19,100.92,115.6,
Other Mfr. Exp,,,,,77.09,108.04,107.32,124.04,137.17,
Employee Cost,,,,0.15,106.28,142.28,149.13,169.17,180.7,258.16
Selling and admin,,,,,44.2,42.05,48.5,48.19,65.47,
Other Expenses,,,,0.02,20.71,30.97,36.9,44.81,35.31,348.79
Other Income,,,,,-0.19,10.76,0.23,13.96,28.4,12.04
Depreciation,,,,,19.26,29.37,33.39,37.88,42.09,53.45
Interest,,,,,0.61,33.52,87.55,27.96,0.55,1.55
Profit before tax,,,,-0.01,228.3,421.07,470.95,564.92,628.61,631.29
Tax,,,,0.42,32.71,107.97,119.37,146.2,161.65,160.4
Net profit,,,,-0.43,195.59,313.1,351.58,418.72,466.96,470.89
Dividend Amount,,,,,,,,257.36,514.71,275.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,522.5,514.06,489.87,509.3,540.73,621.32,578.45,595.36,572.8,536.6
Expenses,376.43,371.85,343.09,365.66,395.28,414.89,385.28,428.28,400.24,395.16
Other Income,3.53,5.1,9.49,10.02,6.61,2.84,1.85,5.37,1.69,3.13
Depreciation,9.74,9.55,9.88,9.94,10.76,11.52,12.61,13.13,13.18,14.53
Interest,0.06,0.13,0.14,0.13,0.16,0.12,0.4,0.4,0.39,0.36
Profit before tax,139.8,137.63,146.25,143.59,141.14,197.63,182.01,158.92,160.68,129.68
Tax,36.09,38.74,37.52,36.71,36.15,51.27,46.56,40.19,41.92,31.74
Net profit,103.71,98.9,108.73,106.88,104.99,146.36,135.45,118.74,118.77,97.94
Operating Profit,146.07,142.21,146.78,143.64,145.45,206.43,193.17,167.08,172.56,141.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,0.01,1.96,1.96,1.96,24.51,24.51,24.51
Reserves,,,,-1.41,86.17,399.73,750.79,2029.81,2113.7,2307.82
Borrowings,,,,,0.02,0.02,,2.88,19.36,17.15
Other Liabilities,,,,1.48,1387.24,1323.89,1244.32,413.82,544.58,500.93
Total,,,,0.08,1475.39,1725.6,1997.07,2471.02,2702.15,2850.41
Net Block,,,,,456.31,546.25,572.8,589.76,780.63,809.86
Capital Work in Progress,,,,,80.39,10.73,14.1,96.96,61.62,101.19
Investments,,,,,0.08,0.08,0.08,0.08,0.08,0.08
Other Assets,,,,0.08,938.61,1168.54,1410.09,1784.22,1859.82,1939.28
Total,,,,0.08,1475.39,1725.6,1997.07,2471.02,2702.15,2850.41
Receivables,,,,0.03,448.09,638.63,619.5,673.49,806.77,765.43
Inventory,,,,0.04,400.84,412.78,513.42,516.24,604.17,666.59
Cash & Bank,,,,0.01,2.06,10,115.6,512.16,309.4,301.59
No. of Equity Shares,,,,10000,1960090,1960090,9800450,122527172,122527172,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,-0.48,10.35,195.01,388.11,597.59,313.4,413.52
Cash from Investing Activity,,,,,-8.83,-50.52,-68.73,-122.23,-154.15,-116.48
Cash from Financing Activity,,,,0.49,0.54,-136.55,-213.78,-78.8,-387.59,-279.44
Net Cash Flow,,,,0.01,2.05,7.94,105.6,396.56,-228.33,17.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,458.8,392.9,776.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.2,0.2,0.98,12.25,12.25,12.25
