COMPANY NAME,GLENMARK PHARMACEUTICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,999.65,,,,,,,,,
Market Capitalization,28229.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,6005.2,6562.63,7561.67,9079.41,9074.42,9865.47,10640.97,10943.93,12304.9,12990.11
Raw Material Cost,1813.35,2132.36,2442.74,3073.93,2904.86,3421.01,3570.56,3809.43,4396.42,4862.05
Change in Inventory,27.73,255.2,140.16,459.61,-133.71,58.67,-128.08,189.25,11.14,325.09
Power and Fuel,93.5,109.11,120.47,127.02,137.48,165.26,173.69,164.67,200.64,227.52
Other Mfr. Exp,335.59,406.77,447.48,484.46,573.34,646.53,594.64,638.74,711.42,687.56
Employee Cost,1026.15,1212.74,1378.84,1641.51,1872.72,2056.9,2255.66,2344.36,2448.7,2782.45
Selling and admin,1037.68,1316.99,1395.15,1589.16,1522.39,1749.38,1666.14,1452.9,1541.99,1788.6
Other Expenses,635.88,425.55,479.99,586.24,312.47,299.26,552.94,638.7,690.1,688.65
Other Income,11.48,-180.21,20,-43.58,89.33,375.32,191.3,94.76,-100.71,-449.07
Depreciation,216.8,300.41,234.28,264.37,301.88,325.91,417.17,443.55,486.72,611.27
Interest,188.59,190.15,178.89,237.32,285.57,334.59,377.32,353.11,298.1,349.58
Profit before tax,696.87,543.54,1043.99,1491.43,1119.33,1300.62,1096.07,1382.48,1441.24,868.45
Tax,151.27,334.07,300.94,382.67,315.46,375.63,320.11,412.39,447.6,491.05
Net profit,542.28,209.55,743.05,1108.75,803.87,924.99,775.97,970.04,941.71,297.25
Dividend Amount,,54.26,56.44,56.44,56.44,56.44,70.55,70.55,70.55,70.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3147.45,3173.41,3019.15,2777.29,3017.94,3100.18,3373.71,3036.06,3207.38,2506.7
Expenses,2557.28,2480.26,2555.75,2345.69,2538.97,2626.14,2768.75,2598.71,2745.08,2715.35
Other Income,-13.07,-164.48,24.67,183.16,86.36,209.43,-839.94,-32.3,-205,87.45
Depreciation,123.19,118.93,131.52,146.76,145.77,151.51,146.53,142.04,141.45,147.08
Interest,68.95,66.7,86.85,59.99,82.94,97.11,109.26,111.61,121.46,134.34
Profit before tax,384.96,343.04,269.7,408.01,336.62,434.85,-490.77,151.4,-5.61,-402.62
Tax,110.15,103.29,97.13,196.91,57.95,144.08,-87.63,-21.73,55.95,-71.8
Net profit,257.66,221.9,155.59,192.53,260.44,272.58,-428.3,149.93,-81.95,-351.37
Operating Profit,590.17,693.15,463.4,431.6,478.97,474.04,604.96,437.35,462.3,-208.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,27.12,27.13,28.22,28.22,28.22,28.22,28.22,28.22,28.22,28.22
Reserves,2956.16,1756.36,3601.42,4464.31,5135.26,5576.97,6042.29,7036.41,9058.43,9445.71
Borrowings,3266.98,3799.93,3988.11,4723.65,4639.38,4448.67,4868.63,4985.72,3962.02,4627.24
Other Liabilities,2176.27,2725.69,2575.12,2547.68,2792.51,3234.93,3729.22,3524.48,4003.12,5227.55
Total,8426.53,8309.11,10192.87,11763.86,12595.37,13288.79,14668.36,15574.83,17051.79,19328.72
Net Block,3090.55,2015.38,2593.55,2755.09,3029.55,3670.25,5028.56,5128.85,5887.25,6202.39
Capital Work in Progress,5.34,477.13,542.8,708.11,1121.87,1398.94,1221.89,1381.67,1009.87,1251.26
Investments,,17.12,17.2,15.69,14.66,29.66,24.59,24.63,49.62,44.65
Other Assets,5330.64,5799.48,7039.32,8284.97,8429.29,8189.94,8393.32,9039.68,10105.05,11830.42
Total,8426.53,8309.11,10192.87,11763.86,12595.37,13288.79,14668.36,15574.83,17051.79,19328.72
Receivables,2156.34,2511.77,2492.65,2404.32,2331.81,2194.59,2408.96,2572.06,3101.14,4098.61
Inventory,932.88,1269.04,1567.76,2139.05,2030.59,2252.07,2135.62,2276.83,2499.83,2977.79
Cash & Bank,800.67,775.88,857.12,1057.66,1234.69,937.77,1111.24,1139.16,1411.52,1469.7
No. of Equity Shares,271223650,271294553,282158156,282168156,282168156,282168156,282168156,282168156,282168156,282168156
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,853.73,481.68,344.85,657.43,1648.05,1324.17,1392.41,1131.21,1108.65,625.39
Cash from Investing Activity,-566.1,-711.96,-950.06,-1001.34,-1002.56,-882.51,-773.75,-661.61,-315.73,-515.44
Cash from Financing Activity,-98.02,199.22,698.6,543.15,-468.5,-738.74,-444.66,-441.78,-520.49,-77.46
