COMPANY NAME,GO FASHION (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,992.05,,,,,,,,,
Market Capitalization,5358.51,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,114.38,188.74,285.25,392.02,250.66,401.31,665.28,762.83
Raw Material Cost,,,55.2,76.89,111.95,166.67,70.71,188.94,299.67,238.78
Change in Inventory,,,2.89,15,17.48,36.71,-21.45,53.45,78.16,-16.2
Power and Fuel,,,0.64,1.32,2.21,3.96,4.2,5.21,8.31,
Other Mfr. Exp,,,5.19,19.33,31.3,40.26,22.64,44.06,69.69,
Employee Cost,,,15.82,27.5,41.96,61.95,61.49,73.06,102.6,130.21
Selling and admin,,,22.7,37.93,25.13,38.39,34.63,14.88,36.84,
Other Expenses,,,2.03,5.26,9.21,-10.69,-11.94,4.64,11.28,135.21
Other Income,,,0.55,1.32,5.73,4.75,31.58,20.79,11.91,17.3
Depreciation,,,2.26,3.69,32.13,46.57,60.5,71.84,87.05,110.38
Interest,,,0.58,1.82,12.36,18.08,21.7,25.05,31.22,39.13
Profit before tax,,,13.4,31.32,42.21,68.29,-3.14,47.87,108.69,110.22
Tax,,,5.36,10.73,11.27,15.65,0.4,12.27,25.89,27.44
Net profit,,,8.03,20.59,30.94,52.63,-3.54,35.6,82.8,82.78
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,142,116.24,165.2,164.39,175.52,157.59,190.1,188.85,202.13,181.74
Expenses,89.93,76.83,111.86,114.84,115.81,107.91,125.88,132.25,134.61,127.84
Other Income,3.22,3.2,3.68,2.94,2.69,2.61,3.71,3.92,4.18,5.55
Depreciation,16.83,20.67,19.01,20.87,22.59,24.59,24.9,25.84,28.91,30.73
Interest,5.48,6.77,6.08,6.85,7.1,8.43,8.21,8.92,10.5,11.5
Profit before tax,32.98,15.17,31.93,24.77,32.71,19.27,34.82,25.76,32.29,17.22
Tax,9.3,2.88,7.5,5.5,8.4,4.49,8.53,5.72,8.89,4.17
Net profit,23.69,12.3,24.44,19.27,24.31,14.78,26.28,20.04,23.4,13.05
Operating Profit,52.07,39.41,53.34,49.55,59.71,49.68,64.22,56.6,67.52,53.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,10,10,30,30,30,54.01,54.01,54.01
Reserves,,,41.26,138.04,149.34,207.31,203.94,384.4,466.44,549.89
Borrowings,,,6.74,2.56,153.85,209.58,232.34,249.8,339.5,469.1
Other Liabilities,,,37.15,63.92,71.72,74.09,85.2,67.51,70.4,66.47
Total,,,95.15,214.52,404.91,520.98,551.48,755.72,930.35,1139.47
Net Block,,,18.84,26.34,185.53,255.74,259.51,291.16,393.65,526.64
Capital Work in Progress,,,0.89,1.72,1.96,8.08,8.58,8.74,7.37,10.92
Investments,,,7.11,80.65,23.45,8.86,46.41,45.93,21.73,6.07
Other Assets,,,68.31,105.81,193.97,248.3,236.98,409.89,507.6,595.84
Total,,,95.15,214.52,404.91,520.98,551.48,755.72,930.35,1139.47
Receivables,,,23.81,28.89,40.08,55.64,47.14,60.21,72.17,79.32
Inventory,,,27.4,43.63,70.27,107.64,84.06,170.43,234.32,216.35
Cash & Bank,,,3.78,7.91,43.66,32.52,39.69,105.77,87.17,192.06
No. of Equity Shares,,,10000020,10000040,30000120,30000120,30000120,54008984,54008984,
New Bonus Shares,,,5000010,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,5.58,-3.8,33.29,57.21,90.08,33.02,103.74,218.69
Cash from Investing Activity,,,-14.96,-10.89,-5.3,-18.47,-47.49,-58.42,-27.57,-73.13
Cash from Financing Activity,,,-0.2,99,-30.9,-43.77,-37.14,64.21,-84.09,-107.76
Net Cash Flow,,,-9.59,84.31,-2.91,-5.02,5.46,38.81,-7.92,37.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,1011.5,1004.65,1205.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,1,1,3,3,3,5.4,5.4,5.4
