COMPANY NAME,GODAWARI POWER & ISPAT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,873.2,,,,,,,,,
Market Capitalization,11867.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2113.14,2384.36,1976.34,1799.01,2506.19,3294.15,3270.16,3949.24,5396.82,5745.12
Raw Material Cost,1243.74,1521.84,1332.23,1123.35,1386.18,1903.55,1769.57,1852.08,2454.46,3367.99
Change in Inventory,13.59,53.58,-32.02,-7.2,-18.99,68.58,-44.91,4.48,62.74,2.27
Power and Fuel,199.06,200.79,117.77,115.74,167.32,228.26,242.77,220.75,248.4,362.37
Other Mfr. Exp,157.05,190.77,133.33,129.97,156.61,219.7,248.19,260.43,322.68,365.94
Employee Cost,84.09,94.54,94.19,78.34,102.29,125.02,140.07,144.44,159.5,207.89
Selling and admin,76.68,61.24,51,51.18,89,113.02,187.63,307.11,382.9,273.41
Other Expenses,18.6,10.56,-1.84,2.47,-11.2,-16.39,12.78,31.9,24.09,36.29
Other Income,15.28,60.22,13.88,15.57,6.44,9.47,-2.82,48.5,175.31,93.01
Depreciation,105.49,118.18,126.49,120.09,131.8,132.85,136.9,108.96,104.7,123.54
Interest,165.01,223.65,252,259.15,263.31,252.61,211.93,114.96,19.69,20.4
Profit before tax,92.29,76.59,-146.97,-72.91,208.33,413.58,272.59,961.59,1918.45,1082.57
Tax,22.32,5.87,-47.13,0.72,-6.36,152.92,95.36,307.07,451.15,289.22
Net profit,57.84,66.21,-88.67,-74.51,207.63,252.11,166.78,638.39,1466.67,793.4
Dividend Amount,8.19,3.28,,,,,,63.1,177.71,51.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1274.35,1606.6,1437.93,1666.32,1307.14,1462.99,1316.59,1325.58,1291.04,1308.92
Expenses,837.98,1113.81,1040.77,1205.7,1072.33,1279.52,1048.58,1018.79,929.61,978.01
Other Income,-10.5,16.97,123.96,16.06,26.2,40.73,13.96,44.3,26.39,16.78
Depreciation,32.61,34.46,27.18,27.63,30.66,33.01,32.24,34.27,34.83,35.49
Interest,11.55,12.27,0.98,4,9.67,17.63,6.44,9.94,10.19,15.76
Profit before tax,381.71,463.03,492.96,445.05,220.68,173.56,243.29,306.88,342.8,296.44
Tax,89.77,117.24,100.62,117.85,52.04,45.58,73.75,76,86.1,67.28
Net profit,296.69,328.6,406.52,327.09,168.53,128.21,169.57,230.91,256.86,229.26
Operating Profit,436.37,492.79,397.16,460.62,234.81,183.47,268.01,306.79,361.43,330.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,32.76,32.76,31.63,34.11,34.11,34.11,34.11,34.11,65.82,64.86
Reserves,831.48,891.65,763.27,662.82,889.21,1135.18,1343.73,2001.48,3246.5,3840.59
Borrowings,2083.63,2038.03,2006.99,2214.48,2123.7,1855.77,1696.73,896.46,428.46,316.68
Other Liabilities,565.82,785.67,613.06,341.82,404.71,486.05,406.93,541.5,1149.15,937.24
Total,3513.69,3748.11,3414.95,3253.23,3451.73,3511.11,3481.5,3473.55,4889.93,5159.37
Net Block,2327.76,2402.82,2289.4,2326.3,2264.42,2248.75,2269.31,2012.78,1529.56,2064.56
Capital Work in Progress,137.32,186.92,238.37,135.94,171.04,130.24,137.46,137.22,642.74,443.04
Investments,50.78,67.01,113.67,108.36,131.07,132.03,123.48,277.48,239.37,241.9
Other Assets,997.83,1091.36,773.51,682.63,885.2,1000.09,951.25,1046.07,2478.26,2409.87
Total,3513.69,3748.11,3414.95,3253.23,3451.73,3511.11,3481.5,3473.55,4889.93,5159.37
Receivables,101.86,155.92,98.24,113.56,155.84,149.02,176.78,275.23,349.92,295.74
Inventory,402.23,419.22,409.78,304.36,432.3,616.43,557.4,503.67,873.63,810.79
Cash & Bank,34.87,105.26,98.06,51.13,52.2,38.86,28.96,51.35,574.71,800.29
No. of Equity Shares,32756247,32756247,35236247,35236247,35236247,35236247,35236247,35236247,140944988,140944988
New Bonus Shares,,,,,,,,,68222494,68222494
Face value,10,10,10,10,10,10,10,10,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,55.57,550.77,377.05,14.61,451.13,549.83,550.83,968.78,1330.34,962.41
Cash from Investing Activity,-275.92,-268.17,-5.99,13.62,-121.07,-66.43,-150.12,-62.22,-1095.01,-219.83
Cash from Financing Activity,213.34,-278.71,-373.51,-20.66,-354.09,-490.75,-400.77,-900.13,-232.93,-246.28
Net Cash Flow,-7.01,3.89,-2.45,7.57,-24.03,-7.35,-0.06,6.43,2.4,496.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
