COMPANY NAME,GODREJ INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,838.6,,,,,,,,,
Market Capitalization,28220.19,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,7798.53,9101.35,7453.59,8365.13,9075.67,10848.19,11290.75,9333.51,14130.15,16740.25
Raw Material Cost,5561.54,6037.53,4175.55,5203.31,5636.66,6162.69,6782.17,6417.38,9515.25,10848.02
Change in Inventory,83.57,15.64,97.98,54.06,-251.89,-1591.17,-35.72,2618.42,1109.27,5257.46
Power and Fuel,165.49,164.98,156.76,171.52,184.08,203.6,231.41,209.35,262.96,321.92
Other Mfr. Exp,951.29,1586.37,1868.78,1283.52,1364.11,854.8,1828.87,3397.89,2583.89,7048.9
Employee Cost,294.24,322.52,364.86,474.52,574.16,587.01,678.87,806.96,768.79,943.04
Selling and admin,344.86,379.6,320.7,359.93,398.91,423.48,477.68,394.95,566.15,749.6
Other Expenses,109.57,139.47,272.64,269.76,395.25,410.58,444.15,411.56,495.28,576.01
Other Income,200.93,317.23,254.57,519.56,914.67,1141.94,995.84,1014.63,1131.98,1417.58
Depreciation,70.44,93.23,117.21,148.14,175.27,163.14,233.84,242.34,273.58,304.52
Interest,118.88,191.73,343.04,401.82,413.15,507.71,490.92,468.93,623.14,942.7
Profit before tax,466.72,518.79,186.6,626.23,596.86,1085.95,1082.96,617.2,1282.36,1680.58
Tax,171.2,136.55,108.69,167.41,112.5,222.22,271.44,226.15,289.93,259.94
Net profit,326.37,402.47,160.77,256.45,337.83,589.53,553.81,334.63,653.73,974.78
Dividend Amount,57.96,58.78,58.8,58.82,58.85,38.69,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3280.18,3514.61,4444.87,4024.55,4021.04,3842.55,4852.11,4505.66,3937.61,3590.08
Expenses,3111.59,3272.08,3954.63,3707.81,3800.61,3469.38,4252.23,4264.01,3672.1,3310.77
Other Income,306.69,224.98,311.74,260.93,302.04,412.88,441.73,532.49,397.3,379.73
Depreciation,66.72,71.04,72.22,71.57,75.63,77.93,79.38,85.57,89.3,95.61
Interest,147.26,166.91,175.38,188.16,223.24,247.79,283.51,302.71,333.11,347.6
Profit before tax,261.3,229.56,554.38,317.94,223.6,460.33,678.72,385.86,240.4,215.83
Tax,60.39,46.71,131.56,60.34,4.37,78.67,116.56,94.45,75.9,51.25
Net profit,143.6,144.42,227.24,203.95,156.18,314.58,300.08,178.06,87.3,106.41
Operating Profit,168.59,242.53,490.24,316.74,220.43,373.17,599.88,241.65,265.51,279.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,33.12,33.59,33.6,33.61,33.63,33.64,33.65,33.66,33.66,33.66
Reserves,2700.95,3193.66,2968.11,3162.01,3300.79,4312.8,5754.68,7519.64,7092.9,7950.62
Borrowings,4167.1,5885.41,7200.38,7554.1,6918.14,7116.2,7275.36,10070.81,14506.47,19642.43
Other Liabilities,4307.07,4391.81,3930.88,4241.35,6499.96,6530.24,7143.05,11157.03,12201.75,16117.43
Total,11208.24,13504.47,14132.97,14991.07,16752.52,17992.88,20206.74,28781.14,33834.78,43744.14
Net Block,1649.94,1837.11,2828.04,3281.12,3302.31,3823.59,4049.13,4519.98,4970.62,5268.72
Capital Work in Progress,465.58,774.68,274.08,54.34,270.51,201.85,334.08,443.61,483.07,941.89
Investments,2336.05,2690.83,3051.94,3203.28,4137.22,5473.32,6594.2,9951.98,9609.22,8008.96
Other Assets,6756.67,8201.85,7978.91,8452.33,9042.48,8494.12,9229.33,13865.57,18771.87,29524.57
Total,11208.24,13504.47,14132.97,14991.07,16752.52,17992.88,20206.74,28781.14,33834.78,43744.14
Receivables,543.18,633.85,855.6,905.86,1001.6,1160.29,1551.72,1523.05,1676.04,1500.21
Inventory,4354.39,5355.05,4879.48,5020.34,4819,3410.18,3187.56,6187.42,7718.66,13976.91
Cash & Bank,306,242.13,200.92,234.93,504.26,944.73,978.46,852.15,1823.94,2954.99
No. of Equity Shares,331122900,335881974,335988807,336139786,336272731,336384367,336466016,336525098,336525098,336525098
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-393.85,-1049.56,198.55,569.4,1689,1240.35,392.01,-672.16,-1756.19,-4409.38
Cash from Investing Activity,-900.86,-458.67,-184.51,-234.48,-1015.83,-1360.27,-1874.07,-5147.28,46.27,1851.35
Cash from Financing Activity,1420.22,1409.47,2.34,-528.04,-959.26,1055.71,1349.19,5772.23,1915.93,3534.62
