COMPANY NAME,GRANULES INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,392.1,,,,,,,,,
Market Capitalization,9499.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1083.87,1291.72,1357.17,1410.56,1684.62,2279.2,2598.65,3237.54,3764.92,4511.92
Raw Material Cost,671.31,769.43,761.96,679.96,902.9,1338.97,1314.92,1590.28,2036.42,2352.65
Change in Inventory,26.06,22.48,36.93,0.33,6.58,83.41,33.99,199,152.78,45.37
Power and Fuel,36.7,45.73,34.97,38.67,48.22,57.68,59.74,68.85,74.66,95.69
Other Mfr. Exp,31.77,43.59,51.29,62.92,70.92,86.83,102.44,133.26,159.34,161.07
Employee Cost,99.23,121.63,136.51,161.62,189.33,240.04,301.14,410.63,403.11,474.79
Selling and admin,119.7,119.36,126.27,153.27,191.92,232.36,271.2,340.88,484.58,526.39
Other Expenses,-7.4,4.9,6.68,15.61,9.43,22.33,57.64,37.02,32.58,31.51
Other Income,3.98,3.4,5.09,34.65,26.77,75.06,89.54,26.49,12.83,12.41
Depreciation,29.81,52.65,58.4,71.51,76.2,105.48,136.95,151.46,158.63,184.49
Interest,20.43,32.35,37.07,32.26,33.06,28.46,27.02,26.28,23.21,55.93
Profit before tax,112.36,127.96,186.04,229.72,195.99,325.52,451.13,704.37,558,687.18
Tax,37.13,37.06,61.15,65.2,63.4,89.11,115.73,154.9,145.25,170.58
Net profit,75.23,90.91,123,164.52,132.59,236.41,335.4,549.46,412.76,516.6
Dividend Amount,7.1,10.22,14.09,20.58,25.38,25.42,25.42,37.16,37.2,36.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,888.33,996.77,1029.97,1019.56,1150.73,1146.13,1195.5,985.52,1189.49,1155.58
Expenses,737.15,823.04,837.27,808.06,907.82,914.84,967.39,848.7,976.52,905.09
Other Income,4.35,4.87,3.96,4.67,4.79,0.95,3.38,0.35,1.53,0.65
Depreciation,39.84,39.23,40.18,43.36,44.06,48.36,48.71,49.24,52.52,52.39
Interest,5.46,4.59,6.36,6.94,13.22,16.97,18.8,22.46,25.96,28.65
Profit before tax,110.23,134.78,150.12,165.87,190.42,166.91,163.98,65.47,136.02,170.1
Tax,29.55,33.9,39.12,38.3,45.32,42.57,44.38,17.58,33.91,44.45
Net profit,80.68,100.88,111,127.57,145.09,124.33,119.61,47.9,102.12,125.65
Operating Profit,151.18,173.73,192.7,211.5,242.91,231.29,228.11,136.82,212.97,250.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,20.28,20.43,21.67,22.87,25.38,25.42,25.42,24.77,24.8,24.2
Reserves,335.68,410.74,639.93,880.73,1278.79,1504.05,1818.3,2148.51,2561.74,2810.71
Borrowings,441.73,482.23,641.39,656.5,978.44,991.18,892.11,849.21,1106.31,1136.24
Other Liabilities,194.33,289.31,259.97,318.62,387.67,457.94,487.28,690.19,818.68,931.99
Total,992.02,1202.71,1562.96,1878.72,2670.28,2978.59,3223.11,3712.68,4511.53,4903.14
Net Block,482.47,616.55,559.94,644.34,776.73,944.25,1203.97,1332,1541.17,1910.92
Capital Work in Progress,124.56,62.03,76.56,267.43,514.52,495.95,294.2,239.08,356.23,239.39
Investments,0.19,0.19,70.11,108.23,156.56,210.42,19.34,18.99,19.67,21.21
Other Assets,384.8,523.94,856.35,858.72,1222.47,1327.97,1705.6,2122.61,2594.46,2731.62
Total,992.02,1202.71,1562.96,1878.72,2670.28,2978.59,3223.11,3712.68,4511.53,4903.14
Receivables,110.91,136.91,375.35,417.7,628.25,673.54,662.04,765.42,924.95,948.54
Inventory,174.16,224.52,253.72,269.18,279.95,384.21,438.43,782.18,978.55,1149.41
Cash & Bank,41.75,65.31,130.29,49.8,115.64,89.04,283.94,271.04,409.46,312.79
No. of Equity Shares,20281154,204251540,216711770,228702770,253837562,254247562,254247562,247674796,248005776,242042756
New Bonus Shares,,,,,,,,,,
Face value,10,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,107.95,150.28,151.43,188.24,-0.65,262.24,476.19,432.48,332.06,738.75
Cash from Investing Activity,-254.63,-145.55,-161.65,-326.09,-462.31,-269.82,-160.43,-277.26,-379.17,-191.62
Cash from Financing Activity,146.72,18.83,85.66,55.87,528.62,-17.43,-212.86,-299.31,190,-440.29
Net Cash Flow,0.04,23.56,75.44,-81.98,65.66,-25.01,102.9,-144.09,142.88,106.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,25.52,85.15,119.95,138.85,103.25,114.45,143.65,303.45,306.5,290.7
,,,,,,,,,,
