COMPANY NAME,GREAVES COTTON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,131.35,,,,,,,,,
Market Capitalization,3051.85,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1697.71,1616.09,1634.44,1792.1,2015.32,1910.96,1500.4,1709.7,2699.45,2633.19
Raw Material Cost,1122.96,1050.63,1065.85,1186.87,1397.94,1347.07,1048.87,1252.76,1998.12,1818.46
Change in Inventory,-24.24,13.17,5.8,-22.99,16.27,29.51,-31.02,-6.24,28.08,19.05
Power and Fuel,16.04,15.77,13.36,12.71,13.41,13.64,10.05,9.17,11.51,
Other Mfr. Exp,16.42,14.28,14.84,35.81,40.64,44.73,44.36,57.11,64.41,
Employee Cost,163.83,155.38,161.49,172.8,187.51,181.38,148.22,176.81,218.5,311.18
Selling and admin,79.54,75.34,74.43,71.87,77.67,86.3,72.52,99.27,168.62,
Other Expenses,82.39,114.87,70.36,33.71,42.22,56.95,65.64,83.22,139.83,432.01
Other Income,-31.32,138.04,56.47,93.07,23.93,24.6,-26.15,19.62,54.64,-270.07
Depreciation,47.65,45.62,46.89,52.44,52.17,60.94,60.43,58.73,56.68,84.39
Interest,2.37,1.01,0.81,0.81,4.04,5.07,6.93,5.34,11.69,9.23
Profit before tax,110.95,294.4,248.68,295.16,239.92,168.99,-13.79,-19.33,112.81,-273.1
Tax,27.32,93.52,68.02,92.97,77.29,41.72,4.99,15.97,43.06,94.17
Net profit,83.63,200.88,180.66,202.19,164.71,129.17,-18.78,-35.3,78.03,-135.27
Dividend Amount,61.05,134.31,134.31,134.31,97.68,,4.62,4.63,20.85,46.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,486.4,620.82,660.19,698.81,513.51,826.94,568.59,726.69,665.38,672.53
Expenses,473.88,581.55,624,657.18,511.95,779.78,583,680.79,630.02,648.79
Other Income,2.09,3.4,10.91,14.81,17.14,11.78,22.44,-365.06,61.58,10.97
Depreciation,14.08,14.97,14.33,14.01,13.14,15.2,16.73,19.15,20.33,28.18
Interest,1.2,2.17,6.07,2.1,2.37,1.15,1.71,2.21,2.27,3.04
Profit before tax,-0.67,25.53,26.7,40.33,3.19,42.59,-10.41,-340.52,74.34,3.49
Tax,5.57,8.82,10.76,8.03,8.9,15.37,14.52,34.07,28.74,16.84
Net profit,-6.24,16.71,16.07,28.88,6.43,26.65,-5.08,-190.78,58.03,2.56
Operating Profit,12.52,39.27,36.19,41.63,1.56,47.16,-14.41,45.9,35.36,23.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,48.84,48.84,48.84,48.84,48.84,46.24,46.24,46.3,46.33,46.4
Reserves,774.23,842.29,876.45,916.11,920.28,752.51,736.27,703,1540.21,1393.83
Borrowings,,,,,11.13,27.98,20.25,257.36,28.26,80.75
Other Liabilities,301.27,286.36,324.58,381.24,473.87,412.9,476.96,628.52,1102.79,943.41
Total,1124.34,1177.49,1249.87,1346.19,1454.12,1239.63,1279.72,1635.18,2717.59,2464.39
Net Block,326.32,283.28,292.14,277.79,338.67,380.48,372.22,363.5,368.68,856.01
Capital Work in Progress,8.39,24.46,14.69,27.62,72,68.57,74.95,81.62,82.56,31.55
Investments,292.52,362.32,410.9,505.68,419.56,2.83,0.51,16.38,123.33,156.69
Other Assets,497.11,507.43,532.14,535.1,623.89,787.75,832.04,1173.68,2143.02,1420.14
Total,1124.34,1177.49,1249.87,1346.19,1454.12,1239.63,1279.72,1635.18,2717.59,2464.39
Receivables,231.41,200.6,270.2,252.69,342.3,254.99,208.95,186.37,166.15,236.4
Inventory,106.44,108.13,129.41,109.42,133.76,194.43,174.72,193.34,214.95,276.12
Cash & Bank,35.76,21.16,12.89,33.45,44.89,189.69,280.34,100.38,539.45,314.15
No. of Equity Shares,244206795,244206795,244206795,244206795,244206795,231206795,231206795,231521292,231648587,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,225.1,230.11,114.43,279.62,145.34,101.63,146.8,-56.28,-135.16,
Cash from Investing Activity,-179.03,-69.98,35.88,-97.23,38.48,255.03,-107.54,-238.12,-757.68,
Cash from Financing Activity,-59.61,-166.37,-147.92,-162.46,-173.83,-241.01,-19.99,210.02,888.59,
Net Cash Flow,-13.54,-6.24,2.39,19.93,9.99,115.65,19.27,-84.38,-4.25,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,145.8,123.1,174.55,113.75,139.2,69.55,127.65,190.95,126.05,126.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
