COMPANY NAME,GRINDWELL NORTON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,2156.35,,,,,,,,,
Market Capitalization,23957.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1135.37,1150.58,1263.36,1430.97,1598.06,1579.57,1637.92,2012.76,2541.34,2686.77
Raw Material Cost,491.99,506.82,551.78,616.86,738.04,715.41,687.29,961.31,1190.84,1216.88
Change in Inventory,10.27,12.58,-2.64,-6.68,28.51,2.45,-33.54,71.37,29.16,10.23
Power and Fuel,76.21,68.15,60.95,70.01,81.78,83.76,67.55,85.15,115.81,
Other Mfr. Exp,65.83,62.59,66.1,72.44,85.78,80.59,69.71,82.17,103.35,
Employee Cost,132.85,148.33,170.21,176.79,192.58,204.84,207.77,250.69,297.36,325.79
Selling and admin,156.38,152.81,182.84,199.86,214.86,194.21,200.02,245.3,275.8,
Other Expenses,41.42,40.04,35.57,40.43,41.37,38.6,47.84,59.13,86.08,635.31
Other Income,17.35,21.67,30.7,25.93,35.01,40.28,50.78,53.09,52.58,67.96
Depreciation,41.61,42.58,42.25,44.84,45.23,57.78,54.36,53.47,60.15,70.88
Interest,2.91,2.42,2.01,1.53,1.5,4.47,3.42,4.12,7.8,7.76
Profit before tax,153.79,161.09,179.71,227.46,260.44,242.64,317.2,395.88,485.89,508.34
Tax,49.6,54.71,58.83,76.59,91.73,58.75,79.47,100.81,124.37,124.38
Net profit,103.22,105.23,119.39,149.75,167.24,182.52,239.18,295.65,361.9,383.65
Dividend Amount,35.98,35.98,44.29,55.36,66.43,83.04,105.18,132.86,160.54,188.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,501.88,558.87,638,634.66,603.88,664.8,668.35,667.4,659.94,691.08
Expenses,412.46,435.26,509.51,512.77,485.35,535.94,533.83,535.97,532.13,566.56
Other Income,17.21,11.56,10.88,14.98,9.05,21.16,14.6,22.7,14.11,17.29
Depreciation,13,13.2,13.71,15.57,15.57,15.29,16.69,16.92,17.61,19.66
Interest,0.84,2.04,0.52,1.46,3.98,1.84,2.16,1.81,1.92,1.87
Profit before tax,92.79,119.93,125.14,119.84,108.03,132.89,130.27,135.4,122.39,120.28
Tax,23.14,29.77,32.4,29.52,28.06,34.4,33.39,33.09,30.3,27.6
Net profit,69.7,89.72,92.43,90.06,80.19,99.22,96.99,101.89,92.16,92.61
Operating Profit,89.42,123.61,128.49,121.89,118.53,128.86,134.52,131.43,127.81,124.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,27.68,27.68,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36
Reserves,588.15,735.49,837.66,935.16,1042.56,1131.97,1309.46,1513.1,1750.45,1999.93
Borrowings,14.92,15.17,7.76,0.04,,,12.15,15.09,51.36,82.59
Other Liabilities,309.45,310.73,309.12,348.6,347.36,404.41,485.1,532.35,548.74,631.74
Total,940.2,1089.07,1209.9,1339.16,1445.28,1591.74,1862.07,2115.9,2405.91,2769.62
Net Block,360.23,350.47,368.13,342.2,345.07,384.57,370.02,385.53,585.68,756.01
Capital Work in Progress,6.73,13.58,6.21,24.52,42.97,29.12,24,67.11,124.21,127.46
Investments,35.15,134.94,145.49,170.8,182.65,582.7,713.37,530.72,642.06,689.35
Other Assets,538.09,590.08,690.07,801.64,874.59,595.35,754.68,1132.54,1053.96,1196.8
Total,940.2,1089.07,1209.9,1339.16,1445.28,1591.74,1862.07,2115.9,2405.91,2769.62
Receivables,129.16,133.54,127.39,177.09,205.62,205.03,201.84,236.87,280.2,357.46
Inventory,225.05,257.95,245.58,271.89,328.58,303.34,322.54,447.61,463.94,487.61
Cash & Bank,113.5,124.07,242.51,272.23,234.12,14.69,129.94,277.99,139.02,213.04
No. of Equity Shares,55360000,55360000,110720000,110720000,110720000,110720000,110720000,110720000,110720000,
New Bonus Shares,,,55360000,55360000,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,105.51,139.2,169.81,133.89,84.54,317.58,331.28,186.58,355.7,367.94
Cash from Investing Activity,-30.22,-37.64,-39.68,-41.43,-53.79,-442.06,-229.58,-53.6,-214.3,-181.68
Cash from Financing Activity,-45.85,-101.84,2.89,-60.29,-68.24,-95.06,-95.03,-113.88,-140.18,-174.87
Net Cash Flow,29.44,-0.28,133.02,32.17,-37.48,-219.54,6.67,19.1,1.21,11.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,349.73,336.68,355.45,504.75,595.9,456.2,952.2,1799.95,1878.4,1900.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
