COMPANY NAME,GUFIC BIOSCIENCES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,318.9,,,,,,,,,
Market Capitalization,3199.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,120.73,147.86,200.94,245.19,305.56,350.77,378.84,487.7,779.16,690.62
Raw Material Cost,65.71,82.51,119.08,132.25,177.43,167,190.45,236,431.35,365.21
Change in Inventory,-0.41,1.31,17.1,11.46,33.17,-13.77,10.91,-14.29,19.39,33.39
Power and Fuel,2.95,3.16,3.57,3.51,3.58,3.43,8.23,9.94,11,15.24
Other Mfr. Exp,6.1,6.68,9.79,12.26,16.53,21.15,15.93,18.2,27.42,24.67
Employee Cost,12.25,19.24,31.96,41.04,44.65,46.85,58.6,66.25,85.64,86.76
Selling and admin,22.04,23.4,31.5,39.44,50.34,46.29,54.07,45.9,77.94,87.96
Other Expenses,-0.76,-0.09,2.45,5.2,7.41,6.29,10.36,13.2,17.16,9.52
Other Income,0.63,0.57,0.66,1.44,4.44,4.17,5.79,3.73,3.1,2.57
Depreciation,2.47,3.85,3.79,3.68,4.4,4.65,13.86,16.31,18.93,22.28
Interest,3.92,4.46,6.2,6.34,8.88,10.16,13.91,13.63,5.37,8.22
Profit before tax,6.27,6.53,10.36,14.37,29.95,35.35,30.13,57.71,126.84,106.72
Tax,2.01,2.37,3.03,5.35,13.47,13.41,7.44,13.48,31,27.02
Net profit,4.26,4.16,7.32,9.02,16.48,21.94,22.69,44.23,95.84,79.7
Dividend Amount,0.39,0.39,0.39,0.39,0.39,0.39,0.48,0.97,0.97,0.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,194.14,172.07,162.19,165.28,174.84,177.47,173.04,195.02,214.87,201.78
Expenses,158.31,139.35,129.52,132.09,142.23,142.99,140.89,159.54,175.5,165.32
Other Income,0.31,1.53,0.04,0.37,0.82,0.76,0.62,0.88,0.33,0.42
Depreciation,4.2,4.48,5.22,4.37,4.56,5.64,5.92,4.24,4.3,4.14
Interest,1.55,1.03,1.31,0.91,1.61,2.35,2.92,4.07,4.46,3.18
Profit before tax,30.39,28.74,26.18,28.28,27.26,27.25,23.93,28.05,30.94,29.56
Tax,7.05,7.7,5.91,7.23,7.05,6.91,5.83,7.43,7.73,7.3
Net profit,23.34,21.03,20.26,21.05,20.21,20.34,18.11,20.62,23.21,22.26
Operating Profit,35.83,32.72,32.67,33.19,32.61,34.48,32.15,35.48,39.37,36.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,7.74,7.74,7.74,7.74,7.78,7.78,9.69,9.69,9.69,9.69
Reserves,18.47,19.37,26.22,29.59,46.35,67.56,119.63,163.74,259.42,338.11
Borrowings,33.4,32.82,42.75,56.64,79.69,97.79,126.37,61.54,64.39,334.2
Other Liabilities,51.53,67.37,75.49,84.49,104.21,106.41,151.82,157.09,187.9,179.16
Total,111.14,127.3,152.2,178.46,238.03,279.54,407.51,392.06,521.4,861.16
Net Block,30.23,25.11,22.15,21.96,22.85,24.45,82.58,99.97,115.17,159.57
Capital Work in Progress,,,,0.04,2.05,9.63,30.61,13.4,40.87,169.59
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.78
Other Assets,80.9,102.18,130.04,156.45,213.12,245.45,294.31,278.68,365.35,531.22
Total,111.14,127.3,152.2,178.46,238.03,279.54,407.51,392.06,521.4,861.16
Receivables,28.21,33.38,56.23,52.12,80.8,103.18,106.97,124.5,151.55,205.47
Inventory,26.12,36.8,50.26,63.02,94.2,94.28,122.46,94.4,115.57,183.46
Cash & Bank,2.54,6.21,6.16,5.64,7.5,7.59,16.37,13.18,26.57,46.69
No. of Equity Shares,77350000,77350000,77350000,77350000,77830000,77830000,96944506,96944506,96944506,96944506
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,10.87,11.15,-4.32,-4.13,-4.82,5.21,47.1,87.25,106.24,-26.59
Cash from Investing Activity,-2.78,-2.39,-0.51,-4.69,-8.84,-12.99,-42.53,-6.69,-94.59,-190.73
Cash from Financing Activity,-6.83,-5.09,4.78,7.41,14.4,7.71,-4.21,-78.62,-6.24,234.31
Net Cash Flow,1.26,3.67,-0.05,-1.41,0.75,-0.08,0.36,1.94,5.41,16.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,5.2,12.75,41.45,66.4,108.5,76.1,47.85,114.5,249,186.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
