COMPANY NAME,GUJARAT STATE PETRONET LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,290.8,,,,,,,,,
Market Capitalization,16418.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1064.6,991.93,5901.29,7261.05,9345.12,12243.62,11535.36,17990.84,18116.59,17294.84
Raw Material Cost,,,,,-10.97,,,,,12144.83
Change in Inventory,,,0.12,0.63,1.07,-0.08,1.38,7.24,2.76,-0.25
Power and Fuel,5.88,7.51,67.12,79.64,86.24,97.9,84.57,128.05,172.29,
Other Mfr. Exp,59.12,50.98,3847.95,4725.78,6230.98,8366.61,7342.02,13826.7,13680.78,
Employee Cost,35.56,36.12,167.05,182.21,224.53,237.27,236.66,256.21,267.8,279.14
Selling and admin,35.59,29.91,161.3,190.34,249.59,271.48,248.9,229.03,253.42,
Other Expenses,0.29,1.38,16.22,39.8,25.58,53.36,50.25,58,65.41,1487.63
Other Income,42.47,93.5,117.95,121.78,135.11,107.65,129.61,147.72,135.78,247.64
Depreciation,189.23,182.91,436.47,446.86,467.99,518.01,541.78,579.46,620.52,663.82
Interest,117.83,79.92,277.58,241.61,426.93,369.02,226.58,111.78,70.11,32.08
Profit before tax,663.57,696.7,1045.67,1477.22,1780.43,2437.54,2935.59,2956.57,3124.8,2934.73
Tax,251.28,231.46,327.5,518.81,590.04,158.91,743.19,725.58,782.8,751
Net profit,486.31,465.23,554.42,741.31,998.6,1729.17,1606.77,1638.28,1641.5,1659.53
Dividend Amount,67.56,84.5,84.54,98.67,112.79,112.82,112.84,112.84,282.1,282.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,5490.43,4990.23,5536.46,4311.92,3998.04,4270.16,4108.33,4265.22,4389.08,4532.2
Expenses,4907.33,4000.44,4562.92,3328.93,3148.91,3432.94,3387.06,3351.49,3608.07,3570.22
Other Income,67.02,11.15,53.84,24.5,41.71,44.93,40.35,54.88,55.81,114.46
Depreciation,145.89,151.07,150.63,154.78,157.81,157.3,161.37,165,168.28,169.17
Interest,25.23,24.07,21.43,19.98,15.25,5.89,14.61,14.47,7.82,8.04
Profit before tax,479,825.8,855.32,832.73,717.78,718.96,585.64,789.14,660.72,899.23
Tax,128.04,186.31,207.15,211.33,188.16,176.16,151.6,198.74,164.53,236.12
Net profit,294.6,435.82,473.13,436.05,359.33,372.99,335.04,454.62,394.9,474.97
Operating Profit,583.1,989.79,973.54,982.99,849.13,837.22,721.27,913.73,781.01,961.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,562.98,563.34,563.59,563.83,563.97,564.1,564.21,564.21,564.21,564.21
Reserves,3217,3423.1,3961.94,1864.59,2731.27,4320.17,5826.56,7354.53,8884.69,10260.66
Borrowings,1157.49,1067,2989.41,5386.05,4579.09,3628.65,2002.85,712.85,149.39,139.61
Other Liabilities,930.68,784.98,4293.31,4148.17,4587.13,4837.25,5775.1,6662.45,7717.62,8091.36
Total,5868.15,5838.42,11808.25,11962.64,12461.46,13350.17,14168.72,15294.04,17315.91,19055.84
Net Block,3169.45,3123.06,8068.67,8208.18,8897.49,9256.2,9497.34,9946.02,10480.82,10797.32
Capital Work in Progress,948.74,767.91,1192.07,1374.24,908.21,806.65,953.11,1245.38,1408.81,1661.36
Investments,633.06,723.2,468.87,589.91,696.11,1023.04,1456.75,1670,1621.39,1889.11
Other Assets,1116.9,1224.25,2078.64,1790.31,1959.65,2264.28,2261.52,2432.64,3804.89,4708.05
Total,5868.15,5838.42,11808.25,11962.64,12461.46,13350.17,14168.72,15294.04,17315.91,19055.84
Receivables,150.39,151.75,456.13,501.84,700.31,655.32,959.16,1038.67,1141.38,1148.11
Inventory,110.24,117.73,153.99,180.24,197.32,172.39,182.1,242.42,273.27,269.49
Cash & Bank,466.94,552.93,867.14,504.65,471.48,789.61,408.92,107.73,1372.63,1399.56
No. of Equity Shares,562979980,563340064,563587732,563833592,563971353,564101241,564211376,564211376,564211376,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,626.09,602.68,1644.13,1668.82,2044.15,2770.88,2897.3,2748.02,3340.03,
Cash from Investing Activity,-201.01,-320.57,-834.61,-3592.87,-611.73,-805.68,-1079.63,-1359.42,-1815.49,
Cash from Financing Activity,-438.33,-297.18,-879.12,2013.16,-1382.18,-1493.93,-2096.2,-1659.32,-804.59,
Net Cash Flow,-13.25,-15.07,-69.6,89.11,50.24,471.27,-278.53,-270.72,719.95,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
