COMPANY NAME,GUJARAT ALKALIES & CHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,777.4,,,,,,,,,
Market Capitalization,5737.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,1995.45,2070.21,2454.51,3161.38,2724.59,2429.48,3758.74,4516.5
Raw Material Cost,,,681.88,651.83,657.1,864.83,923.71,942.77,1283.67,1526.43
Change in Inventory,,,1.95,-5.68,-1.47,13.87,-8.69,8.36,3.06,16.93
Power and Fuel,,,550.75,484.66,522.07,629.51,583.2,496.08,739.05,1118.44
Other Mfr. Exp,,,177.73,191.64,202.4,247.3,256.56,278.01,325.17,292.74
Employee Cost,,,162.18,169.84,201.47,207.06,243.99,233.33,272.15,252.62
Selling and admin,,,67.65,74.73,54.28,80.96,89.7,98.77,119.32,157.4
Other Expenses,,,22.12,43.42,29.83,30.31,41.7,31.51,38.07,237.23
Other Income,,,44.69,55.92,105.74,61.88,89.7,67.14,45.98,42.08
Depreciation,,,107.44,110.92,127.32,139.97,161.83,174.36,197.78,276.09
Interest,,,9.93,12.83,14.9,20.94,14.04,15.46,6.15,19.46
Profit before tax,,,262.41,380.58,749.41,1016.25,490.87,234.69,826.42,695.1
Tax,,,42.81,73.27,214.92,326.06,158.78,68.95,266.65,285.48
Net profit,,,219.6,307.3,534.5,690.19,332.09,165.74,559.76,409.62
Dividend Amount,,,33.05,36.72,47.74,58.75,58.75,58.75,73.44,172.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,825.76,1075.05,1141.48,1128.33,1127.26,1122.79,1138.12,912.81,971.3,920.9
Expenses,683.79,709.03,792.1,777.77,968.61,885.22,936.39,881.8,954.8,940.88
Other Income,21.58,2.57,6.99,5.89,21.94,6.19,8.13,11.8,71.03,4.7
Depreciation,48.74,49.96,52.25,49.81,59.57,79.18,87.53,89.47,95.2,96.02
Interest,1.34,1.36,1.19,1.58,2.6,7.56,7.72,10.5,10.78,11.21
Profit before tax,113.47,317.27,302.93,305.06,118.42,157.02,114.61,-57.16,-18.45,-122.51
Tax,38.9,115.88,82.25,114.19,57.88,69.85,43.57,,-0.08,-7.39
Net profit,74.57,201.39,220.68,190.87,60.54,87.17,71.04,-57.16,-18.37,-115.12
Operating Profit,141.97,366.02,349.38,350.56,158.65,237.57,201.73,31.01,16.5,-19.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,73.44,73.44,73.44,73.44,73.44,73.44,73.44,73.44
Reserves,,,2854.38,3282.26,3747.58,4222.14,4522.24,5301.21,5825.86,6065.78
Borrowings,,,295.4,353.38,290.64,247.46,204.87,497.66,594.07,596.53
Other Liabilities,,,671,726.29,858.63,987.94,1090.36,1282.15,1484.05,1599
Total,,,3894.22,4435.37,4970.29,5530.98,5890.91,7154.46,7977.42,8334.75
Net Block,,,1821.07,2073.46,2104.36,2300.24,2609.83,2586.86,2701.65,4249.6
Capital Work in Progress,,,82.83,150.75,251.78,307.46,445.16,1109.42,1787.35,543.97
Investments,,,854.39,1015.66,1144.86,1065.26,1242.32,2092.4,2109.59,1830.95
Other Assets,,,1135.93,1195.5,1469.29,1858.02,1593.6,1365.78,1378.83,1710.23
Total,,,3894.22,4435.37,4970.29,5530.98,5890.91,7154.46,7977.42,8334.75
Receivables,,,326.44,328.75,403.28,487.03,374.24,288.97,302.64,284.56
Inventory,,,184.64,169.9,265.47,231.47,236.27,225.72,353.14,460.73
Cash & Bank,,,50.18,131.08,134.11,271.01,44.03,356.98,299.62,482.91
No. of Equity Shares,,,73439875,73439875,73439875,73439875,73439875,73439875,73439875,73439875
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,200.72,502.1,513.85,837.79,629.72,421.17,734.83,959.98
Cash from Investing Activity,,,-351.89,-466.74,-394.69,-580.54,-633.68,-334.42,-804.07,-661.89
Cash from Financing Activity,,,84.24,13.49,-116.34,-135.76,-145.85,226.07,11.74,-140.26
Net Cash Flow,,,-66.94,48.84,2.82,121.5,-149.82,312.82,-57.5,157.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,165.55,407.8,698.55,493.3,223,344.8,896.55,585.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,7.34,7.34,7.34,7.34,7.34,7.34,7.34,7.34
