COMPANY NAME,GUJARAT FLUOROCHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,3197.25,,,,,,,,,
Market Capitalization,35093.14,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,2729.27,2606.37,2650.5,3953.59,5684.66,4280.82
Raw Material Cost,,,,,862.26,864.41,821.45,1109.08,1752.36,1547.37
Change in Inventory,,,,,194.15,103.39,41.87,8.64,306.9,126.73
Power and Fuel,,,,,501.53,481.28,441.94,673.96,955.37,780.02
Other Mfr. Exp,,,,,291.16,353.43,350.1,366.02,440.71,
Employee Cost,,,,,186.84,209.21,222.6,276.31,341.22,350.39
Selling and admin,,,,,211.01,214.2,209.02,300.98,402.63,
Other Expenses,,,,,82.54,148.18,48.89,67.39,133.98,775.01
Other Income,,,,,77.73,190.24,198.61,160.55,172.3,59.53
Depreciation,,,,,164.37,192.41,202.07,205.44,236.05,286.11
Interest,,,,,56.16,104.79,112.57,78.41,116.8,133.09
Profit before tax,,,,,645.28,332.09,482.34,1045.19,1784.74,595.09
Tax,,,,,-600.8,142.77,703.87,269.33,461.7,160.14
Net profit,,,,,1248.56,196.33,-218.71,787.19,1328.81,434.95
Dividend Amount,,,,,,,,43.96,43.96,32.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1003.86,1073.78,1333.98,1461.34,1417.91,1471.43,1209.26,946.79,991.74,1133.03
Expenses,688.46,742.33,875.09,925.55,894.7,942.16,861.35,783.7,785.53,895.48
Other Income,32.02,26.98,26.19,24.25,21.41,18.59,14.56,13.5,13.18,18.29
Depreciation,51.77,52.38,54.98,57.2,60.09,63.78,65.52,67.55,71.89,81.15
Interest,20.16,13.37,20.89,22.98,38.13,34.8,28,34.19,37.23,33.67
Profit before tax,275.49,292.68,409.21,479.86,446.4,449.28,268.95,74.85,110.27,141.02
Tax,74.22,74.19,105.79,122.63,115.88,117.39,67.8,22.11,30.18,40.05
Net profit,204.65,221.59,306.26,361.23,329.45,331.88,201.15,52.74,80.09,100.97
Operating Profit,315.4,331.45,458.89,535.79,523.21,529.27,347.91,163.09,206.21,237.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,10.99,10.99,10.99,10.99,10.99,10.99
Reserves,,,,,3499.22,3704.62,3481.84,4244.15,5509.73,5925.35
Borrowings,,,,,967.8,1717.5,1590.51,1555.71,1515.13,2095.95
Other Liabilities,,,,,440.55,633.78,885.3,1066.93,1335.25,1201.78
Total,,,,,4918.56,6066.89,5968.64,6877.78,8371.1,9234.07
Net Block,,,,,2305.48,2413.92,2366.66,2513.67,3111.29,4301.32
Capital Work in Progress,,,,,228.68,318.37,400.06,679.82,1157.68,1091.26
Investments,,,,,341.92,258.65,88,19.7,1.03,0.86
Other Assets,,,,,2042.48,3075.95,3113.92,3664.59,4101.1,3840.63
Total,,,,,4918.56,6066.89,5968.64,6877.78,8371.1,9234.07
Receivables,,,,,574.06,564.73,667.13,778.09,1106.8,844.59
Inventory,,,,,642.06,812.83,863.91,947.26,1485.38,1571.34
Cash & Bank,,,,,40.66,16.59,21.71,152.92,160.99,198.45
No. of Equity Shares,,,,,109850000,109850000,109850000,109850000,109850000,
New Bonus Shares,,,,,,,,,,
Face value,,,,,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,781.83,546.39,616.4,741.37,738.89,626.35
Cash from Investing Activity,,,,,-427.52,-1151.51,-373.44,-583.88,-476.37,-966.45
Cash from Financing Activity,,,,,110.1,621.7,-247.99,-143.51,-264.07,347.57
Net Cash Flow,,,,,464.42,16.58,-5.03,13.99,-1.56,7.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,286,575.15,2742.55,3020.2,3097.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,10.98,10.98,10.98,10.98,10.98
