COMPANY NAME,GULF OIL LUBRICANTS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,925.85,,,,,,,,,
Market Capitalization,4556.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,967.49,1011.35,1086.79,1332.26,1705.8,1644.15,1652.21,2191.64,2999.1
Raw Material Cost,,521.94,505.84,533.73,629.39,857.54,748.62,815.22,1191.84,1906.47
Change in Inventory,,-10.33,15.28,2.68,10.8,28.16,14.99,27.74,44.46,38.8
Power and Fuel,,2.17,2.37,2.79,3.24,4.69,4.26,4.17,4.4,
Other Mfr. Exp,,66.44,69.22,75,92.63,126.68,113.16,119.35,186.8,
Employee Cost,,44.24,57.76,71.16,82.93,102.13,114.48,116.95,117.24,135.21
Selling and admin,0.01,184.95,222.21,218.17,287.44,343.79,378.51,343.52,434.03,
Other Expenses,,7.93,10.06,10.53,11.71,16.01,12.76,15.55,16.29,653.38
Other Income,,9.12,17.92,20.06,26.1,29.48,34.72,52.06,44.18,47.12
Depreciation,,4.82,6.04,7.25,10.43,22.36,32.7,33.87,35.72,39.61
Interest,,17.75,17.79,9.82,8.53,15.16,24.83,14.64,9.62,37.64
Profit before tax,-0.01,116.04,153.26,181.08,242.86,275.08,264.54,268.74,284.34,312.71
Tax,,38.63,52.95,63.52,84.3,97.29,62.02,68.65,73.26,80.4
Net profit,-0.01,77.41,100.31,117.56,158.56,177.78,202.52,200.09,211.08,232.3
Dividend Amount,,27.25,34.68,42.2,52.18,57.27,70.14,80.48,25.22,122.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,533.52,601.82,638.93,706.45,719.5,781.1,792.05,811.71,802.3,817.26
Expenses,456.26,524.81,549.85,621.42,639.25,691.08,704.51,718.93,701.81,706.19
Other Income,10.71,10.95,11.73,9.25,9.78,14.27,13.82,14.26,17.06,16.64
Depreciation,8.89,9.21,9.4,9.41,9.78,9.72,10.7,10.86,11.13,11.05
Interest,0.18,0.14,5.27,10.5,10.25,10.26,6.64,4.41,7.4,8.19
Profit before tax,78.9,78.61,86.14,74.37,70,84.31,84.02,91.77,99.02,108.47
Tax,20.21,19.99,22.75,19.04,17.86,21.66,21.85,23.48,25.38,27.74
Net profit,58.7,58.63,63.39,55.33,52.14,62.65,62.17,68.3,73.63,80.74
Operating Profit,77.26,77.01,89.08,85.03,80.25,90.02,87.54,92.78,100.49,111.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.05,9.91,9.91,9.93,9.94,9.96,10.02,10.06,10.09,9.8
Reserves,-0.01,177.19,238.62,344.2,457.48,576.78,751.29,859.31,1032.62,1168.64
Borrowings,,215.43,194.72,178.49,248.06,283.11,375.91,211.38,389.59,373.28
Other Liabilities,33.82,161.98,205.34,205.59,313.45,272.62,309.32,364.78,360.12,519.85
Total,33.86,564.51,648.59,738.21,1028.93,1142.47,1446.54,1445.53,1792.42,2071.57
Net Block,33.82,89.18,106.93,117.97,260.08,270.5,280.47,253.62,273.09,277.49
Capital Work in Progress,,8.42,1.9,29.18,6,0.71,0.66,3.74,3.1,3.06
Investments,,2.64,3.15,3.72,4.15,4.6,4.59,20.27,35.87,88.35
Other Assets,0.04,464.27,536.61,587.34,758.7,866.66,1160.82,1167.9,1480.36,1702.67
Total,33.86,564.51,648.59,738.21,1028.93,1142.47,1446.54,1445.53,1792.42,2071.57
Receivables,,114.12,106.44,109.62,134.62,150.66,187,188.96,295.93,409.97
Inventory,,141.59,156.89,149.93,236.8,338.79,328.27,376.51,476.3,471.7
Cash & Bank,0.05,180.44,235.07,289.57,326.19,292.6,550.94,495.6,574.39,654.24
No. of Equity Shares,50000,49572490,49572490,49633790,49699905,49797272,50105710,50309527,50427273,
New Bonus Shares,,,,,,,,,,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,18.59,131.41,117.83,133.86,110.08,17.04,236.84,193.5,-23.73,273.32
Cash from Investing Activity,-18.6,1.19,-3.27,-10.01,-50.85,-21.86,17.41,29.52,-17.31,30.43
Cash from Financing Activity,,19.64,-78.75,-59.09,8.92,-29.49,4.87,-277.23,98.15,-202.12
Net Cash Flow,-0.01,152.25,35.81,64.76,68.15,-34.3,259.12,-54.22,57.12,101.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,510.15,511.9,704.55,914.25,841.85,514.75,722.2,422.55,404.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,4.96,4.96,4.96,4.97,4.98,5.01,5.03,5.04,4.9
