COMPANY NAME,HINDUSTAN PETROLEUM CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,501,,,,,,,,,
Market Capitalization,71082.86,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,234237.4,216648.08,177910.22,187492.89,219509.87,275490.64,269091.53,233248.45,349913.18,440709.25
Raw Material Cost,217223.86,193952.05,156867.35,167744.89,193570.51,250030,246817.86,208759.1,322352.06,425367.4
Change in Inventory,1279.47,-5078.44,-64.16,4362.52,-666,2224.24,354.51,8518.53,625.88,-1429.83
Power and Fuel,717.41,926.11,1011.53,875.84,1155.83,1395.38,1330.39,1231.76,1142.22,1041.84
Other Mfr. Exp,1812.05,2928.38,6638.38,7112.13,7731.5,8272.92,8491.13,8498.82,9666.41,10766.81
Employee Cost,2197.13,2593.11,2339.31,2969.35,2892.57,2971.24,3224.06,3219.42,3017.35,3000.67
Selling and admin,6130.86,6411.62,1674.4,1568.32,1853.82,1773.94,1636.87,1841.78,2382.65,2716.57
Other Expenses,2072.97,25.8,980.3,698.68,861.87,1744.11,2741.41,2161.57,1734.04,3577.83
Other Income,1366.07,1835.95,1969.58,3696.83,2784.65,2382.85,678.69,2731.22,3896.97,3942.04
Depreciation,3010.69,2496.68,2846.09,2776.37,2834.4,3085.3,3369.87,3625.47,4000.36,4560.15
Interest,2392.94,1841.15,723.18,609.24,617.88,785.64,1138.85,963.28,997.32,2174.11
Profit before tax,1325.03,2230.69,6735.1,11197.42,10110.14,10039.2,1374.29,14197,9143.62,-9983.92
Tax,245.41,741.82,2060.41,2961.6,2891.86,3348.57,-1264.44,3534.11,1849.39,-3003.69
Net profit,1080.37,1498.58,4674.69,8235.82,7218.28,6690.63,2638.73,10662.89,7294.23,-6980.23
Dividend Amount,525.47,830.57,1169.58,3048.81,2591.16,2423.49,1486.1,3304.23,1986.52,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,83118.19,96668.75,97634.75,114502.35,108462.49,109687.96,108056.45,112079.16,95751.97,111347.75
Expenses,80305.62,95011.81,94829.08,126998.49,110233.16,108013.94,102926.71,102433.54,87511.96,109187.34
Other Income,662.78,1251.14,1111.73,2011.25,280.17,563.89,1358.08,1299.2,1040.35,790.97
Depreciation,959.64,1034.64,1079.4,1105.95,1093.55,1122.82,1237.83,1371.45,1247.31,1345.44
Interest,159.26,244.03,334.78,340.19,603.33,693.47,537.12,626.82,590.05,619.5
Profit before tax,2356.45,1629.41,2503.22,-11931.03,-3187.38,421.62,4712.87,8946.55,7443,986.44
Tax,437.56,276.42,484.77,-3373.91,-711.69,-22.64,1104.55,2181.05,1616.04,273.6
Net profit,1918.89,1352.99,2018.45,-8557.12,-2475.69,444.26,3608.32,6765.5,5826.96,712.84
Operating Profit,2812.57,1656.94,2805.67,-12496.14,-1770.67,1674.02,5129.74,9645.62,8240.01,2160.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,339.01,339.01,339.01,1016.27,1524.21,1524.21,1524.21,1452.41,1418.94,1418.94
Reserves,13659.71,13585.4,16324.76,20055.16,24008.23,28876.45,29456.41,36628.45,39985.27,30844.33
Borrowings,47995.28,36915.57,22160.21,22130.07,21952.02,28191.54,44001.49,43708.73,48497.75,70671.02
Other Liabilities,35001.99,34904.72,30729.03,37127.03,42196.78,48761.96,41935.46,52438.28,64774.01,58452.23
Total,96995.99,85744.7,69553.01,80328.53,89681.24,107354.16,116917.57,134227.87,154675.97,161386.52
Net Block,38965.5,45425.11,33678.42,36876.26,38695.14,41641.5,48951.78,50911.91,58126.1,68387.46
Capital Work in Progress,6156.68,3949.83,1914.45,1867.49,4010.53,9518.73,17169.76,25336.03,28907.24,25607.36
Investments,5690.83,6112.82,9184.52,11773.43,12882,14297.45,14395.61,15093.42,18867.35,23689.15
Other Assets,46182.98,30256.94,24775.62,29811.35,34093.57,41896.48,36400.42,42886.51,48775.28,43702.55
Total,96995.99,85744.7,69553.01,80328.53,89681.24,107354.16,116917.57,134227.87,154675.97,161386.52
Receivables,6302.17,4070.73,3776.28,4091.66,5587.02,5667.79,3934.19,6869.99,6340.31,6832.38
Inventory,24888.38,16044.75,13354.83,18638.65,18621.72,20451.3,19333.67,28817.92,35561.82,29622.01
Cash & Bank,2178.9,2235.83,154.15,136.4,1289.65,218.5,223.12,574.92,257.97,672.4
No. of Equity Shares,339017300,339017250,339330000,1016584500,1524525375,1524525375,1524525375,1452723884,1419251095,1419251095
New Bonus Shares,,,,677254500,507940875,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
