COMPANY NAME,HBL POWER SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,498.5,,,,,,,,,
Market Capitalization,13831.46,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1303.5,1349.28,1298.57,1414.47,1603.01,1265.88,1091.78,912.04,1236.21,1368.68
Raw Material Cost,839.03,768.91,770.36,898.26,1029.99,809.02,677.72,555.67,760.64,832.09
Change in Inventory,35.08,-66.12,-9.75,12.09,-34.88,-6.67,-9.53,-7.29,7.48,-0.64
Power and Fuel,70.04,58.46,51.62,52.81,61.88,53.55,45.64,36.53,42.44,49.02
Other Mfr. Exp,77.16,103.62,116.46,123.38,132.4,104.71,97.6,88.08,111.08,119.89
Employee Cost,135.57,99.12,103.81,99.68,97.96,87.45,90.7,82.18,99.91,110.38
Selling and admin,103.91,94.93,82.64,93.49,91.83,86.31,72.11,54.54,67.22,79.47
Other Expenses,17.55,19.05,29.43,30.34,28.14,20.99,17.94,20.38,23.41,25.75
Other Income,66.1,8.61,11.59,20.51,15.96,20.74,22.5,5.57,25.98,20.37
Depreciation,39.47,52.91,50.68,48.5,46.17,44.48,40.75,38.81,35.08,35.46
Interest,75.89,70.71,68.42,46.27,40.67,30.64,22.2,14.71,7.48,6.55
Profit before tax,46.06,24.06,26.99,54.34,55.05,42.8,40.09,19.42,122.41,129.8
Tax,7.59,10.32,12.16,15.95,23.37,15.07,13.87,5.7,28.69,31.36
Net profit,39.63,14.22,14.9,38.66,31.63,27.73,26.22,13.73,93.9,98.65
Dividend Amount,5.06,5.06,6.32,6.93,6.93,8.32,8.32,9.7,11.09,12.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,283.02,348.74,373.94,319.7,313.88,332.49,402.61,467.43,556.58,599.26
Expenses,258.04,303.29,320.64,284.71,280.61,294.1,357.84,389.5,455.74,486.06
Other Income,1.64,2.08,3.26,3.16,6.14,5.79,3.93,2.73,3.25,2.44
Depreciation,8.94,8.7,8.42,8.28,8.44,8.73,10.01,9.5,10.01,10.84
Interest,1.13,2.01,2.33,0.86,1.05,2.08,2.55,2.08,3.4,3.28
Profit before tax,16.55,36.82,45.81,29.01,29.92,33.37,36.14,69.08,90.68,101.52
Tax,1.67,11.95,13.34,9.04,10.39,10.73,1.2,17.57,23.52,23.07
Net profit,14.96,24.84,33.44,20.03,20.08,23.74,34.8,51.73,68.67,79.04
Operating Profit,24.98,45.45,53.3,34.99,33.27,38.39,44.77,77.93,100.84,113.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,25.3,25.3,25.3,27.72,27.72,27.72,27.72,27.72,27.72,27.72
Reserves,536.48,539.48,583.81,701.4,723.97,738.51,745.15,754.33,838.04,923.73
Borrowings,734.14,686.46,548.9,479.03,366.28,232.1,160.96,69.94,62.61,86.02
Other Liabilities,459.47,310.72,276.89,258.38,223.55,162.38,168.69,184.27,204.24,256.72
Total,1755.39,1561.96,1434.9,1466.53,1341.52,1160.71,1102.52,1036.26,1132.61,1294.19
Net Block,495.48,456.4,415.4,416.88,363.43,320.7,303.69,279.01,264.51,320.4
Capital Work in Progress,56.14,49.38,48.07,33.36,26.01,37.21,26.96,42.86,81.33,50.09
Investments,1.49,1.99,7.7,7.85,4.73,5.31,6.06,7.07,7.73,8.73
Other Assets,1202.28,1054.19,963.73,1008.44,947.35,797.49,765.81,707.32,779.04,914.97
Total,1755.39,1561.96,1434.9,1466.53,1341.52,1160.71,1102.52,1036.26,1132.61,1294.19
Receivables,436.5,393.64,426.62,471.03,453.18,363.09,305.16,253.72,292.66,312.01
Inventory,608.46,517.89,395.88,407.72,367.46,324.85,304.32,289.86,307.03,336.25
Cash & Bank,52.43,48.3,34.05,25.69,20.24,33.02,74.93,68.24,104.72,145.96
No. of Equity Shares,253000000,253000000,253000000,277194946,277194946,277194946,277194946,277194946,277194946,277194946
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-35.86,78.89,157.76,43.2,158.76,167.07,148.78,121.12,62.47,122.44
Cash from Investing Activity,156.21,-12.73,-10.2,60.23,-7.97,0.92,-5.73,-32.02,-16.77,-49.71
Cash from Financing Activity,-114.89,-66.23,-152.55,-114.38,-149.5,-163.41,-114.04,-103.55,-22.32,9.56
Net Cash Flow,5.46,-0.07,-4.99,-10.94,1.29,4.58,29.01,-14.45,23.38,82.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,9.85,51.1,36.3,42.8,44.15,25.6,11,33.35,63.4,95.25
,,,,,,,,,,
