COMPANY NAME,HDFC ASSET MANAGEMENT COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,3616.4,,,,,,,,,
Market Capitalization,77210.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1055.62,1490.13,1568.2,1869.74,2074.8,2124.47,2194.02,2428.72,2478.28,2584.37
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,4.41,4.86,4.76,5.37,5.72,5.49,4.05,4.83,5.51,
Other Mfr. Exp,26.09,29.45,33.26,346.58,263.09,38.03,30.57,47.16,48.46,
Employee Cost,128.79,144.74,159,187.93,207.92,218.34,230.31,315.43,315.83,353.46
Selling and admin,258.94,571.27,555.42,234.77,159.57,125.16,90.22,110.44,133.44,
Other Expenses,13.31,24.72,23.7,27.53,72.93,44.01,33.28,37.56,45.69,269.43
Other Income,8.66,4.22,19.71,0.03,21.98,18.96,7.72,4.48,4.29,578.06
Depreciation,10.14,11.06,11.96,9.36,12.85,50.37,55.41,53.85,53.34,52.26
Interest,,,,,,8.98,8.95,8.64,9.69,9.09
Profit before tax,622.6,708.25,799.81,1058.23,1374.7,1653.05,1748.95,1855.29,1870.61,2478.19
Tax,207.1,230.37,249.56,346.94,444.1,390.64,423.19,462.16,446.69,532.31
Net profit,415.5,477.88,550.25,711.29,930.6,1262.41,1325.76,1393.13,1423.92,1945.88
Dividend Amount,164.06,201.28,231.56,336.9,510.19,595.84,724.06,895.78,1024.42,1494.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,549.67,516.28,521.58,544.72,559.56,540.95,574.54,643.08,671.32,695.43
Expenses,135.24,122.82,131.93,140.15,146.45,130.44,145.97,160.84,159.91,156.17
Other Income,86.21,64.65,11.32,104.21,103.37,96.9,158.03,122.14,142.43,155.46
Depreciation,13.34,13.41,13.5,13.22,13.37,13.25,12.9,12.98,13.07,13.31
Interest,2.15,2.05,2.49,2.43,2.39,2.38,2.34,2.27,2.16,2.32
Profit before tax,485.15,442.65,384.98,493.13,500.72,491.78,571.36,589.13,638.61,679.09
Tax,125.4,99.1,70.79,129,131.32,115.58,93.85,151.57,148.89,138
Net profit,359.75,343.55,314.19,364.13,369.4,376.2,477.51,437.56,489.72,541.09
Operating Profit,414.43,393.46,389.65,404.57,413.11,410.51,428.57,482.24,511.41,539.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,25.24,25.16,25.17,105.28,106.29,106.4,106.48,106.64,106.71,106.74
Reserves,1094.65,1126.06,1397.77,2148.63,2964.43,3922.86,4669.7,5423.4,6001.7,6972.33
Borrowings,,,,,,,,,,
Other Liabilities,191.86,271.5,176.66,218.23,153.03,279.34,318.52,350.33,428.12,478.48
Total,1311.75,1422.72,1599.6,2472.14,3223.75,4308.6,5094.7,5880.37,6536.53,7557.55
Net Block,33.8,31.16,31.18,30.93,39.7,156.71,153.22,135.1,150.47,152.17
Capital Work in Progress,0.1,1.1,2.42,5.96,3.17,4.6,1.18,0.46,2.14,
Investments,650.52,985.79,1236.66,2057.74,2934.96,3944.51,4753.25,5570.23,6079.16,7190.03
Other Assets,627.33,404.67,329.34,377.51,245.92,202.78,187.05,174.58,304.76,215.35
Total,1311.75,1422.72,1599.6,2472.14,3223.75,4308.6,5094.7,5880.37,6536.53,7557.55
Receivables,16.58,38.57,85.09,90.27,82.66,60.59,79.91,74.53,183.74,93.27
Inventory,,,,,,,,,,
Cash & Bank,2.57,0.98,1.27,2.06,31.99,27.1,2.35,8.07,4.01,11.17
No. of Equity Shares,25240800,25164200,25166900,210555200,212573210,212803325,212954202,213278552,213424716,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,742.02,454.86,618.17,894.14,1284.84,1085.32,1253.73,1149.32,1620.01
Cash from Investing Activity,,-297.07,-176.03,-632.79,-776.55,-927.54,-482.71,-508.01,-218.17,-546.74
Cash from Financing Activity,,-446.55,-278.53,15.41,-118.64,-331.56,-627.57,-745.53,-929.9,-1066.18
Net Cash Flow,,-1.6,0.29,0.79,-1.05,25.74,-24.96,0.19,1.25,7.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,1533.9,2112.8,2919,2146.05,1707.85,3754.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.52,2.52,2.52,21.06,21.26,21.28,21.3,21.33,21.34,21.35
