COMPANY NAME,HDFC BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1447.5,,,,,,,,,
Market Capitalization,1099986.68,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,50666.49,63161.56,73271.35,85287.84,105160.74,122189.29,128552.4,135936.41,170754.05,283649.02
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,860.21,1041.79,1271.8,1314.97,1283.53,1293.44,1649.11,1772.27,2176.5,
Employee Cost,5163.77,6309.03,8508.22,9197.15,10454.75,12924.1,13682.35,15904.81,20031.36,31023
Selling and admin,2602.47,3043.15,3328.39,3658.43,3900.17,4192.15,4780.54,5406.79,6578.1,
Other Expenses,7537.36,9660.65,10747.28,15361.71,19217.82,27049.52,32344.53,33473.09,34256.34,146264.62
Other Income,9545.68,11211.65,12905.08,16056.6,18947.05,24878.97,27332.88,31758.99,33912.05,124345.75
Depreciation,680.45,738.03,886.19,966.78,1220.67,1276.77,1385.01,1680.73,2345.47,
Interest,27288.46,34069.57,38041.58,42381.48,53712.69,62137.42,59247.59,58584.33,77779.94,154138.55
Profit before tax,16079.45,19510.99,23392.97,28463.92,34318.16,38194.86,42796.15,50873.38,61498.39,76568.6
Tax,5379.4,6693.66,8078.12,9903.08,11872.55,10898.59,10939.38,12722.48,15349.69,11122.1
Net profit,10688.89,12801.33,15280.48,18510.02,22332.43,27253.95,31833.21,38052.75,45997.11,64062.04
Dividend Amount,2005.2,2401.79,2818.8,3373.63,4084.95,1370.82,3583.32,8595.52,10601.43,14813.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,34588.02,35574.19,37273.81,40929.79,45002.11,47548.34,51168.14,75039.1,78008.17,79433.61
Expenses,14422.81,15044.07,15020.76,15914.91,16681.98,17770.12,18469.81,45349.33,50530.03,62938.45
Other Income,8776.94,8386.26,6928.51,8252.31,9120.73,9610.5,9853.15,32527.52,37007.34,44957.74
Depreciation,,,,,,,,,,
Interest,14724.02,15226.53,16358.26,18310.79,20504.86,22606.03,25954.76,41249.91,43242.37,43691.51
Profit before tax,14218.13,13689.85,12823.3,14956.4,16936,16782.69,16596.72,20967.38,21243.11,17761.39
Tax,3602.36,3214.96,3206.63,3793.81,4200.57,4148.68,4193.47,3655,3525.11,-251.48
Net profit,10591.46,10443.01,9579.11,11125.21,12698.32,12594.47,12370.38,16811.41,17257.87,17622.38
Operating Profit,20165.21,20530.12,22253.05,25014.88,28320.13,29778.22,32698.33,29689.77,27478.14,16495.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,501.3,505.64,512.51,519.02,544.66,548.33,551.28,554.55,557.97,
Reserves,62652.77,73798.49,91281.44,109080.11,153128,175810.38,209258.9,246771.62,288879.53,
Borrowings,509761.9,649587.25,741549.89,944817.22,1080235.46,1333041.45,1511417.62,1784969.53,2139211.91,
Other Liabilities,34180.55,38320.95,59000.32,48769.82,58897.59,71430.27,78278.83,90638.6,101783.03,
Total,607096.52,762212.33,892344.16,1103186.17,1292805.71,1580830.43,1799506.63,2122934.3,2530432.44,
Net Block,3224.94,3666.86,3999.7,4008.13,4368.63,4775.65,5248.35,6432.07,8431.35,
Capital Work in Progress,,,,,,,,,,
Investments,149454.42,193633.85,210777.11,238460.92,289445.87,389304.95,438823.11,449263.86,511581.71,
Other Assets,454417.16,564911.62,677567.35,860717.12,998991.21,1186749.83,1355435.17,1667238.37,2010419.38,
Total,607096.52,762212.33,892344.16,1103186.17,1292805.71,1580830.43,1799506.63,2122934.3,2530432.44,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,36526.42,39068.88,49311.12,123061.56,81817.64,87940.11,121272.51,155385.73,197147.81,
No. of Equity Shares,2506495317,2528186517,2562545717,2595090267,2723306610,5483286460,5512776482,5545540976,5579742786,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-21280.98,-34435.37,17281.59,17214.38,-62871.54,-16869.09,42476.45,-11959.57,20813.7,19069.34
Cash from Investing Activity,-799.9,-837.31,-1146.38,-841.6,-1503.06,-1402.94,-1822.7,-2051.23,-2992.18,5313.77
Cash from Financing Activity,18693.87,37815.13,-5892.97,57377.66,23130.69,24394.5,-7321.35,48124.02,23940.56,-3983.06
Net Cash Flow,-3387.01,2542.46,10242.24,73750.44,-41243.91,6122.47,33332.4,34113.22,41762.08,20400.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
