COMPANY NAME,HFCL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,93.2,,,,,,,,,
Market Capitalization,13443.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2553.07,2872.38,2131.41,3227.38,4737.79,3838.91,4422.96,4727.11,4743.31,4465.05
Raw Material Cost,453.48,632.33,601.43,1350.91,2363.83,1403.39,2422.61,2217.25,2545.34,3323.33
Change in Inventory,82.37,43.83,-39.32,-40.41,7.92,94.21,-8.07,80.52,102.41,102.89
Power and Fuel,5.61,7.47,9.94,11.66,14.96,16.32,26.33,35.1,49.04,
Other Mfr. Exp,1407.47,1478.51,982.49,1249.87,1587.08,1632.24,978.07,1366.92,1043.54,
Employee Cost,217.02,159.59,152.7,168.49,200.09,224.73,253.33,311.06,348.78,350.53
Selling and admin,202.34,250.99,101.37,117.11,126.06,128.82,155.65,188.78,203.55,
Other Expenses,68.86,114.54,57.22,5.78,35.7,34.58,29.32,38.45,36.88,312.54
Other Income,109.54,-28.74,21.41,24.1,40.14,22.08,30.63,36.69,47.18,101.52
Depreciation,34.21,26.18,21.75,23.22,26.97,41.95,68.63,78.25,82.97,81.76
Interest,44.38,61.5,62.39,63.63,91.87,114.82,174.72,166.4,152.19,147.28
Profit before tax,311.61,156.36,124.21,220.4,339.29,358.35,336.86,442.11,430.61,454.02
Tax,0.03,0.01,0.5,48.7,107.03,121.02,90.62,116.25,112.9,116.5
Net profit,323.87,155.59,122.93,167.87,219.91,227.24,239,313.12,300.97,329.81
Dividend Amount,,,,7.44,12.74,,19.27,24.75,27.53,28.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1215.21,1182.98,1051.02,1173.47,1085.84,1432.98,995.19,1111.49,1032.31,1326.06
Expenses,1044.64,1058.88,935.42,994.78,916.84,1278.55,848.74,978.89,915.58,1130.43
Other Income,-2.24,29.68,13.23,-4.12,25.08,13.86,13.28,17.81,46.95,13.61
Depreciation,19.74,22.68,20.08,21.32,20.13,21.44,20.9,21.45,19.27,20.14
Interest,39.12,37.75,37.8,39.44,37.03,37.92,36.3,34.78,36.55,39.65
Profit before tax,109.47,93.35,70.95,113.81,136.92,108.93,102.53,94.18,107.86,149.45
Tax,28.37,25.22,17.85,29.5,35.3,30.25,26.97,24.01,25.43,40.09
Net profit,78.38,65.32,51.17,81.86,96.13,71.82,68.09,69.42,82.24,110.06
Operating Profit,170.57,124.1,115.6,178.69,169,154.43,146.45,132.6,116.73,195.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,123.94,123.94,123.94,123.94,127.44,128.44,128.44,137.49,137.64,144.01
Reserves,753.27,716.18,840.15,1036.76,1305.72,1540,1787.77,2660.91,2969.9,3811.53
Borrowings,317.41,544.15,538.74,468.73,590.31,733.58,941.84,783.14,936.25,991.22
Other Liabilities,652.53,790.88,772.58,958.97,1270.72,1426.94,2357.74,1589.92,1428.8,1540.07
Total,1847.15,2175.15,2275.41,2588.4,3294.19,3828.96,5215.79,5171.46,5472.59,6486.83
Net Block,198.75,175.07,188.33,195.95,238.38,504.03,507.81,528.28,548.23,966.84
Capital Work in Progress,3.69,0.66,1.68,9.85,85.52,33.77,36.02,108.15,268.16,154.09
Investments,271.83,56.69,50.46,55.25,59.57,58.19,40.61,55.36,69.98,193.91
Other Assets,1372.88,1942.73,2034.94,2327.35,2910.72,3232.97,4631.35,4479.67,4586.22,5171.99
Total,1847.15,2175.15,2275.41,2588.4,3294.19,3828.96,5215.79,5171.46,5472.59,6486.83
Receivables,365.64,1112.65,1179.37,1182.32,1472.42,1609.82,2610.99,1895.94,1886.11,2215.48
Inventory,263.21,309.95,245.36,213.56,264.53,343.68,435.26,573.38,757.85,774.42
Cash & Bank,161.34,86.99,97.47,132.07,159.35,191.85,306.45,528.24,322.59,336.35
No. of Equity Shares,1239377194,1239377194,1239377194,1239377194,1274377194,1284377194,1284377194,1374884321,1376376121,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,129.43,0.42,136.07,207.09,33.94,172.36,144.77,205.37,236.41,-44.88
Cash from Investing Activity,-45.48,37.28,-25.03,-30.02,-150.33,-166.87,-164.89,-457.84,-44.63,-448.72
Cash from Financing Activity,-73.61,-55.2,-114.2,-116.41,67.36,-6.58,24.98,247.85,-144.8,454.01
Net Cash Flow,10.34,-17.5,-3.16,60.66,-49.03,-1.09,4.86,-4.62,46.98,-39.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
