COMPANY NAME,HATHWAY CABLE & DATACOM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,20.45,,,,,,,,,
Market Capitalization,3618.15,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1831.6,1136.87,1344.4,1534.62,1558.29,1798.39,1731.77,1793.02,1858.44,1980.97
Raw Material Cost,0.77,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,23.25,20.72,24.07,27.88,28.74,29.99,27.61,30.1,33.67,
Other Mfr. Exp,1099.73,604.68,734.96,840.12,869.32,875.1,857.3,961.87,1101.46,
Employee Cost,152.5,86.45,93.46,77.28,83.24,95.1,98.28,102.81,103.8,93.48
Selling and admin,196.34,236.34,237.12,196.44,212.55,250.81,239.87,287.37,291.26,
Other Expenses,94.37,63.58,53.24,55.65,45.58,100.67,16.06,7.96,6.74,1565.05
Other Income,75.71,-13.49,22.1,42.39,-368.37,262.67,195.53,121.35,126.35,174.34
Depreciation,327.93,258.86,305.75,334.7,352.41,371.1,371.18,367.67,357.07,354.18
Interest,158.98,90.72,111.69,153.24,224.64,228.72,38.39,0.46,0.35,1.05
Profit before tax,-146.56,-237.97,-193.79,-108.3,-626.56,109.57,278.61,156.13,90.44,141.55
Tax,27.98,-0.29,-0.34,-0.44,-438.89,4.1,25.36,25.78,25.07,42.26
Net profit,-180.46,-237.68,-193.01,-99.08,-187.57,103.73,252.73,129.99,65.29,99.31
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,455.03,448.79,447.18,473.22,478.45,459.59,499.23,483.79,504.58,493.37
Expenses,352.95,356.18,360.18,388.61,397.79,401.83,421.7,401.16,422.51,413.16
Other Income,28.98,31.32,33.23,44.6,39.16,20.68,45.92,44.16,38.53,45.74
Depreciation,92.21,91.39,91.15,91.2,86.91,87.81,92.03,92.68,89.55,79.91
Interest,0.06,,,,,0.19,0.12,0.18,0.3,0.45
Profit before tax,38.79,32.54,29.08,38.01,32.91,-9.56,31.3,33.93,30.75,45.59
Tax,4.8,4.12,8.11,7.77,4.14,5.05,8.94,13.9,8.4,11.02
Net profit,33.93,28.35,20.95,30.22,28.74,-14.62,22.36,20.06,22.34,34.57
Operating Profit,102.08,92.61,87,84.61,80.66,57.76,77.53,82.63,82.07,80.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,166.1,166.1,166.1,166.1,354.02,354.02,354.02,354.02,354.02,354.02
Reserves,1044.32,922.72,726.73,626.29,3285.49,3389.13,3642.49,3771.03,3829.03,3935.53
Borrowings,1418.55,1576.66,1688.4,1666.88,1973.06,1974.76,,,5.07,19.66
Other Liabilities,1056.01,687.67,831.05,810.09,811.27,653.54,522.57,494.79,642.79,654.2
Total,3684.98,3353.15,3412.28,3269.36,6423.84,6371.45,4519.08,4619.84,4830.91,4963.41
Net Block,2272.64,1556.78,1755.46,1811.97,1631.97,1571.14,1601.62,1592.13,1631.7,1539.96
Capital Work in Progress,167.51,277.86,120.98,55.68,103.6,81.11,81.72,56.96,47.81,27.58
Investments,104.02,718.13,718.78,643.9,3636.1,703.18,1795.02,1905.28,2013.37,2528.24
Other Assets,1140.81,800.38,817.06,757.81,1052.17,4016.02,1040.72,1065.47,1138.03,867.63
Total,3684.98,3353.15,3412.28,3269.36,6423.84,6371.45,4519.08,4619.84,4830.91,4963.41
Receivables,566.8,285.86,345.11,390.44,120.77,29.33,5.52,52.42,145.12,180.73
Inventory,7.89,18.26,21.66,17.66,14.97,13.98,5.6,3.66,2.8,1.07
Cash & Bank,105.62,41.6,50.93,31.6,153,3089.5,330.62,168.64,350.89,189.06
No. of Equity Shares,830494500,830494500,830494500,830494500,1770104500,1770104500,1770104500,1770104500,1770104500,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,226.29,83.36,324.61,292.9,246.24,439.91,467.3,332.77,453.34,-409.59
Cash from Investing Activity,-522.31,-521.04,-331.76,-152.81,-3295.02,790.17,530.4,-382.29,-303.13,274.14
Cash from Financing Activity,356.18,427.54,-3.53,-165.7,3097.56,-243.77,-2002.63,-0.06,,-1.38
Net Cash Flow,60.16,-10.14,-10.68,-25.61,48.78,986.31,-1004.93,-49.58,150.21,-136.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,49,38.75,37.7,33.85,28.95,13.45,25.7,17.25,12.95,19.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,83.05,83.05,83.05,83.05,177.01,177.01,177.01,177.01,177.01,177.01
