COMPANY NAME,HAVELLS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1673.55,,,,,,,,,
Market Capitalization,104841.34,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,8467.52,7593.67,6130.16,8116.21,10073.43,9440.26,10457.3,13938.48,16910.73,18590.01
Raw Material Cost,4725.41,4447.89,3600.17,5125.41,6330.52,5466.81,6789.26,9333.94,11972.25,12325.95
Change in Inventory,-103.76,72.96,113.57,325.74,245.37,-172.74,531.07,219.48,641.2,-242.73
Power and Fuel,84.21,80.87,75.52,75.38,86.33,92.44,84.32,99.57,119.27,
Other Mfr. Exp,263.38,279.57,431.46,404.99,513.43,505.27,584.94,712.83,874.92,
Employee Cost,1187.72,896.32,509.4,659.82,842.13,907.06,891.08,1021.14,1269.22,1548.51
Selling and admin,1855.67,1060.13,760.93,1047.29,1262.17,1153.71,974.17,1149.62,1616.81,527.36
Other Expenses,-507.61,105.76,51.4,96.16,95.66,75.47,75.41,65.5,78.74,2102.84
Other Income,48.49,949.04,41.87,97.22,124.08,106.68,187.36,159.01,177.57,248.96
Depreciation,138.66,134.4,120.51,140.49,149.38,217.97,248.91,260.89,296.17,338.5
Interest,95.84,91.01,13.34,24.83,16.25,51.36,90.09,66.92,55.06,45.71
Profit before tax,568.97,1519.72,722.87,964.8,1147.01,904.11,1437.55,1606.56,1447.06,1707.37
Tax,183.55,219.27,228.76,303.83,359.4,168.76,393.24,410.09,375.33,436.61
Net profit,385.42,1300.45,494.53,662.37,787.61,735.35,1044.31,1196.47,1071.73,1270.76
Dividend Amount,187.32,374.76,218.72,25,281.48,250.32,406.9,469.72,469.88,564.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3664.21,4426.26,4244.46,3679.49,4127.57,4859.21,4833.8,3900.33,4413.86,5442.02
Expenses,3224,3906.33,3882.93,3392.64,3703.96,4332.06,4431.83,3526.98,3981.16,4807.42
Other Income,48.84,44.11,47.59,43.77,39.64,46.71,64.84,52.48,55.89,75.75
Depreciation,66.2,70.74,72.07,72.1,74.58,77.42,76.29,81.18,87.66,93.37
Interest,12.3,19.05,9.76,6.83,7.28,9.75,8.47,9.33,10.2,17.71
Profit before tax,410.55,474.25,327.29,251.69,381.39,486.69,382.05,335.32,390.73,599.27
Tax,104.73,121.77,84.13,64.68,97.87,128.65,94.98,86.24,102.82,152.57
Net profit,305.82,352.48,243.16,187.01,283.52,358.04,287.07,249.08,287.91,446.7
Operating Profit,440.21,519.93,361.53,286.85,423.61,527.15,401.97,373.35,432.7,634.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,62.44,62.46,62.49,62.51,62.55,62.58,62.6,62.63,62.65,62.67
Reserves,1755.74,2965.21,3214.33,3666.65,4135.03,4248.98,5113.7,5940.26,6562.8,7384.09
Borrowings,423.86,133.99,208.33,115.38,94.5,72.37,521.35,616.4,223.1,303.16
Other Liabilities,2545.76,1225.35,1682.58,2762.97,2856.27,2689.52,3154.61,3903.92,4308.89,4682.77
Total,4787.8,4387.01,5167.73,6607.51,7148.35,7073.45,8852.26,10523.21,11157.44,12432.69
Net Block,1540.98,1224.15,1300.15,2818.62,2903.99,3349.57,3290.43,3433.61,3620.65,3989.68
Capital Work in Progress,38.3,20.49,11.94,24.05,232.66,86.13,89.91,57.21,166.41,296.91
Investments,,188.72,161.66,,,,306.3,426.1,200.87,20
Other Assets,3208.52,2953.65,3693.98,3764.84,4011.7,3637.75,5165.62,6606.29,7169.51,8126.1
Total,4787.8,4387.01,5167.73,6607.51,7148.35,7073.45,8852.26,10523.21,11157.44,12432.69
Receivables,623.18,235.73,230.68,327.75,406.58,241.66,563.73,766.26,973.94,1164.95
Inventory,1366.29,834.31,945.34,1633.03,1918.97,1871.88,2619.89,2968.08,3708.58,3408.63
Cash & Bank,777.47,1468,1974.47,1561.57,1311.37,1132.53,1652.79,2547.98,1870.17,3038.17
No. of Equity Shares,624357810,624545820,624855342,625148473,625472910,625802834,625802834,626303067,626509738,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,962.56,513.43,767.08,1099.93,501.28,826.71,660.33,1728.02,564.93,1952.89
Cash from Investing Activity,-485.38,-120.84,-219.66,-946.3,184.86,-547.65,-763.18,-759.46,31.31,-1613.86
Cash from Financing Activity,-753.77,-621.28,-97.54,-409.05,-318.06,-715.9,189.77,-547.34,-906.93,-533.55
Net Cash Flow,-276.59,-228.69,449.88,-255.42,368.08,-436.84,86.92,421.22,-310.69,-194.52
,,,,,,,,,,
,,,,,,,,,,
