COMPANY NAME,HINDUSTAN UNILEVER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2325.65,,,,,,,,,
Market Capitalization,546596.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,31972.19,32186,33162,35545,39310,39783,47028,52446,60580,61896
Raw Material Cost,13509.4,13184,13606,14233,15845,15697,20141,22871,28427,29771
Change in Inventory,-57.04,-83,-144,72,-12,108,405,22,75,11
Power and Fuel,346.97,309,295,295,308,299,339,318,384,
Other Mfr. Exp,3164.64,2966,2887,2998,3041,2906,2868,3354,3791,
Employee Cost,1723.87,1680,1743,1860,1875,1820,2358,2545,2854,3009
Selling and admin,6769.04,6741,6689,7252,7796,7620,7898,8164,8785,6489
Other Expenses,988.81,1313,1470,1480,1553,1696,2203,2359,2266,7979
Other Income,1247.18,486,606,353,322,432,170,219,447,817
Depreciation,322.39,353,432,520,565,1002,1074,1091,1137,1216
Interest,17.7,17,35,26,33,118,117,106,114,334
Profit before tax,6319.51,6026,6467,7306,8604,9165,10605,11879,13344,13926
Tax,1944,1875,1977,2079,2544,2409,2606,2987,3201,3644
Net profit,4363.08,4151,4476,5214,6054,6748,7995,8879,10120,10277
Dividend Amount,3245.25,3456,3672,4320,4752,5400,9517.5,7990,9165,9870
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,13439,13767,14624,15144,15597,15215,15496,15623,15567,15210
Expenses,10030,10466,11222,11665,11903,11643,11832,11828,11902,11675
Other Income,-7,136,121,80,7,240,146,178,184,309
Depreciation,272,278,281,272,293,291,286,297,313,320
Interest,27,38,28,28,29,29,50,88,91,105
Profit before tax,3103,3121,3214,3259,3379,3492,3474,3588,3445,3419
Tax,803,814,823,589,898,891,918,931,937,858
Net profit,2297,2304,2381,2665,2474,2600,2554,2656,2509,2558
Operating Profit,3409,3301,3402,3479,3694,3572,3664,3795,3665,3535
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,216.35,216,216,216,216,216,235,235,235,235
Reserves,3811.13,6357,6528,7065,7651,8013,47439,48826,50069,50983
Borrowings,43.04,177,277,,99,,1009,1043,1219,1484
Other Liabilities,10359.01,8043,8685,10581,10663,11924,20057,20402,21554,25797
Total,14429.53,14793,15706,17862,18629,20153,68740,70506,73077,78499
Net Block,2821.01,3258,4419,4528,4715,5479,51443,51473,52678,53744
Capital Work in Progress,516.3,408,229,461,406,597,745,1313,1132,1025
Investments,3025.08,2592,3794,2873,2716,1255,2709,3521,2882,4625
Other Assets,8067.14,8535,7264,10000,10792,12822,13843,14199,16385,19105
Total,14429.53,14793,15706,17862,18629,20153,68740,70506,73077,78499
Receivables,1010.28,1264,1085,1310,1816,1149,1758,2236,3079,2997
Inventory,2848.79,2726,2541,2513,2574,2767,3579,4096,4251,4022
Cash & Bank,2689.49,3009,1828,3485,3757,5113,4471,3846,4678,7559
No. of Equity Shares,2163464851,2163936971,2164349639,2164528777,2164704405,2164704405,2349567819,2349591262,2349591262,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,3291.91,4171,5185,6059,5800,7623,9163,9048,9991,15469
Cash from Investing Activity,137.97,-282,-1173,-1063,-438,1791,-1228,-1728,-1484,-5324
Cash from Financing Activity,-3462.42,-3864,-4214,-4975,-5390,-6819,-9309,-8015,-8953,-10034
Net Cash Flow,-32.54,25,-202,21,-28,2595,-1374,-695,-446,111
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,873.55,869.5,911.75,1333.35,1706.8,2298.5,2431.5,2048.65,2560.35,2264.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,216.35,216.39,216.43,216.45,216.47,216.48,234.96,234.96,234.96,234.96
