COMPANY NAME,HINDUSTAN AERONAUTICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,3846.65,,,,,,,,,
Market Capitalization,256997.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,15134.79,15730.03,16758.5,17950.2,18519.25,20008.47,21445.37,22882.36,24620.21,26927.85
Raw Material Cost,9148.45,8882.37,9171.6,8692.22,8046.34,7301.35,8485.74,8470.19,9150.62,10542.01
Change in Inventory,744.91,671.3,562.2,-510.85,-728.77,-1172.01,-635.67,-2458.27,-592.29,691.45
Power and Fuel,216.88,219.65,233.8,227.23,228.97,232.54,201.26,182.96,200.04,202.13
Other Mfr. Exp,413.85,363.23,1176.27,840.3,911.63,1071.09,845.23,893.92,949.18,1215.53
Employee Cost,2685.62,3378.99,3274.5,3569.19,4298.99,4295.17,4763.59,4291.02,4589.83,4895.89
Selling and admin,403.27,226.06,177.63,217.14,203.95,351.32,155.06,138.06,179.53,212.49
Other Expenses,1441.62,980.21,809.4,657.52,640.37,1016.2,1478.67,1106.56,3538.9,3881.78
Other Income,2618.47,1642.42,1598.2,1043.89,761.21,375.51,414.91,359.91,986.34,1671.73
Depreciation,602.51,806.06,862.8,680.61,946.97,1024.47,997.63,1157.19,1109.87,1783.91
Interest,8.28,14.66,5.9,16.45,34.62,177.49,359.43,266.72,65.14,64.35
Profit before tax,3577.69,3172.52,3207,3582.58,3239.85,3742.34,3938,4277.38,5231.15,6492.94
Tax,885.17,784.47,1209,966.95,1252.43,1396.28,1095.99,1037.93,144.65,681.77
Net profit,2692.52,2388.05,1998,2615.63,1987.42,2346.06,2842.01,3239.45,5086.5,5811.17
Dividend Amount,891.7,480.02,629.01,800,1075.73,662.09,1111.85,1003.17,1337.56,1839.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5552.15,5893.69,11558.14,3622.52,5144.89,5665.86,12494.58,3915.34,5635.81,6060.91
Expenses,4308.95,4463.04,9063.28,2797.55,3534.88,4680.32,9252.14,3035.75,4106.99,4626.82
Other Income,138.06,194.78,503.41,192.09,260.8,496.95,721.96,410.79,470.98,459.69
Depreciation,242.89,373.32,382.33,208.05,251.82,268.69,1055.35,201.24,349.45,212
Interest,0.62,0.75,42.09,0.22,0.35,2.06,55.28,0.01,0.3,0.35
Profit before tax,1137.75,1251.36,2573.85,808.79,1618.64,1211.74,2853.77,1089.13,1650.05,1681.43
Tax,289.53,313.81,-528.11,202.13,409.42,57.75,12.47,274.94,414.75,427.92
Net profit,848.22,937.55,3101.96,606.66,1209.22,1153.99,2841.3,814.19,1235.3,1253.51
Operating Profit,1243.2,1430.65,2494.86,824.97,1610.01,985.54,3242.44,879.59,1528.82,1434.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,482,482,361.5,361.5,334.39,334.39,334.39,334.39,334.39,334.39
Reserves,14532.64,16304.07,10657.6,12175.13,9151.26,11740.54,12865.19,15033.79,18929.61,23171.78
Borrowings,684.16,4.53,79.8,1022.03,904.52,4156.66,5926.97,52.71,48.64,51
Other Liabilities,48179.62,47251.84,45419.7,38148.85,38043.7,35238.05,35008.4,37601.27,40870.71,45632.41
Total,63878.42,64042.44,56518.6,51707.51,48433.87,51469.64,54134.95,53022.16,60183.35,69189.58
Net Block,2088.18,7191.14,6925.2,7349.56,7566.07,7454.3,7351.48,7157.95,6758.14,6827.33
Capital Work in Progress,184.74,216.38,1025.4,1389.4,1457.82,1499.01,2040.11,1948.42,2471.85,1883.91
Investments,707.43,745.31,886.4,980.74,989.37,901.79,940.15,1054.95,1294.14,1385.39
Other Assets,60898.07,55889.61,47681.6,41987.81,38420.61,41614.54,43803.21,42860.84,49659.22,59092.95
Total,63878.42,64042.44,56518.6,51707.51,48433.87,51469.64,54134.95,53022.16,60183.35,69189.58
Receivables,6884.06,6242.6,4836.9,4220.16,6750.79,12459.03,11234.73,5669.55,4641.55,4719.07
Inventory,22349.51,25146.93,23997.8,21538.76,20148.32,20467.31,20379.2,18020.97,16225.94,14232.87
Cash & Bank,16934.98,17671.38,13303.4,11116.84,6524.2,95.38,297.91,7166.33,14343.61,20306.15
No. of Equity Shares,482000000,482000000,361500000,361500000,334387500,334387500,334387500,334387500,334387500,334387500
New Bonus Shares,361500000,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,-423.21,-733.68,-7693.61,1536.65,15123.94,10180.43,8835.5
Cash from Investing Activity,,,,3020.86,594.13,5292.29,-1334.09,-1190.11,-12789.09,-5734.34
Cash from Financing Activity,,,,-164.28,-2540.34,2321.16,63.94,-7070.18,-1463.68,-1731.3
