COMPANY NAME,HINDUSTAN CONSTRUCTION COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,33.75,,,,,,,,,
Market Capitalization,5665.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,9668.25,10352.95,8540.16,9866.78,10132.46,10543.52,9444.3,8248.42,10668.26,9856.59
Raw Material Cost,1177.05,1027.46,1003.84,871.1,1073.87,818.21,690.72,,,
Change in Inventory,,,,0.21,-49.85,2.82,-159.2,16.51,17.14,11.04
Power and Fuel,219.38,3.27,,,,,,,137.83,147.65
Other Mfr. Exp,5791.09,6700.68,5224.29,6943.2,6977.64,7528.89,6483.35,6649.23,8000.45,7867.39
Employee Cost,1001.88,1008.53,966.49,996.37,1022.31,1008.75,983.63,955.71,934.28,837.24
Selling and admin,591.12,308.17,227.17,167.86,132.24,215.21,235.18,231.9,382.35,378.09
Other Expenses,49.57,60.39,78.57,124.77,145.37,194.61,47.98,36.85,42.68,60.55
Other Income,158.86,163.64,126.49,-37.16,-104.68,-452.36,486.53,-122.02,615.05,473.82
Depreciation,306.95,327.45,250.48,205.82,201.33,177.36,151.84,135.51,138.34,128.55
Interest,1091.42,1279.55,1220.3,1542.87,1525.38,808.36,816.98,1001.06,1036.26,1012.31
Profit before tax,-401.35,-198.91,-304.49,-1022.16,-1100.21,-657.41,361.95,-867.35,628.26,-90.33
Tax,-14.87,28.56,232.85,-39.56,-10.21,-607.56,164.92,-257.33,65.52,-62.49
Net profit,-277.4,-159.45,-449.72,-758.02,-815.68,-49.85,197.03,-610.02,562.74,-27.84
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2775.6,2580.14,2920.6,2228.92,2257.02,1357.62,3094.09,1926.52,1832.59,1474.47
Expenses,2451.68,2211.46,2537.8,2202.76,1915.72,1501.93,2779.17,1630.32,1578.75,1235.75
Other Income,157.72,15.53,10.9,16.24,250.07,73.7,170.67,29.71,34.58,199.45
Depreciation,33.02,34.07,52.8,32.22,32.01,31.98,32.35,29,27.76,30.43
Interest,251.53,263.3,293.75,262.95,247.74,235.63,265.99,246.16,256.08,146.25
Profit before tax,197.09,86.84,47.15,-252.77,311.62,-338.22,187.25,50.75,4.58,261.49
Tax,57.86,22.41,31.23,26.09,-7.41,-80.37,-2.59,-1.98,7.38,79.19
Net profit,139.23,64.43,15.92,-278.86,319.03,-257.85,189.84,52.73,-2.8,182.3
Operating Profit,323.92,368.68,382.8,26.16,341.3,-144.31,314.92,296.2,253.84,238.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,60.66,64.58,77.91,101.07,101.55,151.31,151.31,151.31,151.31,151.31
Reserves,479.55,459.34,-560.02,-369.06,-1169.63,-1151.32,-910.49,-1468.9,-810.45,-865.69
Borrowings,11150.04,11880.11,9494.99,9779.95,8893.57,4107.53,4252.63,4776.89,2018,5511.57
Other Liabilities,6111.11,6606.2,6717.58,7557.1,8760.32,7802.44,8706.83,9321.53,12834.87,8382.74
Total,17801.36,19010.23,15730.46,17069.06,16585.81,10909.96,12200.28,12780.83,14193.73,13179.93
Net Block,3233.47,4493.98,1864.55,1713.01,1729.28,574.58,771.25,865.52,722.55,623.21
Capital Work in Progress,3645.24,3135.18,1696.49,1890.42,1713.92,169.06,178.41,1.61,0.68,0.12
Investments,159.39,272.88,600.92,476.12,417.09,180.89,356.02,418.17,59.03,79.47
Other Assets,10763.26,11108.19,11568.5,12989.51,12725.52,9985.43,10894.6,11495.53,13411.47,12477.13
Total,17801.36,19010.23,15730.46,17069.06,16585.81,10909.96,12200.28,12780.83,14193.73,13179.93
Receivables,750.39,734.06,592.21,2307.7,2465.28,3545.71,1897.56,4501.79,2090.96,2180.68
Inventory,6472.28,6873.39,2409.09,2607.94,2504.06,631.67,467.17,479.6,484.84,490.52
Cash & Bank,1276.49,814.3,724.08,759.14,952.09,856.42,843.02,1261.62,1542.39,1153.54
No. of Equity Shares,606623600,645787331,779172131,1010716860,1015476151,1512989469,1512989469,1513028244,1513100000,1513100000
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,740.01,702.18,86.81,47.63,1440.79,183,537.69,347.9,946.63,16.91
Cash from Investing Activity,-1269.67,-842.79,179.7,-58.96,71.3,-4.51,-18.18,-82.7,-207.84,447.13
Cash from Financing Activity,470.14,-181.04,-397.13,45.61,-1335.65,-311.97,-514.1,100.82,-659.95,-603.1
Net Cash Flow,-59.52,-321.65,-130.62,34.28,176.44,-133.48,5.41,366.02,78.84,-139.06
,,,,,,,,,,
,,,,,,,,,,
