COMPANY NAME,HINDUSTAN COPPER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,357.55,,,,,,,,,
Market Capitalization,34580.61,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1488.88,1015.54,1071.87,1203.96,1670.48,1816.25,831.85,1786.76,1821.93,1677.33
Raw Material Cost,66.83,30.64,45.41,293.93,411.06,62.7,4.83,,,
Change in Inventory,42.71,14.37,87.21,271.31,7.25,-143.37,51.14,-339.11,-59.31,7.91
Power and Fuel,190.15,176.11,169.72,202.74,211.21,221.87,177.58,116.78,123.72,121.53
Other Mfr. Exp,277.58,255.17,391.79,269.1,315.53,385.55,354.51,280.53,469.64,519.18
Employee Cost,362.06,329.74,325.38,330.46,327.93,316.61,259.75,277.29,372.07,304.73
Selling and admin,108.02,86.69,98.05,140.42,131.16,140.74,123.75,114.63,180.61,179.76
Other Expenses,22.17,24.02,18.48,16.08,9.53,39.14,204.62,247.27,104.94,68.03
Other Income,102.33,66.9,51.6,27.45,41.05,36.66,56.94,34.59,49.98,95.87
Depreciation,174.14,112.85,119.01,141.9,164.65,252.89,290.68,294.82,149.87,174.92
Interest,2.32,1.14,3.11,13.77,25.9,59.92,62.19,63.93,29.94,17.3
Profit before tax,430.65,80.45,39.73,94.32,121.81,230.12,-537.98,86.99,381.81,395.66
Tax,144.23,12.85,1.99,32.38,42.21,84.61,31.38,-22.99,8.03,100.35
Net profit,286.42,67.6,37.74,61.94,79.61,145.51,-569.35,109.98,373.78,295.31
Dividend Amount,92.52,13.88,,18.5,23.13,48.11,,32.38,112.17,88.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,464.46,544.41,545.46,348.39,212.14,557.04,559.76,370.94,381.4,399.29
Expenses,357.9,412.87,393.12,221.74,148.1,443.08,373.77,277.82,260.23,292.69
Other Income,12.03,10.96,15.94,10.74,21.86,11.66,51.61,13.79,11.25,9.95
Depreciation,18.71,17.38,54.66,54.97,50.3,9.14,60.51,40.73,45.59,29.91
Interest,7.76,5.38,4.92,4.04,3.56,5.14,3.19,3.97,4.08,4.46
Profit before tax,92.12,119.74,108.7,78.38,32.04,111.34,173.9,62.21,82.75,82.18
Tax,24.59,-51.95,19.75,21.29,6.16,31.14,41.76,14.92,21.94,19.18
Net profit,67.53,171.69,88.95,57.09,25.88,80.2,132.14,47.29,60.81,63
Operating Profit,106.56,131.54,152.34,126.65,64.04,113.96,185.99,93.12,121.17,106.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,462.61,462.61,462.61,462.61,462.61,462.61,462.61,462.61,483.51,483.51
Reserves,1366.66,1398.92,947.95,1004.35,1064.68,1174.36,497.66,626.71,1427.74,1598.54
Borrowings,,,207.15,472.07,656.95,1070.11,1563.68,1137.43,409,156.86
Other Liabilities,433.6,371.07,1181.29,597.13,629.82,636.44,802.16,819.19,843.53,955.12
Total,2262.87,2232.6,2799,2536.16,2814.06,3343.52,3326.11,3045.94,3163.78,3194.03
Net Block,211.79,202.01,178.11,354.25,332,316.49,337.28,322.09,281.57,307.68
Capital Work in Progress,690.71,851.34,733.29,278.61,659.55,1022.11,1231.78,1178.92,682.74,731.28
Investments,29.4,71.08,75.96,,0.08,0.27,0.13,0.69,0.61,9.51
Other Assets,1330.97,1108.17,1811.64,1903.3,1822.43,2004.65,1756.92,1544.24,2198.86,2145.56
Total,2262.87,2232.6,2799,2536.16,2814.06,3343.52,3326.11,3045.94,3163.78,3194.03
Receivables,198.83,85.22,57.33,165.07,81.57,361.55,82.89,167.78,80.1,66.15
Inventory,447.6,468.82,544.09,848.35,815.19,671.06,727.88,384.06,322.26,325.43
Cash & Bank,495.67,251.77,171.98,55.02,12.71,10.83,15.87,10.79,365.64,301.02
No. of Equity Shares,925218000,925218000,925218000,925218000,925218000,925218000,925218000,925218000,967024020,967024020
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,331.43,237.47,261.52,-259.57,371.79,252.3,86.03,831.94,1052.36,673.58
Cash from Investing Activity,-259.02,-209.01,-451.27,-257.75,-557.51,-586.71,-429.84,-364.02,-404.01,-337.3
Cash from Financing Activity,-110.56,-108.93,183.17,-8.41,-96.06,444.58,41.99,133.19,-251.12,-382.45
Net Cash Flow,-38.15,-80.47,-6.59,-525.72,-281.77,110.18,-301.82,601.11,397.23,-46.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,68.65,63.6,50.35,66.1,62.9,48.95,21.3,119.6,113.75,98.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
