COMPANY NAME,HITACHI ENERGY INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,8953.55,,,,,,,,,
Market Capitalization,37986.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,3236.06,3420.44,3770.51,4883.96,4468.51
Raw Material Cost,,,,,,1702.7,1824.31,2268.05,2898.33,2806.85
Change in Inventory,,,,,,-55.55,63.73,157.39,127.15,95.89
Power and Fuel,,,,,,42.58,52.14,,73.37,65.4
Other Mfr. Exp,,,,,,335.79,353.66,,426.96,276.03
Employee Cost,,,,,,255.2,370.61,381.29,488.04,418.74
Selling and admin,,,,,,471.56,547,,735.47,658.58
Other Expenses,,,,,,35.19,67.8,1034.21,65.47,88.35
Other Income,,,,,,-40.66,-17.65,74.11,101.37,14.67
Depreciation,,,,,,48.41,77.17,80.8,95.46,80.16
Interest,,,,,,27.77,37.55,31.77,52.79,54.14
Profit before tax,,,,,,220.65,136.28,205.89,276.59,130.82
Tax,,,,,,55.26,36.48,54.17,73.19,36.92
Net profit,,,,,,165.39,99.8,151.72,203.4,93.9
Dividend Amount,,,,,,,8.48,,12.72,14.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,848.65,1122.57,1113.45,985.99,1114.61,1033.9,1334.01,1040.06,1227.95,1274.2
Expenses,775.48,1060.8,1047.15,960.35,1038.84,994.45,1238.94,1006.39,1162.62,1206.2
Other Income,1.95,50.86,28.68,5.33,0.39,7.13,2.29,2.94,0.21,2.22
Depreciation,19.28,22.33,14.66,20.51,18.43,20.16,21.06,22.26,22.5,22.73
Interest,8.64,6.95,9.62,8.35,7.49,13.04,11.21,10.97,10.67,13.71
Profit before tax,47.2,83.35,70.7,2.11,50.24,13.38,65.09,3.38,32.37,33.78
Tax,12.88,21.69,19.02,0.77,13.07,8.8,14.28,0.97,7.63,10.81
Net profit,34.32,61.66,51.68,1.34,37.17,4.58,50.81,2.41,24.74,22.97
Operating Profit,73.17,61.77,66.3,25.64,75.77,39.45,95.07,33.67,65.33,68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,8.48,8.48,,8.48,8.48
Reserves,,,,,,831.34,924.04,,1123.91,1206.83
Borrowings,,,,,,347.62,39.07,,190,334.31
Other Liabilities,,,,,,2253.18,2531.53,,2201.49,2368.89
Total,,,,,,3440.62,3503.12,,3523.88,3918.51
Net Block,,,,,,579.45,655.83,,652.54,713.33
Capital Work in Progress,,,,,,56.69,32.36,,118.33,48.67
Investments,,,,,,,,,,
Other Assets,,,,,,2804.48,2814.93,,2753.01,3156.51
Total,,,,,,3440.62,3503.12,,3523.88,3918.51
Receivables,,,,,,1782.85,1573.9,,1418.7,1527.77
Inventory,,,,,,493.2,495.08,,707.25,817.9
Cash & Bank,,,,,,188.04,318.95,,85.94,163.29
No. of Equity Shares,,,,,,42381675,42381675,,42381675,42381675
New Bonus Shares,,,,,,,,,,
Face value,,,,,,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,-72.66,609.72,-126.69,-126.69,5.37
Cash from Investing Activity,,,,,,-72.77,-88.99,-166.95,-166.95,-11.77
Cash from Financing Activity,,,,,,333.47,-389.82,60.59,60.59,83.69
Net Cash Flow,,,,,,188.04,130.91,-233.05,-233.05,77.29
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,1292.65,2526.75,3521.25,3343.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,4.24,4.24,4.24,4.24,4.24
