COMPANY NAME,INDIAN RAILWAY FINANCE CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,147.05,,,,,,,,,
Market Capitalization,192235.51,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,6197.38,6939.19,7506.69,9047.38,9267.14,11133.59,13421.02,15770.51,20299.38,23891.95
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.17,0.21,0.2,0.22,0.24,0.22,0.26,0.24,0.21,0.23
Other Mfr. Exp,0.59,,,,,,2.08,2.62,3.95,3.92
Employee Cost,2.96,3.1,4.09,3,5.53,6.47,6.5,8.01,11.12,13.25
Selling and admin,14.47,29.93,33.13,21.98,6.94,4.68,4.08,5.04,6.87,8.13
Other Expenses,0.89,0.47,0.78,0.69,25.23,37.1,52.91,97.32,100.49,108.79
Other Income,0.87,0.97,0.61,0.26,1.23,-0.02,0.06,0.33,2.22,40.66
Depreciation,0.37,0.44,0.35,0.35,0.35,0.42,0.46,4.43,14.03,14.06
Interest,4606.77,4991.83,5518.84,6888.13,6637.59,8183.1,10162.7,11237.05,14074.78,17447.21
Profit before tax,1572.03,1914.18,1949.91,2133.27,2592.49,2901.58,3192.09,4416.13,6090.15,6337.02
Tax,871.34,1155.88,1101.22,1199.46,537.83,646.84,,,0.32,
Net profit,700.69,758.3,848.69,933.81,2054.66,2254.75,3192.1,4416.13,6089.84,6337.01
Dividend Amount,40.22,151.96,339.48,373.31,375.27,399.61,,1372.19,1829.59,1960.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,4690.02,5095.96,5931.72,5627.44,5809.8,6218.1,6236.49,6679.17,6766.63,6741.89
Expenses,28.32,8.8,82.44,22.74,34.06,30.51,47.01,29.26,33.97,35.46
Other Income,0.02,1.19,1.08,0.03,0.59,3.92,36.25,1.86,0.85,3.42
Depreciation,3.11,3.1,4.72,3.51,3.51,3.73,3.32,4.23,2.15,1.33
Interest,3157.13,3491.34,4352.83,3939.64,4058.54,4554.33,4894.7,5090.97,5181.49,5104.29
Profit before tax,1501.48,1593.91,1492.81,1661.58,1714.28,1633.45,1327.71,1556.57,1549.87,1604.23
Tax,,,0.32,,,,,,,
Net profit,1501.48,1593.91,1492.5,1661.58,1714.28,1633.45,1327.71,1556.57,1549.87,1604.23
Operating Profit,4661.7,5087.16,5849.28,5604.7,5775.74,6187.59,6189.48,6649.91,6732.66,6706.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,3352,3583.96,4526.46,6526.46,6526.46,9380.46,11880.46,13068.51,13068.51,13068.51
Reserves,4210.04,5097.65,6998.89,5483.14,7402.23,15648.19,18419.29,22844.88,27927.83,32401.81
Borrowings,69917.35,71269.63,87503.18,106394.86,134005.53,173932.67,234376.72,323145.26,388439.97,418934.9
Other Liabilities,6450.63,7695.75,9371.86,11245.17,13534.1,7642.29,10827.66,21422.87,20543.91,26741.52
Total,83930.02,87646.99,108400.39,129649.63,161468.32,206603.61,275504.13,380481.52,449980.22,491146.74
Net Block,12.6,12.01,11.76,11.52,11.29,11.28,11.05,45.36,37.96,19.19
Capital Work in Progress,,,,,,,,,,
Investments,10.92,9.32,7.87,7.87,13.98,13.15,11.51,11.98,10,13.66
Other Assets,83906.5,87625.66,108380.76,129630.24,161443.05,206579.18,275481.57,380424.18,449932.26,491113.89
Total,83930.02,87646.99,108400.39,129649.63,161468.32,206603.61,275504.13,380481.52,449980.22,491146.74
Receivables,,,,,,,,,200692.5,244147.01
Inventory,,,,,,,,,,
Cash & Bank,2021.96,5.07,1211.21,7.52,99.82,81.07,100.76,458.92,303.38,541.66
No. of Equity Shares,33520000,35839600,45264600,65264600,6526460000,9380460000,11880460000,13068506000,13068506000,13068506000
New Bonus Shares,,,,,,,,,,
Face value,1000,1000,1000,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,-16377.5,-19455.18,-28076.12,-41748.19,-62700.61,-89906.65,-64412.28,-28583.83
Cash from Investing Activity,,,1.94,1.79,1.67,1.31,1.47,0.42,-4.72,0.09
Cash from Financing Activity,,,17581.7,18249.71,28074.63,41749.45,62696.81,90202.04,64266.3,28643.28
Net Cash Flow,,,1206.14,-1203.69,0.18,2.58,-2.33,295.81,-150.7,59.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,22.9,21.45,26.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.35,3.58,4.53,6.53,652.65,938.05,1188.05,1306.85,1306.85,1306.85
