COMPANY NAME,ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1651.55,,,,,,,,,
Market Capitalization,81467.25,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4234.05,6033.01,7520.44,6911.73,11163.33,11517.2,12182.86,16026.09,17875.79,20487.37
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,3477.36,3600.24,4520.2,5374.36,7499.52,7215.57,7471.75,10415.79,11197.86,
Employee Cost,331.38,368.37,457.27,505.61,590.87,696.06,751.49,968.59,1107.57,1256.22
Selling and admin,617.88,1249.86,1466.77,1195.09,1351.59,1430.39,1813.01,2513.26,2960.94,586.95
Other Expenses,28.88,50.68,156.96,98.7,51.86,402.84,558.06,1112.07,1345.52,16203.77
Other Income,992.33,0.36,-2.23,1568.6,-1.57,14.58,495.36,808.53,990.99,114.75
Depreciation,53.66,56.53,6.91,50.94,,90.03,129.96,141.39,142.35,
Interest,12.49,,,59.4,69.5,,,,,
Profit before tax,704.73,707.69,910.1,1196.23,1598.42,1696.89,1953.95,1683.52,2112.54,2555.18
Tax,119.41,200.25,208.22,334.46,549.15,503.13,480.9,412.5,383.48,636.59
Net profit,585.32,507.45,701.88,861.78,1049.26,1193.76,1473.05,1271.01,1729.05,1918.59
Dividend Amount,89.32,134.26,157.9,147.53,272.59,159.06,363.67,441.8,491.13,492.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4006.93,4020.36,4129.31,4668.78,4558.98,4518.72,4694.4,5250.94,5174.98,5367.05
Expenses,3598.19,4390.87,3684.29,4094.84,4104.85,4874.06,4203.61,4507.41,4638.25,4697.67
Other Income,12.2,780.96,20.07,35.73,11.13,927.85,29.22,20.12,37,28.41
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,420.94,410.45,465.09,609.67,465.26,572.51,520.01,763.65,573.73,697.79
Tax,103.41,97.94,116.06,19.14,112.73,135.55,129.65,186.38,142.27,178.29
Net profit,317.53,312.51,349.03,590.53,352.53,436.96,390.36,577.27,431.46,519.5
Operating Profit,408.74,-370.51,445.02,573.94,454.13,-355.34,490.79,743.53,536.73,669.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,446.59,447.54,451.15,453.95,454.31,454.47,454.59,490.89,491.13,492.69
Reserves,2438.87,2788.62,3449.96,4087.21,4946.05,5679.78,7143.93,8701.82,9952.82,11711.61
Borrowings,,,485,485,485,485,485,255,35,35
Other Liabilities,11760.25,12439.65,18964.76,24723.49,27517.26,30422.84,31214.3,41400.59,44607.25,51068.99
Total,14645.71,15675.81,23350.87,29749.65,33402.62,37042.09,39297.82,50848.3,55086.2,63308.29
Net Block,381,509.78,516.26,367.55,1964.53,664.23,717.15,940.57,882.84,700.85
Capital Work in Progress,8.66,10.11,11.11,38.44,17.17,12.36,13.73,11.06,25.3,
Investments,10199.72,11425.77,14805.75,18192.67,20714.35,26326.73,30788.14,38412.1,42836.25,48907.24
Other Assets,4056.33,3730.15,8017.75,11150.99,10706.57,10038.77,7778.8,11484.57,11341.81,13700.2
Total,14645.71,15675.81,23350.87,29749.65,33402.62,37042.09,39297.82,50848.3,55086.2,63308.29
Receivables,,,,,8931.11,,,,,
Inventory,,,,,,,,,,
Cash & Bank,141.69,194.8,194.04,591.82,401.65,32.64,227.65,292.64,203.13,334.58
No. of Equity Shares,446594032,447538446,451150686,453948304,454309944,454466264,454594504,490891428,491125103,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-97.88,511.45,1627.79,2389.84,2976.33,3432.84,1773.57,809.1,2290.13,2406.77
Cash from Investing Activity,171.08,-309.85,-1989.89,-1895.69,-2856.4,-3382.05,-1366.97,134.97,-1685.08,-1920.73
Cash from Financing Activity,-93.48,-148.49,361.34,-96.37,-310.1,-419.81,-211.59,-879.08,-694.56,-354.59
Net Cash Flow,-20.28,53.11,-0.77,397.78,-190.17,-369.01,195.01,64.99,-89.51,131.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,793.85,1033.3,1081.65,1433.2,1328.3,1069.5,1684.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,44.66,44.75,45.12,45.39,45.43,45.45,45.46,49.09,49.11,49.27
