COMPANY NAME,ICICI SECURITIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,725.5,,,,,,,,,
Market Capitalization,23428.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1209.51,1124.58,1403.29,1861.01,1725.28,1720.97,2586.17,3434.98,3421.52,5049.21
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,8.41,8.54,9.86,6.32,7.75,8.39,5.94,6.17,7.62,
Other Mfr. Exp,140.27,134.57,166.84,136.94,165.98,148.62,237.17,338.3,375.02,
Employee Cost,392.07,401.37,485.06,550.86,555.14,534.71,589.02,665.39,698.98,874.51
Selling and admin,168.9,162.31,168.77,231.05,167.79,105.65,139.5,224.2,197.74,
Other Expenses,1.26,0.63,6.99,16.97,15.38,26.04,21.61,15.45,33.64,803.2
Other Income,-1.52,-1.26,0.69,-1.68,1.28,3.16,-0.69,3.5,3.96,1.89
Depreciation,16.3,15.96,15.48,15.3,14.95,61.4,54.18,62.53,75.07,108.92
Interest,31.1,25.84,28.94,49.5,42.34,86.39,107.28,273.68,536.29,986.95
Profit before tax,449.68,374.1,522.04,852.39,757.23,752.93,1430.78,1852.76,1501.12,2277.52
Tax,155.81,135.38,183.45,298.92,266.5,210.93,363.06,470.16,383.49,580.83
Net profit,293.87,238.72,338.59,553.47,490.73,542,1067.72,1382.6,1117.63,1696.69
Dividend Amount,161.07,161.07,205.03,177.18,302.81,354.35,692.77,774.43,613.43,937.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,941.64,891.67,793.55,858.46,878.96,884.78,934.31,1249,1322.73,1543.17
Expenses,333.4,328.52,310.93,335.1,330.17,336.8,363.15,438.8,411.55,464.21
Other Income,0.28,0.63,1.21,7.17,0.92,0.43,0.13,-0.04,0.53,1.27
Depreciation,15.97,17.38,16.43,18.74,19.35,20.55,22.31,25.76,27.16,33.69
Interest,82.72,91.08,100.37,108.22,153.03,174.67,184.61,215.05,260.65,326.64
Profit before tax,509.83,455.32,367.03,403.57,377.33,353.19,364.37,569.35,623.9,719.9
Tax,129.48,115.03,93.44,103.16,96.38,90.51,93.53,145.72,158.21,183.37
Net profit,380.35,340.29,273.59,300.41,280.95,262.68,270.84,423.63,465.69,536.53
Operating Profit,608.24,563.15,482.62,523.36,548.79,547.98,571.16,810.2,911.18,1078.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,161.07,161.07,161.07,161.07,161.07,161.07,161.11,161.34,161.43,161.68
Reserves,191.24,237.09,328.51,686.64,886.2,1048.47,1661,2269.19,2691.07,3760.91
Borrowings,226.53,172.86,395.41,677.12,451.83,1657.2,3629.91,7845.53,9408.27,16886.54
Other Liabilities,784.02,826.47,1162.45,1349.07,3165.49,1576.08,2728.89,3370.16,3308.03,4813.54
Total,1362.86,1397.49,2047.44,2873.9,4664.59,4442.82,8180.91,13646.22,15568.8,25622.67
Net Block,34.84,35.41,34.63,38.24,43.58,197.97,160.94,183.57,257.73,540.07
Capital Work in Progress,3.7,2.41,2.84,3.89,3.98,8.13,7.87,14.22,30.87,18.76
Investments,1.22,1.22,2.12,3.92,2.85,2.47,2.88,10.71,7.71,18.96
Other Assets,1323.1,1358.45,2007.85,2827.85,4614.18,4234.25,8009.22,13437.72,15272.49,25044.88
Total,1362.86,1397.49,2047.44,2873.9,4664.59,4442.82,8180.91,13646.22,15568.8,25622.67
Receivables,173.13,293.33,710.05,310.1,476.98,88.79,458.61,384.83,773.44,959.11
Inventory,33.81,141.27,31.09,,,,,,,387.28
Cash & Bank,853.06,639.42,882.36,1545.97,3148.63,2411.4,3879.27,5616.61,6790.77,11251.46
No. of Equity Shares,805353500,805353500,805353500,322141400,322141400,322141400,322222370,322678721,322867726,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,165.32,71.13,2289.29,-1878.34,-1609.5,-2597.46,-674.16,-5621.07
Cash from Investing Activity,,,-16.96,-21.04,-20.77,-22.59,-40.17,-68.76,-124.78,-256.93
Cash from Financing Activity,,,-54.14,6.35,-561.48,558.82,1417.02,3130.46,265.99,5714.86
Net Cash Flow,,,94.22,56.44,1707.04,-1342.11,-232.65,464.24,-532.95,-163.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,242,276.45,382.8,621.25,428.05,727.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,80.54,80.54,80.54,32.21,32.21,32.21,32.22,32.27,32.29,32.34
