COMPANY NAME,IIFL FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,376.4,,,,,,,,,
Market Capitalization,15961.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2821.9,3551.02,3952.07,3163.47,6404.57,4977.8,4847.04,5968.18,6991.39,8411.96
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,24.56,25.04,24.14,9.99,17.3,14.05,17.53,11.49,15.35,22.75
Other Mfr. Exp,8.91,39.86,185.89,27.91,255.98,359.8,578.32,697.27,1011.52,1100.72
Employee Cost,494.37,606.88,705.08,330.28,1059.97,690.92,746.94,724.29,931.82,1331.31
Selling and admin,518.12,521.44,310.08,129.97,382.5,328.35,286.36,266.58,363.54,510
Other Expenses,131.61,126.17,136.75,190.36,504.94,41.41,53.16,539.84,32.37,-28.72
Other Income,12.82,-3.97,8.29,374.95,60.86,211.56,79.09,20.08,32.19,34.21
Depreciation,67.89,59.16,66.08,15.87,67.1,31.85,105.65,105.68,121.7,152.59
Interest,1169.45,1444.63,1689.71,1785.91,2729.51,2593.06,2412.99,2638.33,3011.3,3245
Profit before tax,419.81,723.87,842.63,1048.13,1448.13,1129.92,725.18,1004.78,1535.98,2112.52
Tax,128.43,247.5,287.82,225.95,427.46,334.21,221.71,243.97,347.73,504.97
Net profit,278.08,447.33,511.18,686.09,794.74,794.62,501.83,760.12,1187.89,1500.3
Dividend Amount,88.86,93.08,134.53,143.06,159.5,159.6,85.13,113.66,132.86,152.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1667.65,1798.12,1872.62,1930.76,2026.29,2120.87,2180.91,2299.78,2475.7,2647.48
Expenses,567.85,646.05,706.9,730.93,709.42,740.48,779.33,822.28,874.87,944.7
Other Income,45.71,45.46,60.4,44.42,25.14,23.61,95.1,70.92,58.03,46.88
Depreciation,29.84,30.47,33.29,34.35,36.75,39.39,42.09,42.22,43.26,44.84
Interest,744.13,772.76,773.21,775.99,775.83,809.45,860.57,887.84,932.09,988.5
Profit before tax,371.54,394.3,419.62,433.91,529.43,555.16,594.02,618.36,683.51,716.32
Tax,79.98,84.42,98.66,104.19,132.37,131.95,136.47,145.5,157.99,171.13
Net profit,291.51,309.7,320.93,329.69,379.55,378.3,412.74,425.4,474.26,490.44
Operating Profit,1099.8,1152.07,1165.72,1199.83,1316.87,1380.39,1401.58,1477.5,1600.83,1702.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,59.24,62.05,63.31,63.58,63.8,63.84,75.67,75.77,75.92,76.09
Reserves,2092.64,2495.64,3288.8,4317.99,4679.09,4290.46,4684.31,5311.75,6387.91,8915.97
Borrowings,10516.32,14639.37,15947.59,24330.43,34326.44,26517.05,27996.08,32583.14,36086.18,40017.42
Other Liabilities,1845.52,2220.8,3566.43,5048.68,5425.94,2367.51,1617.36,2696.25,3360.43,3991.23
Total,14513.72,19417.86,22866.13,33760.68,44495.27,33238.86,34373.42,40666.91,45910.44,53000.71
Net Block,472.15,499.64,532.69,655.7,870.53,368.62,606.79,675.1,775.35,862.15
Capital Work in Progress,23.78,10.36,5.6,71.32,109.94,6.78,2.49,6.56,5.64,27.4
Investments,1011.56,1283.43,1866.99,4152.64,2150.18,212.39,770.39,31.57,1192.16,3511
Other Assets,13006.23,17624.43,20460.85,28881.02,41364.62,32651.07,32993.75,39953.68,43937.29,48600.16
Total,14513.72,19417.86,22866.13,33760.68,44495.27,33238.86,34373.42,40666.91,45910.44,53000.71
Receivables,449.21,499.54,586.11,530.2,254.64,36.4,29.84,192.28,183.2,121.43
Inventory,58.13,254.91,33.3,31.25,,,,,,
Cash & Bank,1412.2,1828.74,1628.83,3791.31,3122.25,2521.63,3215.92,4784.06,8156.93,5839.03
No. of Equity Shares,296199003,310233948,316536853,317908193,318979026,319203092,378340922,378840676,379598711,380430389
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-63.2,-2126.25,-54.09,-4329.44,-10483.49,422.02,1100.77,-3586.85,1783.73,-4940.56
Cash from Investing Activity,59.66,-361.25,-670.68,-2601.65,-374.13,561.69,-919.23,235.84,-995.79,-2730.45
Cash from Financing Activity,17.25,2904.04,524.86,9093.57,8468.19,20.15,108.66,4428.31,2780.8,5090.04
Net Cash Flow,13.71,416.54,-199.91,2162.48,-2389.43,1003.85,290.2,1077.3,3568.74,-2580.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,35.04,79.93,92.53,179.45,325.13,197.65,72.07,273.78,277.42,474.12
