COMPANY NAME,INDIA SHELTER FINANCE CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,582.0,,,,,,,,,
Market Capitalization,6226.59,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,172.09,229.84,316.71,447.98,583.91,828.61
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,0.73,0.83,0.56,0.89,1.38,
Other Mfr. Exp,,,,,2.36,1.26,2.12,0.53,1,
Employee Cost,,,,,43.35,50.76,62,101.58,134.88,179.43
Selling and admin,,,,,32.29,18.61,8.26,20.86,31.51,
Other Expenses,,,,,4.31,12.82,26.09,13.82,16.54,64.3
Other Income,,,,,,0.01,6.09,11.83,21.71,31.76
Depreciation,,,,,2.1,5.87,5.1,6.54,8.2,9.91
Interest,,,,,49.29,75.86,105.71,148.69,210.64,288.52
Profit before tax,,,,,37.66,63.84,112.96,166.9,201.47,318.21
Tax,,,,,9.72,16.93,25.57,38.46,46.49,71.34
Net profit,,,,,27.93,46.91,87.39,128.45,154.98,246.87
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,150,169.46,181.77,203.72,208.62,234.49
Expenses,,,,,43.51,51.08,56.67,59.45,60.66,66.94
Other Income,,,,,5.93,7.55,6.01,6.58,9.51,9.66
Depreciation,,,,,2.13,2.1,2.17,2.17,2.45,3.12
Interest,,,,,57.95,55.78,68.2,71.55,74.1,74.67
Profit before tax,,,,,52.34,68.05,60.74,77.13,80.92,99.42
Tax,,,,,12.23,15.13,13.79,17.1,18.78,21.67
Net profit,,,,,40.12,52.91,46.96,60.04,62.13,77.75
Operating Profit,,,,,106.49,118.38,125.1,144.27,147.96,167.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,42.4,42.83,42.98,43.71,43.76,53.53
Reserves,,,,,751.17,805.45,894.29,1032.42,1196.4,2244.05
Borrowings,,,,,507.72,688.72,1491.29,2070.01,2988.87,3415.1
Other Liabilities,,,,,60.92,261.99,41.27,75.08,66.1,80.4
Total,,,,,1362.21,1798.99,2469.83,3221.22,4295.13,5793.08
Net Block,,,,,6.63,17.85,15.11,17.04,24.32,29.81
Capital Work in Progress,,,,,,,,,,
Investments,,,,,79.77,93.86,,175.32,58.93,169.8
Other Assets,,,,,1275.81,1687.28,2454.72,3028.86,4211.88,5593.47
Total,,,,,1362.21,1798.99,2469.83,3221.22,4295.13,5793.08
Receivables,,,,,1.54,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,,79.94,182.48,413.68,330.29,494.83,364.62
No. of Equity Shares,,,,,42404487,42978405,42978405,43706655,43872652,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,-341.02,-291.55,-420.85,-495.28,-852.63,
Cash from Investing Activity,,,,,25.62,-150.26,76.64,0.71,296.83,
Cash from Financing Activity,,,,,343.77,395.37,559.96,591.77,906.83,
Net Cash Flow,,,,,28.36,-46.44,215.75,97.2,351.02,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,623.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,4.24,4.28,4.3,4.37,4.39,10.71
