COMPANY NAME,IOL CHEMICALS & PHARMACEUTICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,372.3,,,,,,,,,
Market Capitalization,2180.44,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,563.5,384.72,580.42,710.65,983.3,1685.33,1894.47,1966.98,2184.02,2217.11
Raw Material Cost,397.92,300.85,434.8,496.35,617.01,995.94,1044.05,1119.95,1622.81,1565.29
Change in Inventory,27.99,21.62,21.2,18.95,-78.27,-51.31,-20.96,17.11,52.3,18.2
Power and Fuel,45.27,48.58,46.57,37.45,45.66,63.94,65.12,51.46,78.18,131.98
Other Mfr. Exp,6.07,4.66,11.43,16.77,22.57,25.68,28.37,28.13,36.86,43.07
Employee Cost,27.08,24.72,35.13,43.18,56.1,78.43,97.2,115.55,141.3,168.21
Selling and admin,12.94,7.8,13.98,22,27.2,39.88,51.31,55.26,71.96,68.37
Other Expenses,6.47,8.47,8.26,11.45,16.39,20.48,13.58,21.75,27.84,31.28
Other Income,1.31,1.32,1.16,1.05,5.76,10.35,16.02,24.15,17.02,24.98
Depreciation,31.63,28.91,29.69,29.84,30.21,32.45,35.73,38.92,43.26,46.13
Interest,60.34,59.11,61.47,67.68,64.35,51.42,20.93,5.83,8.29,16.47
Profit before tax,5.08,-75.44,-38.55,5.93,31.3,336.15,533.24,571.39,222.84,189.49
Tax,1.78,-8.78,1.48,1.26,3.6,99.45,171.95,126.83,57.18,49.51
Net profit,3.3,-66.65,-40.03,4.67,27.7,236.7,361.29,444.56,165.66,139.98
Dividend Amount,,,,,,,17.07,35.23,23.48,23.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,537.88,555.14,572.49,565.01,541.41,523.48,587.21,563.18,545.3,520.39
Expenses,494.08,495.93,529.37,508.99,509.74,480.44,491.42,490.32,481.2,475.91
Other Income,10.51,8.88,6.93,5.15,5.06,6.64,8.72,7.06,7.11,8.38
Depreciation,10.8,11.13,11.01,10.98,11.32,11.73,12.1,14.44,15.67,16.32
Interest,1.89,2.29,2.34,3.38,3.51,4.7,4.88,3.95,4.44,4.3
Profit before tax,41.62,54.67,36.7,46.81,21.9,33.25,87.53,61.53,51.1,32.24
Tax,10.78,14.6,8.95,11.92,6.23,9.1,22.26,15.32,13.31,9.01
Net profit,30.84,40.07,27.75,34.89,15.67,24.15,65.27,46.21,37.79,23.23
Operating Profit,43.8,59.21,43.12,56.02,31.67,43.04,95.79,72.86,64.1,44.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,28.82,47.66,56.21,56.21,56.21,56.89,56.89,58.71,58.71,58.71
Reserves,160.42,153.56,128.92,132.49,159.53,408.13,747.33,1201.72,1331.56,1447.84
Borrowings,356.96,400.48,452.61,446.51,421.88,284,59.49,2.73,43.95,79.81
Other Liabilities,194.9,99.91,134.74,182.28,214.49,192.86,306.08,346.93,526.07,434.25
Total,741.1,701.61,772.48,817.49,852.11,941.88,1169.79,1610.09,1960.29,2020.61
Net Block,410.6,402.82,399.5,373.88,405.64,411.72,469.04,512.36,560.64,751.31
Capital Work in Progress,33.06,4.21,4.31,21.26,6.95,27.02,19.19,48.27,105.2,89.64
Investments,,0.05,0.09,0.1,0.06,0.06,0.05,1.22,2.47,20.27
Other Assets,297.44,294.53,368.58,422.25,439.46,503.08,681.51,1048.24,1291.98,1159.39
Total,741.1,701.61,772.48,817.49,852.11,941.88,1169.79,1610.09,1960.29,2020.61
Receivables,49.26,32.67,87.26,112.77,146.14,199.16,272.42,300.31,469.8,505.28
Inventory,192.23,213.42,227.94,262.63,207.45,188.86,187.52,295.15,409.89,325.52
Cash & Bank,11.45,12.7,11.94,16.81,17.32,29.6,154.65,364.74,137.88,20.9
No. of Equity Shares,28815164,47655502,56205502,56205502,56205502,56887502,56887502,58705502,58705502,58705502
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,78.4,-46.96,17.7,83.34,119.72,273.17,470.8,379.78,91.04,123.14
Cash from Investing Activity,-12.12,-4.79,-27.37,-22.78,-50.38,-63.04,-184.23,-317.25,-120.62,-119.19
Cash from Financing Activity,-65.68,49.69,9.27,-59.78,-70.36,-197.46,-271.89,-58.28,-1.64,-4.11
Net Cash Flow,0.6,-2.07,-0.4,0.78,-1.02,12.67,14.68,4.25,-31.22,-0.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,19.3,28.6,76.4,62.95,79.6,190.7,175.9,550.85,353.7,282.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
