COMPANY NAME,INDIA PESTICIDES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,208.75,,,,,,,,,
Market Capitalization,2402.34,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,222.53,248.08,340.69,479.63,648.95,716.14,884.94
Raw Material Cost,,,,0.81,119.85,180.82,238.86,312.02,356.86,536.52
Change in Inventory,,,,6.92,-4.67,7.44,3.51,19.68,44.12,68.23
Power and Fuel,,,,10.85,12.76,17.19,22.37,28.29,32.7,40.43
Other Mfr. Exp,,,,129.06,18.87,44.18,74.1,67.79,69.15,92.82
Employee Cost,,,,12.2,12.06,13.45,16.4,22.75,30.19,35.86
Selling and admin,,,,19.98,21.21,25.27,33.94,43.05,39.47,40.79
Other Expenses,,,,-2.97,3.27,1.88,3.89,11.62,18.04,9.19
Other Income,,,,2.42,2.66,5.3,10.08,6.42,13.17,13.19
Depreciation,,,,3.25,3.5,3.96,5.07,6.14,8.45,11.25
Interest,,,,5.71,4.36,5.58,5.22,3.43,6.51,6.45
Profit before tax,,,,52.98,50.19,61.1,93.37,179.96,212.06,193.05
Tax,,,,17.54,17.38,17.18,22.57,45.42,53.68,48.57
Net profit,,,,35.44,32.81,43.92,70.8,134.54,158.39,144.48
Dividend Amount,,,,0.64,0.64,0.64,0.64,3.58,8.64,8.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,178.47,190.03,177.34,218.46,250.66,217.64,198.18,201.44,201.97,150.68
Expenses,123.62,128.8,134.83,162.7,197.69,170.99,156.02,178.48,174.84,117.6
Other Income,3.86,1.34,4.18,3.28,2.39,4.63,2.9,3.36,4.15,4.31
Depreciation,1.85,2.23,2.61,2.47,2.74,3.03,3.02,3.52,3.66,3.84
Interest,0.43,1.07,3.9,1.69,1.8,1.58,1.37,1.19,0.74,0.6
Profit before tax,56.43,59.27,40.18,54.88,50.82,46.67,40.67,21.61,26.88,32.95
Tax,14.28,15.89,9.36,13.52,12.92,11.65,10.5,5.72,7.05,8.54
Net profit,42.16,43.39,30.82,41.37,37.91,35.03,30.17,15.89,19.83,24.41
Operating Profit,54.85,61.23,42.51,55.76,52.97,46.65,42.16,22.96,27.13,33.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,3.18,3.18,3.18,3.18,11.18,11.52,11.52
Reserves,,,,106.68,140.73,183.84,253.66,378.32,626.86,763.49
Borrowings,,,,42.95,45.92,61.06,28.04,30.41,14.99,5.5
Other Liabilities,,,,42.48,50.53,69.16,80.82,97.18,130.79,134.78
Total,,,,195.29,240.36,317.24,365.7,517.09,784.16,915.29
Net Block,,,,60.74,69.01,69.96,99.42,124.47,162.89,237.13
Capital Work in Progress,,,,2.67,2.75,5,1.16,11.89,44.41,26.83
Investments,,,,2.08,3.3,3.06,3.04,9.91,20.27,16.7
Other Assets,,,,129.8,165.3,239.22,262.08,370.82,556.59,634.63
Total,,,,195.29,240.36,317.24,365.7,517.09,784.16,915.29
Receivables,,,,87.07,124.78,178.31,183.17,214.22,247.93,262.07
Inventory,,,,23.87,19.22,35.53,38.57,70.08,139.69,224.97
Cash & Bank,,,,5.06,3.49,2.84,8.03,42.96,106.78,58.98
No. of Equity Shares,,,,318325,318325,318325,318325,111785130,115163508,115163508
New Bonus Shares,,,,,,,,,,
Face value,,,,100,100,100,100,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,38.06,16.04,-3.38,75.15,83.3,76.51,45.93
Cash from Investing Activity,,,,-5.51,-12.79,-6.64,-31.07,-84.02,-132.71,-22.96
Cash from Financing Activity,,,,-32.17,-2.18,9.29,-38.99,-4.09,70.55,-28.72
Net Cash Flow,,,,0.38,1.07,-0.72,5.09,-4.81,14.35,-5.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,269.2,207.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.03,0.03,0.03,0.03,11.18,11.52,11.52
