COMPANY NAME,INDIABULLS HOUSING FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,152.5,,,,,,,,,
Market Capitalization,9040.61,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5889.84,7243.07,9221.34,11628.46,14951.56,17019.62,13218.78,9998.03,8988.33,8719.33
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,5.39,5.55,7.42,7.69,9.23,9.72,8.34,4.84,5.11,6.8
Other Mfr. Exp,10.5,11.14,17.29,16.65,23.17,30.38,152.32,53.99,18.81,25.28
Employee Cost,263.73,324.88,413.15,499.66,645.26,777.69,605.03,252.73,473.48,519.97
Selling and admin,114.16,130.97,154.55,128.47,183.86,185.36,122.31,109.5,95.2,137.97
Other Expenses,237.88,343.86,512.37,832.33,1171.25,650.48,1152.25,1007.84,526.52,709.86
Other Income,13.88,8.82,4.1,62.04,5.84,6.27,2.12,28.61,5.55,8.47
Depreciation,7.89,18.76,20.36,23.12,37.05,42.75,107.84,96.7,77.37,85.57
Interest,3282.38,3944.2,4971.43,6410.78,8009.68,9725.53,8511.92,6939.38,6241.62,5636.49
Profit before tax,1981.79,2472.53,3128.87,3771.8,4877.9,5603.98,2560.89,1561.66,1555.77,1605.86
Tax,413.25,571.29,775.97,863.25,1004.57,1546.19,394.97,360.07,378.03,476.17
Net profit,1564.16,1901.1,2344.73,2906.39,3895.4,4090.53,2199.8,1201.59,1177.74,1129.69
Dividend Amount,968.74,959.98,1895.85,1144.4,1748.86,1709.6,1299.36,400.82,,56.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2232.79,2274.36,2189.31,2075.21,2229.78,2338.99,2075.29,1900.38,2227.21,2142.65
Expenses,254.14,256.77,255.92,178.68,405.7,522.43,293.08,146.98,448.03,478.46
Other Income,0.29,3.44,1.82,2.51,1.55,0.63,3.85,13.44,15.09,69.07
Depreciation,18.65,20.42,19.75,18,22.56,22.99,22.02,18.51,22.94,22.63
Interest,1570.51,1576.52,1542.99,1495.25,1410.11,1389.4,1341.72,1353.9,1349.77,1311.61
Profit before tax,389.78,424.09,372.47,385.79,392.96,404.8,422.32,394.43,421.56,399.02
Tax,103.44,121.12,65.72,99.15,103.48,113.83,159.71,100.04,123.58,96.41
Net profit,286.34,302.97,306.75,286.64,289.48,290.97,262.61,294.39,297.98,302.61
Operating Profit,1978.65,2017.59,1933.39,1896.53,1824.08,1816.56,1782.21,1753.4,1779.18,1664.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,66.81,71.11,84.26,84.77,85.31,85.48,83.83,89.07,89.11,89.72
Reserves,5638.7,6560.59,10609.66,12037.7,14272.88,16396.64,15453.82,16044.79,16584.95,17271.53
Borrowings,35539.52,47487.44,61085.31,85301.09,111056.39,105756.2,79674.49,68805.43,61359.36,52403.47
Other Liabilities,3171.91,3109.65,3935.2,6273.78,7188.16,7865.6,7659.89,8298.58,3939.58,5180.48
Total,44416.94,57228.79,75714.43,103697.34,132602.74,130103.92,102872.03,93237.87,81973,74945.2
Net Block,115.47,122.7,135.7,168.91,168.87,213.83,449.85,295.41,327.1,432.55
Capital Work in Progress,,,,,,,,,,
Investments,2946.99,6163.77,10692.85,13616.64,14791.83,19716.61,12277.46,6146.01,5545.62,5370.23
Other Assets,41354.48,50942.32,64885.88,89911.79,117642.04,110173.48,90144.72,86796.45,76100.28,69142.42
Total,44416.94,57228.79,75714.43,103697.34,132602.74,130103.92,102872.03,93237.87,81973,74945.2
Receivables,0.63,4.23,2.79,14.49,31,35.95,28.84,23.79,9.26,28.42
Inventory,,,,,,,,,,
Cash & Bank,4419.04,3490.29,2901.7,5682.53,4867.05,14621.25,15038.65,17003.88,9652.85,5232.23
No. of Equity Shares,334042443,355564466,421291962,423856040,426535786,427403339,419174091,445348902,445571504,448596630
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-2452.35,-8891.92,-11643.25,-17845.21,-25023.57,21206.01,19331.05,7088.5,657.18,4000.96
Cash from Investing Activity,-634.79,-2092.93,-4997.06,-2107.23,367.64,-4220.47,8264.94,3103.09,1648.94,884.25
Cash from Financing Activity,3089.97,10699.2,15329.97,22590.92,23774.58,-7335.1,-27934.22,-10632.02,-7444.24,-9141.84
Net Cash Flow,2.83,-285.66,-1310.35,2638.48,-881.35,9650.44,-338.23,-440.43,-5138.12,-4256.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
