COMPANY NAME,INDIAMART INTERMESH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2645,,,,,,,,,
Market Capitalization,15865.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,176.07,254.29,317.76,410.51,507.42,638.85,669.56,753.49,985.4,1196.8
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,1.92,2.89,2.9,2.86,2.92,2.88,0.69,0.77,1.58,
Other Mfr. Exp,4.63,6.55,7.32,7.69,153.44,148.05,99.03,124.83,203.75,
Employee Cost,119.06,181.44,209.88,195.04,230.28,266.88,205.32,267.91,425.27,544.1
Selling and admin,90.65,178.63,151.35,158.2,32.08,45.05,29.31,42.44,73.82,
Other Expenses,11.48,3.68,19.99,122.95,71.62,8.74,9.71,21.94,51.01,361.7
Other Income,23.29,8.16,14.17,19.02,40.97,68.59,86.58,112.19,180.53,208.8
Depreciation,3.02,3.67,4.63,2.89,4.13,21.15,16.07,11.95,31.08,36.5
Interest,0.47,1.04,,,,3.28,6.66,5.4,8.15,8.9
Profit before tax,-31.87,-115.45,-64.14,-60.1,53.92,211.41,389.35,390.44,371.27,454.4
Tax,0.02,0.45,0.2,-114.86,33.88,64.04,109.58,92.83,87.45,120.4
Net profit,-31.89,-115.91,-64.35,54.76,20.04,147.38,279.77,297.62,283.83,334
Dividend Amount,,,,,,28.88,45.48,6.11,61.16,119.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,188.1,201.4,224.6,240.6,251.4,268.8,282.1,294.7,305.3,314.7
Expenses,112.4,150,167.4,184.3,190.6,213.2,215.4,225.7,226.8,237.9
Other Income,21.9,29.5,1,46.6,102.2,30.7,55.3,34.6,41.7,77.2
Depreciation,3,2.9,6.3,7.6,8.6,8.6,7.4,8,8.4,12.7
Interest,1.3,1.3,1.2,2.6,2.2,2.1,2.2,2.3,2.2,2.2
Profit before tax,93.3,76.7,50.7,92.7,152.2,75.6,112.4,93.3,109.6,139.1
Tax,23.1,19.3,4,24.3,39.4,19.8,29.3,23.9,27.7,39.5
Net profit,70.2,57.4,46.7,68.4,112.8,55.8,83.1,69.4,81.9,99.6
Operating Profit,75.7,51.4,57.2,56.3,60.8,55.6,66.7,69,78.5,76.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,9.17,9.17,9.17,9.98,28.59,28.88,30.32,30.55,30.58,59.9
Reserves,-152.15,-152.69,-399.22,-331.25,131.3,246.18,1580.57,1843.5,2027.91,1676.2
Borrowings,0.06,,,,,76.51,63.42,56.28,45.91,40.6
Other Liabilities,245.4,334.28,610.96,863.98,660.86,771.36,837.15,1018.52,1338.06,1671.9
Total,102.48,190.76,220.91,542.71,820.75,1122.93,2511.46,2948.85,3442.46,3448.6
Net Block,6.16,9.91,8.71,8.07,9.06,85.63,65.07,56.06,553.11,536
Capital Work in Progress,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.5
Investments,60.04,125.09,136.26,311.07,607.45,901.44,2254.43,2721.7,2783.53,2745.9
Other Assets,36.1,55.58,75.76,223.39,204.06,135.68,191.78,170.91,105.64,166.2
Total,102.48,190.76,220.91,542.71,820.75,1122.93,2511.46,2948.85,3442.46,3448.6
Receivables,0.43,0.2,0.53,0.68,0.57,1.68,1.25,1.33,7.06,4.8
Inventory,,,,,,,,,,
Cash & Bank,10.3,18.75,40.66,46.71,77.74,23.86,77.73,76.82,58.28,101.2
No. of Equity Shares,9168959,9168989,9168989,9976805,28592006,28877247,30316294,30552990,30579221,
New Bonus Shares,,,,,9976805,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,7.05,-55.09,-0.58,179.06,255.14,260.61,322.5,402.31,475.83,559.2
Cash from Investing Activity,-3.75,-75.15,-7.8,-165.25,-275.8,-232.57,-1337.62,-335.37,-324.01,162.4
Cash from Financing Activity,-0.06,132.54,7.29,15.25,14.15,-51.3,1038.3,-57.52,-143.26,-694.9
Net Cash Flow,3.24,2.3,-1.09,29.05,-6.52,-23.26,23.18,9.43,8.56,26.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,968.2,3868.98,2161.33,2509.88,2645.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.83,1.83,1.83,2,5.72,5.78,6.07,6.11,6.12,6
