COMPANY NAME,INDIAN BANK,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,517.2,,,,,,,,,
Market Capitalization,69678.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,15853.35,16244.27,16039.22,17115.32,19182.06,21401.28,39108.08,38888.44,44985.16,55649.73
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,68.6,73.06,93.6,94.57,95.21,93.96,201.76,246.33,195.34,
Employee Cost,1746.96,2011.13,1996.2,2105.54,2228.71,2479.28,6412.39,6739.61,7580.41,9319.9
Selling and admin,472.91,524.92,607.15,640.96,706.05,739.22,1573.52,1652.98,1807.53,
Other Expenses,1930.32,2518.98,3446.62,4157.23,5258.82,5925.35,9841.29,11645.82,11993.51,11527.36
Other Income,1372.21,1788.94,2222.4,2416.59,1891.44,3325.5,6111.4,7379.71,7804.5,8581.95
Depreciation,138.98,151.31,166.24,236.84,259.29,314.01,636.9,600.86,532.39,
Interest,11389.77,11795.38,10891.46,10851.28,12166.75,13797.51,23438.8,22129.25,24717.29,32340.76
Profit before tax,1478.02,958.43,1060.35,1445.49,358.67,1377.45,3114.82,3253.3,5963.19,11043.66
Tax,464.56,243.92,-352.56,182.57,37.74,619.37,99.1,-740.59,632.71,2914.51
Net profit,1048.76,751.28,1453.06,1310.54,380.13,861.34,3149.15,4141.81,5572.31,8419.41
Dividend Amount,201.72,72.04,288.17,,,,225.87,809.54,1071.08,1616.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,9930.42,9848.82,10165.86,10727.67,11836.38,12255.25,13049.94,13763.8,14202.58,14633.41
Expenses,5301.72,5143.32,4922.08,5097.89,5860.32,6202.13,5161.28,5150.05,5157.77,5378.16
Other Income,1715.4,1707.2,1731.67,1986.53,1925.57,2160.73,1871.49,2165.61,2112.77,2432.08
Depreciation,,,,,,,,,,
Interest,5530.17,5577.68,5619.86,6026.08,6334.89,6736.46,7345.64,8002.62,8383.37,8609.13
Profit before tax,813.93,835.02,1355.59,1590.23,1566.74,1477.39,2414.51,2776.74,2774.21,3078.2
Tax,109.75,-162.3,139.38,345.52,159.2,15.37,690.12,768.62,637.88,817.89
Net profit,731.58,1024.31,1311.08,1287.39,1454.16,1519.68,1849.68,2068.49,2205.63,2295.61
Operating Profit,4628.7,4705.5,5243.78,5629.78,5976.06,6053.12,7888.66,8613.75,9044.81,9255.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,480.29,480.29,480.29,480.29,480.29,608.8,1129.37,1245.44,1245.44,
Reserves,14548.67,16009.54,16953.55,18235.15,19235.17,22158.78,38328.7,43706.49,48261.38,
Borrowings,171850.27,181768.24,195116.93,228021.98,254178.34,281014.71,562792.57,610788.4,643215.65,
Other Liabilities,6156.49,5683.02,5956.67,6243.99,6494.48,6358.67,23284.53,18356.1,20611.53,
Total,193035.72,203941.09,218507.44,252981.41,280388.28,310140.96,625535.17,674096.43,713334,
Net Block,2968.56,3507.71,3436.04,3421.47,3964.23,3898.3,7392.13,7693.78,7471.6,
Capital Work in Progress,5.24,7.9,10.64,0.61,0.76,0.78,0.43,5.13,9.07,
Investments,46060.45,53282.93,67781.19,71619.14,65271.55,81871.16,178292.44,176501.61,188366.28,
Other Assets,144001.47,147142.55,147279.57,177940.19,211151.74,224370.72,439850.17,489895.91,517487.05,
Total,193035.72,203941.09,218507.44,252981.41,280388.28,310140.96,625535.17,674096.43,713334,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,13081.84,11999.61,10047.24,12933.5,20027.61,13936.47,51504.15,79968.22,50216.83,
No. of Equity Shares,480291651,480291651,480291651,480291651,480291651,608800580,1129366570,1245441139,1245441139,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5135.69,-930.71,-10813.85,-3675.79,6269.85,-8396.17,17230.92,28750.33,-27893.99,-8617.26
Cash from Investing Activity,-236.41,-771.72,-179.37,-214.38,-175.73,-247.37,21232.98,-304.69,-313.98,-617.71
Cash from Financing Activity,-2311.73,620.21,9040.86,6776.44,1000,2552.42,1865.55,18.43,-1543.42,1195.04
Net Cash Flow,2587.55,-1082.22,-1952.36,2886.27,7094.12,-6091.12,40329.45,28464.07,-29751.39,-8039.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,173.45,103.9,278.25,299.8,280.1,43.1,116.1,153.9,288.55,520.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
