COMPANY NAME,INDIAN METALS & FERRO ALLOYS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,663,,,,,,,,,
Market Capitalization,3572.35,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1317.85,1344.79,1211.3,1672.35,1765.6,1633.78,1611.94,1844.23,2602.95,2676.39
Raw Material Cost,689.48,693.55,655.87,706.55,813.44,823.89,939.84,908.34,1108.48,1474.7
Change in Inventory,65.45,-16.52,-28.19,1.57,-1.4,48.46,-0.35,-27,11.49,17.09
Power and Fuel,5.54,3.85,17.99,51.26,114.74,110.3,101.52,127.97,116.29,108.39
Other Mfr. Exp,118.36,107.18,87.03,107.2,101.19,103.41,113.25,117.27,140.11,170.6
Employee Cost,119.09,127.18,135.2,169.91,176.79,162.21,155.24,166.43,207.45,196.2
Selling and admin,125.2,136.8,119.34,111.09,115.93,138.16,133.57,141.61,207.87,190.15
Other Expenses,38.53,18.96,44.66,14.42,9.68,71.82,79.3,17.93,24,64.96
Other Income,17.06,13.34,-1.47,48.12,26.54,-61.5,21.24,49.78,16.6,8.61
Depreciation,149.02,121.94,114.06,108.69,100.8,98.16,104.21,104.22,110.22,107.28
Interest,105.23,105.68,80.77,83.47,75.41,93.67,96.68,54.78,58.97,65.94
Profit before tax,49.91,26.47,-73.28,369.45,282.76,19.12,-90.78,228.46,657.65,323.87
Tax,14.97,22.32,-29.61,120.75,96.24,19.7,-24.81,61.48,149.95,98.09
Net profit,34.92,3.68,-44.03,248.94,186.1,-1.02,-66.49,166.55,507.24,225.26
Dividend Amount,7.79,3.9,5.2,53.96,40.47,13.49,,26.98,67.45,53.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,653.16,655.22,756.71,743.42,672.45,623.62,636.9,701.73,692.61,685.27
Expenses,416.7,443.29,567.82,525.7,599.56,564.66,497.98,528.86,542.39,526.32
Other Income,4.81,2.99,4.75,6.85,4.43,-1.28,-1.39,9.88,11.64,9.75
Depreciation,24.94,25.73,35.43,24.87,25.78,27.6,29.03,25.02,25.68,14.72
Interest,12.51,14.61,15.58,20.87,22.64,13.35,9.08,8.29,13.03,8.4
Profit before tax,203.82,174.58,142.63,178.83,28.9,16.73,99.42,149.44,123.15,145.58
Tax,60.11,52.34,-0.03,44.65,12.5,5.69,35.25,38.92,33.81,36.63
Net profit,143.58,122.12,142.58,134.08,16.3,10.87,64.02,110.39,89.17,108.69
Operating Profit,236.46,211.93,188.89,217.72,72.89,58.96,138.92,172.87,150.22,158.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,25.98,25.98,25.98,26.98,26.98,26.98,26.98,26.98,53.96,53.96
Reserves,855.11,855.34,806.92,1037.05,1189.07,1143.23,1056.94,1214.85,1661.4,1818.92
Borrowings,1087.88,1128.01,1060.38,909.58,822.08,765.54,712.99,679.36,490.1,340.53
Other Liabilities,467.17,538.62,500.61,530.48,613.68,719.12,617.1,620.18,616.03,440.12
Total,2436.14,2547.95,2393.89,2504.09,2651.81,2654.87,2414.01,2541.37,2821.49,2653.53
Net Block,1340.6,1371.75,1330.12,1274.82,1256.43,1177.07,1215.86,1154.99,1110.9,989.6
Capital Work in Progress,217.33,193.2,225.89,236.18,273.08,304.44,263.97,247.95,266.53,69.74
Investments,12.19,0.1,34.94,161.36,147.96,69.46,32.76,119.74,154.51,264.46
Other Assets,866.02,982.9,802.94,831.73,974.34,1103.9,901.42,1018.69,1289.55,1329.73
Total,2436.14,2547.95,2393.89,2504.09,2651.81,2654.87,2414.01,2541.37,2821.49,2653.53
Receivables,56.78,53.11,14.8,66.68,65.24,50.06,32.68,92.2,140.57,85.65
Inventory,372.71,405.09,330.91,340.14,428.07,544.92,431.55,445.33,622.2,647.47
Cash & Bank,34.4,85.53,58.9,35.98,48.5,56.65,43.16,50.36,23.15,32.97
No. of Equity Shares,25977100,25977053,25977053,26977053,26977053,13059007,26977053,26977053,53954106,53954106
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,226.38,174.35,217.89,485.38,289.81,216.57,220.51,207.14,390,150.94
Cash from Investing Activity,-106.93,-43.08,-101.09,-161.72,-88.48,-30.62,-49.28,-105.74,-106.01,140.24
Cash from Financing Activity,-162.17,-112.9,-160.71,-322.01,-190.92,-187.49,-182.31,-99.3,-284.04,-290.53
Net Cash Flow,-42.72,18.37,-43.91,1.65,10.41,-1.54,-11.08,2.1,-0.05,0.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
